vote_number,date,subject,bill_number,result,yeas,nays,paired
185,2021-06-23T15:45:35,"3rd reading and adoption of Bill C-30, An Act to implement certain provisions of the budget tabled in Parliament on April 19, 2021 and other measures",C-30,Agreed To,211,121,0
184,2021-06-23T15:35:12,"3rd reading and adoption of Bill C-206, An Act to amend the Greenhouse Gas Pollution Pricing Act (qualifying farming fuel)",C-206,Agreed To,181,150,0
183,2021-06-23T15:25:14,Fifth report of the Standing Committee on Foreign Affairs and International Development,,Agreed To,327,0,0
182,2021-06-23T15:15:33,"2nd reading of Bill C-269, An Act to amend the Fisheries Act (prohibition — deposit of raw sewage)",C-269,Negatived,120,211,0
181,2021-06-22T16:35:12,"3rd reading and adoption of Bill C-12, An Act respecting transparency and accountability in Canada's efforts to achieve net-zero greenhouse gas emissions by the year 2050",C-12,Agreed To,204,114,0
180,2021-06-22T16:30:57,"Concurrence at report stage of Bill C-12, An Act respecting transparency and accountability in Canada's efforts to achieve net-zero greenhouse gas emissions by the year 2050",C-12,Agreed To,209,117,0
179,2021-06-22T16:20:49,"Bill C-12, An Act respecting transparency and accountability in Canada's efforts to achieve net-zero greenhouse gas emissions by the year 2050 (report stage amendment - Motion No. 2; Group 1; Clause 22)",C-12,Agreed To,172,154,0
178,2021-06-22T16:15:00,"Bill C-12, An Act respecting transparency and accountability in Canada's efforts to achieve net-zero greenhouse gas emissions by the year 2050 (report stage amendment - Motion No. 1; Group 1; Clause 7)",C-12,Agreed To,209,115,0
177,2021-06-22T16:10:09,"Government Business No. 9 (Proceedings on Bill C-12, An Act respecting transparency and accountability in Canada's efforts to achieve net-zero greenhouse gas emissions by the year 2050)",,Agreed To,207,112,0
176,2021-06-22T16:00:25,Motion for closure,,Agreed To,176,149,0
175,2021-06-22T15:15:46,"3rd reading and adoption of Bill C-6, An Act to amend the Criminal Code (conversion therapy)",C-6,Agreed To,263,63,0
174,2021-06-21T23:57:00,"3rd reading and adoption of Bill C-10, An Act to amend the Broadcasting Act and to make related and consequential amendments to other Acts",C-10,Agreed To,196,112,0
173,2021-06-21T23:50:00,"Concurrence at report stage of Bill C-10, An Act to amend the Broadcasting Act and to make related and consequential amendments to other Acts",C-10,Agreed To,203,118,0
172,2021-06-21T23:45:00,"Bill C-10, An Act to amend the Broadcasting Act and to make related and consequential amendments to other Acts (report stage amendment — Motion No.22; Group 1; Clause 46.1)",C-10,Agreed To,167,151,0
171,2021-06-21T23:40:15,"Bill C-10, An Act to amend the Broadcasting Act and to make related and consequential amendments to other Acts (report stage amendment — Motion No.18; Group 1; Clause 23)",C-10,Agreed To,200,118,0
170,2021-06-21T23:30:23,"Bill C-10, An Act to amend the Broadcasting Act and to make related and consequential amendments to other Acts (report stage amendment — Motion No.13; Group 1; Clause 10)",C-10,Negatived,49,269,0
169,2021-06-21T23:20:41,"Bill C-10, An Act to amend the Broadcasting Act and to make related and consequential amendments to other Acts (report stage amendment — Motion No.8; Group 1; Clause 8)",C-10,Negatived,49,269,0
168,2021-06-21T23:10:24,"Bill C-10, An Act to amend the Broadcasting Act and to make related and consequential amendments to other Acts (report stage amendment — Motion No.5; Group 1; Clause 8)",C-10,Negatived,49,268,0
167,2021-06-21T23:00:50,"Bill C-10, An Act to amend the Broadcasting Act and to make related and consequential amendments to other Acts (report stage amendment — Motion No.4; Group 1; Clause 8)",C-10,Agreed To,199,118,0
166,2021-06-21T22:50:11,"Bill C-10, An Act to amend the Broadcasting Act and to make related and consequential amendments to other Acts (report stage amendment — Motion No.10; Group 1; Clause 8)",C-10,Agreed To,314,3,0
165,2021-06-21T22:40:37,"Bill C-10, An Act to amend the Broadcasting Act and to make related and consequential amendments to other Acts (report stage amendment — Motion No.2; Group 1; Clause 7)",C-10,Negatived,116,200,0
164,2021-06-21T22:30:11,"Bill C-10, An Act to amend the Broadcasting Act and to make related and consequential amendments to other Acts (report stage amendment — Motion No.1; Group 1; Clause 3)",C-10,Negatived,117,200,0
163,2021-06-21T20:40:03,Government Business No. 10 (Proceedings on a bill entitled An Act to amend the Broadcasting Act and to make related and consequential amendments to other Acts),,Agreed To,181,142,0
