Riding.code	Riding	Province	Riding.history	Parliament.no	Term	Id.2	Id	Name	Party.Name	Occupation	Religion	French	Length	switch.check	Ministry	Secretary	Change.party	Temporary.suspended.caucus	Excluded.caucus	Quit.caucus	First.Nations	Country.of.Birth	Note1	Note2	vote.id	H12S1V001	H12S1V002	H12S1V003	H12S1V004	H12S1V005	H12S1V006	H12S1V007	H12S1V008	H12S1V009	H12S1V010	H12S1V011	H12S1V012	H12S1V013	H12S1V014	H12S1V015	H12S1V016	H12S2V001	H12S2V002	H12S2V003	H12S2V004	H12S2V005	H12S2V006	H12S2V007	H12S2V008	H12S2V009	H12S2V010	H12S2V011	H12S2V012	H12S2V013	H12S2V014	H12S2V015	H12S2V016	H12S2V017	H12S2V018	H12S2V019	H12S2V020	H12S2V021	H12S2V022	H12S2V023	H12S2V024	H12S2V025	H12S2V026	H12S2V027	H12S2V028	H12S2V029	H12S2V030	H12S2V031	H12S2V032	H12S2V033	H12S2V034	H12S2V035	H12S2V036	H12S2V037	H12S2V038	H12S2V039	H12S2V040	H12S2V041	H12S2V042	H12S2V043	H12S2V044	H12S2V045	H12S2V046	H12S2V047	H12S3V001	H12S3V002	H12S3V003	H12S3V004	H12S3V005	H12S3V006	H12S3V007	H12S3V008	H12S3V009	H12S3V010	H12S3V011	H12S3V012	H12S3V013	H12S3V014	H12S3V015	H12S3V016	H12S5V001	H12S6V001	H12S6V002	H12S6V003	H12S6V004	H12S6V005	H12S6V006	H12S6V007	H12S6V008	H12S6V009	H12S6V010	H12S6V011	H12S6V012	H12S7V001	H12S7V002	H12S7V003	H12S7V004	H12S7V005	H12S7V006	H12S7V007	H12S7V008	H12S7V009	H12S7V010	H12S7V011	H12S7V012	H12S7V013	H12S7V014	H12S7V015	H12S7V016	H12S7V017	H12S7V018	H12S7V019	H12S7V020	H12S7V021	H12S7V022	H12S7V023	H12S7V024	H12S7V025	H12S7V026	H12S7V027	H12S7V028	H12S7V029
144	"CHICOUTIMI--SAGUENAY"	"Quebec"	"1867 - 1924"	12	"1911.09.21"	3274	"ed48839a-21c1-4278-9fe2-7820f0a88b61"	"GIRARD, Joseph"	"Independent Conservative"	"Farmer"	"Fr.Catholic"	1	4									""	""		""	"9"	"1"	"2"	"2"	"9"	"2"	"9"	"9"	"9"	"2"	"1"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"9"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"2"	"9"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"9"	"2"	"9"	"1"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"9"	"9"	"9"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"
727	"THUNDER BAY AND RAINY RIVER"	"Ontario"	"1903 - 1914"	12	"1911.09.21"	3295	"ee76a985-a56a-4709-ae8b-853d8ec9f7f9"	"CARRICK, John James"	"Conservative (1867-1942)"	"Financial agent / adviser / consultant, real estate broker"	"Protestant"	0	1									"United States"	""		""	"9"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"2"	"9"	"2"	"1"	"2"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"9"	"2"	"9"	"9"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"1"	"9"	"2"	"9"	"9"	"9"	"1"	"1"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"
215	"ESSEX NORTH"	"Ontario"	"1882 - 1924"	12	"1911.09.21"	3329	"f13ba6c7-42fe-4251-8568-121a6f8ff019"	"WILCOX, Oliver James"	"Conservative (1867-1942)"	"Farmer"	"Protestant"	0	2									""	""		""	"2"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"9"	"2"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"1"	"2"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"9"	"9"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"1"	"2"	"9"	"9"	"2"	"1"	"2"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"
846	"YORK NORTH"	"Ontario"	"1867 - 2003"	12	"1911.09.21"	3342	"f2402ada-71b3-4f08-a6a9-fb1e906c90ec"	"ARMSTRONG, John Alexander Macdonald"	"Conservative (1867-1942)"	"Conveyancer, real estate agent"	"Protestant"	0	1									""	""		""	"2"	"1"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"1"	"2"	"1"	"1"	"2"	"2"	"2"	"9"	"9"	"1"	"1"	"1"	"9"	"2"	"9"	"9"	"2"	"9"	"2"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"2"	"9"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"9"	"2"	"9"	"9"	"1"	"2"	"9"	"2"	"9"	"1"	"2"	"9"	"2"	"9"	"9"	"2"	"9"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"9"	"2"	"9"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"9"	"9"
545	"PERTH SOUTH"	"Ontario"	"1867 - 1933"	12	"1911.09.21"	3360	"f43ef2d3-a65f-4b79-b6ae-ebbd3d16b61b"	"STEELE, Michael"	"Conservative (1867-1942)"	"Physician"	"Protestant"	0	1									""	""		""	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"9"	"9"	"9"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"9"	"1"	"2"	"9"	"9"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"2"	"2"	"1"	"1"	"9"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"9"	"1"	"1"	"2"	"9"	"2"	"2"	"1"	"2"	"9"	"2"	"9"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"9"	"2"	"1"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"1"	"1"	"1"
723	"TERREBONNE"	"Quebec"	"1867 - 1996"	12	"1915.02.08-1917.02.11"	3391	"f7097b09-e490-482c-80fe-8f939478e7e2"	"ROCHON, Gedeon"	"Conservative (1867-1942)"	"Lawyer"	"Fr.Catholic"	1	1									""	"Died in office: 1917.02.11."		""	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"
63	"BRANT"	"Ontario"	"1903 - 1947"	12	"1911.09.21-1917.07.25"	3424	"f98bf29e-fd88-4ece-92c5-05fe835a754c"	"FISHER, John Henry"	"Conservative (1867-1942)"	"Merchant"	"Protestant"	0	1									""	"Resignation. Called to the Senate: 1917.07.25."		""	"2"	"1"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"9"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"9"	"2"	"2"	"1"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"9"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"9"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"
779	"VICTORIA"	"Alberta"	"1907 - 1924"	12	"1911.09.21"	3459	"fd82d687-a16a-4640-80cd-8b47d23d4d0b"	"WHITE, William Henry"	"Liberal Party of Canada"	"Farmer"	"Protestant"	0	2									""	""		""	"1"	"2"	"1"	"1"	"1"	"9"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"2"	"1"	"1"	"2"	"1"	"2"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"1"	"1"	"9"	"9"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"9"	"9"	"1"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"
376	"LAPRAIRIE--NAPIERVILLE"	"Quebec"	"1892 - 1933"	12	"1911.09.21"	3471	"fe45452f-74d7-483e-ac86-64e9b3a8f1b7"	"LANCTOT, Roch"	"Liberal Party of Canada"	"Farmer"	"Fr.Catholic"	1	3									""	""		""	"1"	"9"	"1"	"1"	"1"	"1"	"9"	"9"	"9"	"1"	"2"	"1"	"1"	"9"	"9"	"9"	"1"	"2"	"1"	"1"	"2"	"9"	"2"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"9"	"2"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"1"	"1"	"1"	"1"	"2"	"1"	"9"	"1"	"1"	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"9"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"9"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"1"	"9"	"9"	"9"	"2"	"1"	"1"	"2"	"1"	"2"	"2"	"9"	"9"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"2"	"1"	"2"	"9"	"9"
601	"RENFREW SOUTH"	"Ontario"	"1867 - 1966"	12	"1911.09.21-1911.12.07"	3472	"fe45cc27-e8e2-4fd4-b322-ff6ec72a5a88"	"LOW, Thomas Andrew"	"Liberal Party of Canada"	"Industrialist, lumberman"	"Protestant"	0	2									""	"Resignation: 1911.12.07"		""	"1"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"
529	"OXFORD NORTH"	"Ontario"	"1867 - 1933"	12	"1911.09.21"	3478	"fec8fb76-539a-4343-9bea-79ced68f163b"	"NESBITT, Edward Walter"	"Liberal Party of Canada"	"Insurance agent, real estate agent"	"Protestant"	0	2									""	""		""	"1"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"9"	"9"	"9"	"2"	"1"	"1"	"2"	"1"	"1"	"2"	"9"	"2"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"9"	"2"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"9"	"1"	"2"	"1"	"9"	"9"	"1"	"9"	"9"	"9"	"1"	"9"	"2"	"1"	"9"	"9"	"9"	"2"	"9"	"1"	"1"	"9"	"9"	"1"	"1"	"1"	"1"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"1"	"1"	"2"	"1"	"1"	"9"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"
535	"PARRY SOUND"	"Ontario"	"1903 - 1947"	12	"1911.09.21"	3487	"ffc0d86c-0b49-4d02-97fa-af4c40b96369"	"ARTHURS, James"	"Conservative (1867-1942)"	"Gentleman, merchant"	"Protestant"	0	2									""	""		""	"2"	"1"	"2"	"2"	"2"	"2"	"9"	"9"	"9"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"9"	"9"	"1"	"1"	"1"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"2"	"2"	"2"	"9"	"9"	"1"	"1"	"1"	"1"	"2"	"9"	"2"	"2"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"9"	"1"	"2"	"9"	"9"	"9"	"9"	"2"	"9"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"2"	"9"	"1"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"9"	"9"	"9"
