Riding.code	Riding	Province	Riding.history	Parliament.no	Term	Id.2	Id	Name	Party.Name	Occupation	Religion	French	Length	switch.check	Ministry	Secretary	Change.party	Temporary.suspended.caucus	Excluded.caucus	Quit.caucus	First.Nations	Country.of.Birth	Note1	Note2	vote.id	H31S1V001	H31S1V002	H31S1V003	H31S1V004	H31S1V005	H31S1V006	H31S1V007	H31S1V008
508	"OKANAGAN NORTH"	"British Columbia"	"1976 - 1987"	31	"1979.05.22"	1181	"5656fdd7-95ab-4039-8bc2-c9cd42de2814"	"WHITTAKER, George"	"Progressive Conservative Party"	"Farmer, orchardist"		0	3								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
366	"LAMBTON--MIDDLESEX"	"Ontario"	"1976 - 1996"	31	"1979.05.22"	1187	"56cfd382-5482-4011-8f49-fd46b5bd88d6"	"FRALEIGH, Sid"	"Progressive Conservative Party"	"Farmer"		0	1								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
534	"PARKDALE--HIGH PARK"	"Ontario"	"1976 - "	31	"1979.05.22"	1193	"573c0758-57bf-4bcb-8ccf-b10290b5e0c9"	"FLIS, Jesse"	"Liberal Party of Canada"	"Educator, school principal"		0	1								""	""	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"9"	"1"
1247	"QUEBEC-EST"	"Quebec"	"1966 - 1996"	31	"1979.05.22"	1196	"5763cb6f-2e75-4497-8be1-74a10756914a"	"DUQUET, Gerard"	"Liberal Party of Canada"	"Business agent, businessman, manager"		1	5								""	""	""		""	"2"	"9"	"1"	"9"	"1"	"2"	"2"	"1"
344	"KITCHENER"	"Ontario"	"1966 - 1996"	31	"1979.05.22"	1213	"58ec03bb-4e6a-4eb0-b14a-3d29508c4ac9"	"REIMER, John"	"Progressive Conservative Party"	"Educator"		0	1								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
403	"LONDON WEST"	"Ontario"	"1966 - "	31	"1979.05.22"	1252	"5b94ccd9-15ae-4138-9cd1-327d8d6e30cb"	"BUCHANAN, Judd"	"Liberal Party of Canada"	"Businessman, life insurance agent"		0	4								""	""	""		""	"9"	"9"	"1"	"1"	"1"	"9"	"2"	"1"
728	"THUNDER BAY--ATIKOKAN"	"Ontario"	"1976 - 2003"	31	"1979.05.22"	1267	"5d169cac-f116-46fd-9ff6-73cffa8348d5"	"MCRAE, Paul"	"Liberal Party of Canada"	"School principal"		0	3								""	""	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"
512	"ONTARIO"	"Ontario"	"1924 - 1996"	31	"1979.05.22"	1298	"5f1b1598-eccb-4311-824c-051698d34046"	"FENNELL, Scott"	"Progressive Conservative Party"	"Businessman, insurance executive"		0	1			1					""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
1249	"REGINA EAST"	"Saskatchewan"	"1976 - 1987"	31	"1979.05.22"	1311	"5fd68b94-0c72-4ac3-a336-e9302792c3c8"	"DE JONG, Simon"	"New Democratic Party"	"Painter, restaurant owner"		0	1								""	"Indonesia"	""		""	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"1"
597	"REGINA WEST"	"Saskatchewan"	"1976 - 1987"	31	"1979.05.22"	1312	"5fe02b34-43c8-48d3-a5a8-013554a3ef13"	"BENJAMIN, Les"	"New Democratic Party"	"Manager, railway station agent, secretary, telegrapher"		0	4								""	""	""		""	"2"	"1"	"1"	"1"	"1"	"9"	"9"	"1"
