Riding.code	Riding	Province	Riding.history	Parliament.no	Term	Id.2	Id	Name	Party.Name	Occupation	Religion	French	Length	switch.check	Ministry	Secretary	Change.party	Temporary.suspended.caucus	Excluded.caucus	Quit.caucus	First.Nations	Country.of.Birth	Note1	Note2	vote.id	H31S1V001	H31S1V002	H31S1V003	H31S1V004	H31S1V005	H31S1V006	H31S1V007	H31S1V008
565	"PRINCE ALBERT"	"Saskatchewan"	"1907 - 1987"	31	"1979.11.19"	1809	"822d0d84-1a91-4125-91d7-56cc29e844a3"	"HOVDEBO, Stan"	"New Democratic Party"	"Educator"		0	1								""	""	""		""	"99"	"99"	"99"	"99"	"99"	"2"	"2"	"1"
262	"HALDIMAND--NORFOLK"	"Ontario"	"1976 - 1996"	31	"1979.05.22"	1820	"82a7280e-c033-4d44-9582-d2d19a1d1af9"	"BRADLEY, Bud"	"Progressive Conservative Party"	"Dentist"		0	1								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"2"
771	"VERCHERES"	"Quebec"	"1976 - 1998"	31	"1979.05.22"	1842	"8449932e-c517-4ada-93a4-e6153d5e085f"	"LOISELLE, Bernard"	"Liberal Party of Canada"	"Lawyer"		1	2								""	""	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"
105	"CAMBRIDGE"	"Ontario"	"1976 - "	31	"1979.05.22"	1844	"84844442-9039-4d12-840b-d5b1b45f743e"	"SPEYER, Chris"	"Progressive Conservative Party"	"Criminal lawyer"		0	1			1					""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
565	"PRINCE ALBERT"	"Saskatchewan"	"1907 - 1987"	31	"1979.05.22-1979.08.16"	1846	"84909dc1-9a60-44b3-a939-2393ab563089"	"DIEFENBAKER, John George"	"Progressive Conservative Party"	"Barrister, lawyer"		0	13								""	""	"Died in office: 1979.08.16"		""	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"
140	"CH�TEAUGUAY"	"Quebec"	"1976 - 2003"	31	"1979.05.22"	1855	"84ece46f-6d8e-43b4-b2c6-b90c023c35e4"	"WATSON, Ian"	"Liberal Party of Canada"	"Lawyer"		0	6								""	""	""		""	"9"	"2"	"9"	"9"	"1"	"2"	"2"	"1"
180	"DON VALLEY WEST"	"Ontario"	"1976 - "	31	"1979.05.22"	1865	"85e6ed23-576e-4cab-8ce0-3d8704262e0f"	"BOSLEY, John"	"Progressive Conservative Party"	"Businessman"		0	1			1					""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
537	"PEACE RIVER"	"Alberta"	"1924 - "	31	"1979.05.22"	1904	"88de9baa-8839-401f-9aa2-55522b62d47f"	"BALDWIN, Ged"	"Progressive Conservative Party"	"Barrister, lawyer"		0	8								""	"New Zealand"	""		""	"9"	"9"	"9"	"9"	"2"	"1"	"1"	"2"
798	"WELLINGTON--DUFFERIN--SIMCOE"	"Ontario"	"1977 - 1987"	31	"1979.05.22"	1906	"88f42d94-442c-4018-ae00-686140d8b377"	"BEATTY, Perrin"	"Progressive Conservative Party"	"Businessman, public servant"		0	3		1						""	""	""		""	"2"	"2"	"2"	"9"	"2"	"1"	"1"	"2"
135	"CHARLEVOIX"	"Quebec"	"1947 - 2003"	31	"1979.05.22"	1922	"8a0aa104-e5d1-4c87-816f-112ae63f3b31"	"LAPOINTE, Charles"	"Liberal Party of Canada"	"Professor, public servant"		1	2								""	""	""		""	"2"	"2"	"1"	"9"	"1"	"2"	"2"	"1"
151	"COCHRANE"	"Ontario"	"1977 - 1980"	31	"1979.05.22"	1925	"8a483205-9d78-4b58-abc3-f74ae4f73326"	"PENNER, Keith"	"Liberal Party of Canada"	"Teacher"		0	4								""	""	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"9"	"1"
357	"LACHINE"	"Quebec"	"1976 - 1987"	31	"1979.05.22"	1939	"8b173462-ff95-47f1-a93e-a813c66ddd7b"	"BLAKER, Rod"	"Liberal Party of Canada"	"Announcer, journalist, lawyer"		0	3								""	""	""		""	"2"	"9"	"1"	"1"	"1"	"2"	"9"	"1"
842	"YORK CENTRE"	"Ontario"	"1952 - "	31	"1979.05.22"	1952	"8c4715f2-2a10-48a2-bbeb-b3f407c4df4b"	"KAPLAN, Bob"	"Liberal Party of Canada"	"Barrister and solicitor, lawyer"		0	3								""	""	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"
859	"YUKON"	"Yukon"	"1952 - "	31	"1979.05.22"	1956	"8c857bdf-3db5-43c3-8ee0-d33d66a80817"	"NIELSEN, Erik"	"Progressive Conservative Party"	"Barrister, lawyer"		0	9		1						""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"2"
50	"BLAINVILLE--DEUX-MONTAGNES"	"Quebec"	"1977 - 1996"	31	"1979.05.22"	1957	"8c88b631-34e1-4a75-a603-833894d455c1"	"FOX, Francis"	"Liberal Party of Canada"	"Executive, lawyer"		0	3								""	""	""		""	"2"	"2"	"1"	"9"	"1"	"2"	"9"	"1"
325	"KENORA--RAINY RIVER"	"Ontario"	"1924 - 2003"	31	"1979.05.22"	1961	"8cd6c785-293e-4f33-8d82-a119256eca2d"	"REID, John M."	"Liberal Party of Canada"	"Lecturer, professor, teacher"		0	5								""	""	""		""	"9"	"2"	"1"	"9"	"1"	"2"	"2"	"1"
696	"SPADINA"	"Ontario"	"1933 - 1987"	31	"1979.05.22"	1969	"8d4733c4-bab3-4e88-bf3e-cc9a885899bd"	"STOLLERY, Peter"	"Liberal Party of Canada"	"Author, businessman, journalist"		0	3								""	""	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"
532	"PAPINEAU"	"Quebec"	"1947 - 1987"	31	"1979.05.22"	1989	"8eed4f27-aee9-4796-b78e-b81a57c98ee8"	"OUELLET, Andre"	"Liberal Party of Canada"	"Lawyer"		1	5								""	""	""		""	"2"	"9"	"1"	"1"	"1"	"9"	"2"	"1"
829	"WINNIPEG--ST. JAMES"	"Manitoba"	"1976 - 1996"	31	"1979.05.22"	2002	"8fb9ee48-25d4-4d95-979a-a1538b580b48"	"LANE, Bob"	"Progressive Conservative Party"	"Insurance executive"		0	1								""	""	""		""	"2"	"2"	"2"	"9"	"2"	"1"	"1"	"2"
789	"WATERLOO"	"Ontario"	"1976 - 1996"	31	"1979.05.22"	2041	"925bb99f-3fdf-4e80-975f-6712f64599ed"	"MCLEAN, Walter"	"Progressive Conservative Party"	"Clergyperson, international affairs consultant, military - chaplain, minister"		0	1								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
220	"ETOBICOKE CENTRE"	"Ontario"	"1976 - "	31	"1979.05.22"	2049	"93108f92-7ed6-4601-8610-a5aa10516fb9"	"WILSON, Michael"	"Progressive Conservative Party"	"Businessman, investment dealer"		0	1		1						""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
620	"ROSEMONT"	"Quebec"	"1976 - 2000"	31	"1979.05.22"	2071	"94b2cada-c697-45a9-81a7-c2dfe36ba41a"	"LACHANCE, Claude-Andre"	"Liberal Party of Canada"	"Articling student, lawyer"		1	2								""	""	""		""	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"1"
448	"MISSISQUOI"	"Quebec"	"1976 - 1983"	31	"1979.05.22"	2087	"95d80bc3-ef90-4b95-aa06-66756301e54b"	"GRAFFTEY, Heward"	"Progressive Conservative Party"	"Author, businessman, lawyer, lumber merchant, merchant"		0	7		1						""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
398	"LINCOLN"	"Ontario"	"1903 - 1996"	31	"1979.05.22"	2099	"968c0ea6-91de-40f9-add3-b92593e54218"	"HIGSON, Ken"	"Progressive Conservative Party"	"Barrister and solicitor, lawyer"		0	2								""	"England"	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
102	"CALGARY SOUTH"	"Alberta"	"1952 - 1987"	31	"1979.05.22"	2106	"96e06a60-b9cb-4460-a999-a836b22b33cf"	"THOMSON, John"	"Progressive Conservative Party"	"Businessman"		0	1								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
400	"LISGAR"	"Manitoba"	"1871 - 1987"	31	"1979.05.22"	2107	"970fa2d3-667f-4389-879d-78a2f8146489"	"MURTA, Jack"	"Progressive Conservative Party"	"Farmer"		0	4			1					""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
422	"MANICOUAGAN"	"Quebec"	"1966 - "	31	"1979.05.22"	2118	"980efb87-aecc-4a77-bb40-a7fcf84a9ec0"	"MALTAIS, Andre"	"Liberal Party of Canada"	"School administrator"		1	1								""	""	""		""	"2"	"2"	"1"	"9"	"1"	"9"	"2"	"1"
619	"ROSEDALE"	"Ontario"	"1933 - 1996"	31	"1979.05.22"	2120	"9822cf68-94be-4d0c-9a5c-ba57f408fe81"	"CROMBIE, David"	"Progressive Conservative Party"	"Teacher"		0	2		1						""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"2"
73	"BROADVIEW--GREENWOOD"	"Ontario"	"1976 - 2000"	31	"1979.05.22"	2126	"98af71e6-be2b-40e8-9501-4e5c27ebbbf5"	"RAE, Bob"	"New Democratic Party"	"Lawyer"		0	2								""	""	""		""	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"1"
290	"HUMBER--PORT AU PORT--ST. BARBE"	"Newfoundland and Labrador"	"1978 - 1987"	31	"1979.05.22"	2133	"99383735-7d0d-4107-8b2b-09cbb70f3f23"	"FAOUR, Fonse"	"New Democratic Party"	"Lawyer"		0	2								""	""	""		""	"2"	"1"	"1"	"9"	"1"	"2"	"2"	"1"
445	"MISSION--PORT MOODY"	"British Columbia"	"1976 - 1987"	31	"1979.05.22"	2134	"99588785-2883-4677-aa8a-76e8bbf45189"	"ROSE, Mark"	"New Democratic Party"	"Professor"		0	3								""	""	""		""	"2"	"1"	"1"	"1"	"1"	"9"	"2"	"1"
649	"SAINT-LEONARD--ANJOU"	"Quebec"	"1977 - 1987"	31	"1979.05.22"	2145	"99ef4591-5278-4c89-832d-2b5d3e59b294"	"BEGIN, Monique"	"Liberal Party of Canada"	"Administrator, sociologist"		1	3								""	"Italy"	""		""	"2"	"2"	"1"	"9"	"1"	"2"	"9"	"1"
101	"CALGARY NORTH"	"Alberta"	"1952 - 1996"	31	"1979.05.22"	2150	"9a216666-6b6a-4761-9a98-afc11747bf5f"	"WOOLLIAMS, Eldon"	"Progressive Conservative Party"	"Barrister and solicitor, teacher, trial lawyer"		0	8								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
767	"VAUDREUIL"	"Quebec"	"1966 - 1997"	31	"1979.05.22"	2154	"9aa320e1-0bfb-425f-8b78-fa2be23f7799"	"HERBERT, Hal"	"Liberal Party of Canada"	"Construction executive"		0	3								""	"England"	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"
128	"CHAMBLY"	"Quebec"	"1966 - 2003"	31	"1979.05.22"	2159	"9af1fb09-1559-4bc5-84d2-d9357ce5b4a5"	"DUPONT, Raymond"	"Liberal Party of Canada"	"Businessman, labour relations consultant, technical adviser"		1	3								""	""	""		""	"2"	"2"	"1"	"9"	"1"	"2"	"9"	"1"
126	"CENTRAL NOVA"	"Nova Scotia"	"1966 - 1996"	31	"1979.05.22"	2173	"9bc870a5-bc5d-4b05-ac22-779f048d206c"	"MACKAY, Elmer M."	"Progressive Conservative Party"	"Barrister and solicitor, lawyer"		0	4		1						""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
168	"DARTMOUTH--HALIFAX EAST"	"Nova Scotia"	"1966 - 1987"	31	"1979.05.22"	2189	"9cb3329c-5fe9-4802-9ac6-72983fd57600"	"FORRESTALL, Mike"	"Progressive Conservative Party"	"Businessman, journalist, manager"		0	5								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
347	"KOOTENAY EAST--REVELSTOKE"	"British Columbia"	"1977 - 1987"	31	"1979.05.22"	2202	"9dce881e-c1e3-458c-a569-833ed891a77f"	"GRAHAM, Stan"	"Progressive Conservative Party"	"Businessman"		0	1								""	"Northern Ireland"	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
689	"SKEENA"	"British Columbia"	"1914 - 2003"	31	"1979.05.22"	2258	"a23123f4-9e40-4b5a-8a6d-1cf81a56c4a8"	"FULTON, Jim"	"New Democratic Party"	"Executive director, probation officer"		0	1								""	""	""		""	"2"	"1"	"1"	"9"	"1"	"2"	"2"	"1"
839	"YELLOWHEAD"	"Alberta"	"1976 - "	31	"1979.05.22"	2261	"a247d1d3-3b05-46ac-b9f3-6622ab25d695"	"CLARK, Joe"	"Progressive Conservative Party"	"Journalist, lecturer"		0	3		1						""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
227	"FRASER VALLEY WEST"	"British Columbia"	"1966 - 1996"	31	"1979.05.22"	2277	"a3e7d649-bca5-467e-93b1-86911b50a1ca"	"WENMAN, Robert L."	"Progressive Conservative Party"	"Businessman, investment counsellor, teacher"		0	2								""	""	""		""	"9"	"2"	"2"	"9"	"2"	"1"	"1"	"2"
408	"LOUIS-HEBERT"	"Quebec"	"1966 - "	31	"1979.05.22"	2282	"a405dd7c-2912-4119-90b8-11c1146a7cf6"	"DAWSON, Dennis"	"Liberal Party of Canada"	"Administrator, government relations advisor, public affairs consultant"		0	2								""	""	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"
643	"SAINT-JEAN"	"Quebec"	"1966 - "	31	"1979.05.22"	2289	"a469cd1e-df71-4927-894c-3cb9f450572f"	"MASSE, Paul-Andre"	"Liberal Party of Canada"	"Public servant"		1	1								""	""	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"9"	"1"
342	"KINGSTON AND THE ISLANDS"	"Ontario"	"1966 - "	31	"1979.05.22"	2308	"a5991092-dfe7-49e8-af99-874d3a54d86b"	"MACDONALD, Flora"	"Progressive Conservative Party"	"Administrator, consultant, secretary, tutor"		0	3		1						""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"9"
574	"PROVENCHER"	"Manitoba"	"1871 - "	31	"1979.05.22"	2309	"a59b2ec7-63a6-4ab2-adc9-53f2dea03531"	"EPP, Jake"	"Progressive Conservative Party"	"Business executive, teacher"		0	3		1						""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
214	"ESSEX--KENT"	"Ontario"	"1976 - 1996"	31	"1979.05.22"	2316	"a5e5719a-9f46-4d87-8735-8e48aa80aa6d"	"DAUDLIN, Bob"	"Liberal Party of Canada"	"Lawyer"		0	2								""	""	""		""	"2"	"9"	"1"	"1"	"1"	"2"	"9"	"1"
725	"THE BATTLEFORDS--MEADOW LAKE"	"Saskatchewan"	"1976 - 1996"	31	"1979.05.22"	2335	"a6fffcf0-715d-440a-86bf-65889908bbfa"	"NYLANDER, Terry A."	"Progressive Conservative Party"	"Farmer"		0	1								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
855	"YORK--SUNBURY"	"New Brunswick"	"1914 - 1987"	31	"1979.05.22"	2336	"a7474277-44f0-499e-89da-c9e09d502fa6"	"HOWIE, J. Robert"	"Progressive Conservative Party"	"Lawyer"		0	3		1						""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
115	"CAPILANO"	"British Columbia"	"1966 - 1987"	31	"1979.05.22"	2365	"a94811da-283f-40aa-84b6-809890ebbe90"	"HUNTINGTON, Ron"	"Progressive Conservative Party"	"Agrologist, businessman, corporate executive, military, reservist"		0	2		1						""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
516	"OSHAWA"	"Ontario"	"1976 - "	31	"1979.05.22"	2384	"aa40bd53-d3d5-4a04-8bff-608d6728890a"	"BROADBENT, Ed"	"New Democratic Party"	"Professor"		0	4								""	""	""		""	"2"	"1"	"1"	"9"	"1"	"2"	"2"	"1"
232	"FUNDY--ROYAL"	"New Brunswick"	"1966 - 2003"	31	"1979.05.22"	2385	"aa4f6101-0038-477c-8c4c-7323743534ab"	"CORBETT, Bob"	"Progressive Conservative Party"	"Businessman"		0	2								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"2"
288	"HOCHELAGA--MAISONNEUVE"	"Quebec"	"1978 - 2003"	31	"1979.05.22"	2387	"aa785846-d1fb-4deb-8576-736b326fcc22"	"JOYAL, Serge"	"Liberal Party of Canada"	"Lawyer"		1	2								""	""	""		""	"9"	"9"	"9"	"1"	"1"	"2"	"9"	"9"
124	"CARLETON--CHARLOTTE"	"New Brunswick"	"1966 - 1996"	31	"1979.05.22"	2407	"ac221b2f-7ac1-40e1-ab4d-76db02682569"	"MCCAIN, Fred"	"Progressive Conservative Party"	"Businessman, farmer, produce dealer, teacher"		0	3								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
43	"BEAUHARNOIS--SALABERRY"	"Quebec"	"1977 - "	31	"1979.05.22"	2409	"ac2deb3a-df24-46e0-836e-f56573763ca6"	"LANIEL, Gerald"	"Liberal Party of Canada"	"Insurance broker, military, reservist"		1	7								""	""	""		""	"9"	"9"	"1"	"9"	"1"	"9"	"9"	"1"
286	"HILLSBOROUGH"	"Prince Edward Island"	"1966 - 2003"	31	"1979.05.22"	2462	"b0a1f10c-bd00-4b10-934b-ac7b026143e4"	"MCMILLAN, Thomas Michael"	"Progressive Conservative Party"	"Political scientist"		0	1								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
169	"DAUPHIN"	"Manitoba"	"1903 - 1983"	31	"1979.05.22"	2467	"b0dc3ba1-fe48-402c-abb0-275ec311bb8d"	"RITCHIE, Gordon"	"Progressive Conservative Party"	"Physician, surgeon"		0	4								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
44	"BELLECHASSE"	"Quebec"	"1867 - 1996"	31	"1979.05.22"	2478	"b1ccfdc7-2d27-496a-a1d7-37b8dd920000"	"LAMBERT, Adrien"	"Social Credit"	"Farmer"		1	4								""	""	""		""	"1"	"2"	"2"	"2"	"2"	"9"	"9"	"9"
438	"MERCIER"	"Quebec"	"1933 - 1980"	31	"1979.05.22"	2488	"b2250392-2871-461e-ace4-abf16919ca11"	"HERVIEUX-PAYETTE, Celine"	"Liberal Party of Canada"	"Administrator, businesswoman, director of public relations, lawyer"		1	1								""	""	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"
1253	"ST. BONIFACE"	"Manitoba"	"1952 - 1996"	31	"1979.05.22"	2496	"b2bac502-7edd-43fc-b68a-1edd076606f4"	"BOCKSTAEL, Robert"	"Liberal Party of Canada"	"Businessman"		0	1								""	""	""		""	"2"	"2"	"1"	"9"	"1"	"2"	"2"	"1"
827	"WINNIPEG--BIRDS HILL"	"Manitoba"	"1976 - 1987"	31	"1979.05.22"	2506	"b42f24b0-65c3-47aa-9997-d0678cacc904"	"BLAIKIE, Bill"	"New Democratic Party"	"Clergyperson"		0	1								""	""	""		""	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"1"
221	"ETOBICOKE NORTH"	"Ontario"	"1976 - "	31	"1979.05.22"	2526	"b584b209-262d-4ff7-afff-ad7b64ef8c69"	"MACLAREN, Roy"	"Liberal Party of Canada"	"Author, diplomat, publisher"		0	1								""	""	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"9"	"1"
116	"CARDIGAN"	"Prince Edward Island"	"1966 - "	31	"1979.05.22"	2529	"b5b6cd91-70df-4577-a440-f6eb22b53284"	"MACDONALD, Wilbur"	"Progressive Conservative Party"	"Farmer"		0	1								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
177	"DOLLARD"	"Quebec"	"1952 - 1987"	31	"1979.05.22"	2536	"b660148b-1fa6-4cb1-91ad-98d018141b6e"	"DESMARAIS, Louis R."	"Liberal Party of Canada"	"Chartered accountant"		1	1								""	""	""		""	"2"	"2"	"1"	"1"	"1"	"9"	"2"	"1"
57	"BOURASSA"	"Quebec"	"1976 - "	31	"1979.05.22"	2542	"b742b494-325b-4986-bb97-f410d0d134d9"	"ROSSI, Carlo"	"Liberal Party of Canada"	"Detective lieutenant, police officer"		0	1								""	""	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"9"	"1"
459	"MONTMORENCY"	"Quebec"	"1966 - 1980"	31	"1979.05.22"	2548	"b767292d-068f-4ea1-a029-ac672d56bcf0"	"DUCLOS, Louis"	"Liberal Party of Canada"	"Administrator"		1	2								""	""	""		""	"2"	"9"	"1"	"9"	"1"	"2"	"9"	"1"
162	"COWICHAN--MALAHAT--THE ISLANDS"	"British Columbia"	"1976 - 1987"	31	"1979.05.22"	2554	"b7bc2149-6540-4b76-a2a1-b2a1e2ed1399"	"TAYLOR, Don L."	"Progressive Conservative Party"	"Teacher"		0	1								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
536	"PARRY SOUND--MUSKOKA"	"Ontario"	"1947 - "	31	"1979.05.22"	2558	"b7f39a72-55df-48bd-acff-73eeb8fe2318"	"DARLING, Stan"	"Progressive Conservative Party"	"Insurance agent, insurance broker, realtor"		0	3								""	""	""		""	"2"	"2"	"2"	"9"	"2"	"1"	"1"	"2"
547	"PETERBOROUGH"	"Ontario"	"1952 - "	31	"1979.05.22"	2564	"b8477412-c099-4b2b-89a8-94155dd3d914"	"DOMM, Bill"	"Progressive Conservative Party"	"Broadcaster, businessman, salesman"		0	1								""	""	""		""	"2"	"2"	"2"	"9"	"2"	"1"	"1"	"2"
354	"LAC-SAINT-JEAN"	"Quebec"	"1947 - 2000"	31	"1979.05.22"	2570	"b8b44e5f-2064-4195-9cb1-770b1066e67d"	"LESSARD, Marcel"	"Liberal Party of Canada"	"Foreman"		1	6								""	""	""		""	"2"	"2"	"1"	"9"	"1"	"2"	"2"	"1"
484	"NICKEL BELT"	"Ontario"	"1952 - "	31	"1979.05.22"	2572	"b8d398f6-0459-4cd1-9369-c5cb5c1d7dd6"	"RODRIGUEZ, John"	"New Democratic Party"	"Teacher"		0	3								""	"British Guyana"	""		""	"2"	"1"	"1"	"9"	"1"	"2"	"9"	"1"
503	"NORTHUMBERLAND--MIRAMICHI"	"New Brunswick"	"1955 - 1987"	31	"1979.05.22"	2603	"ba852ff7-6032-40eb-a0ab-40ad79bdac9a"	"DIONNE, Maurice A."	"Liberal Party of Canada"	"School principal, teacher"		1	2								""	""	""		""	"2"	"2"	"1"	"1"	"1"	"9"	"9"	"1"
511	"OKANAGAN--SIMILKAMEEN"	"British Columbia"	"1976 - 1987"	31	"1979.05.22"	2616	"bb7e59e9-f6c1-4d00-b988-22389a317aa7"	"KING, Fred"	"Progressive Conservative Party"	"Farmer, orchardist, public servant"		0	1								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
694	"SOUTH WEST NOVA"	"Nova Scotia"	"1976 - 1996"	31	"1979.05.22"	2618	"bba77dd2-2c2b-44f3-997d-7777bd1cf011"	"HALIBURTON, Charles E."	"Progressive Conservative Party"	"Barrister, lawyer"		0	2								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
522	"OTTAWA WEST"	"Ontario"	"1933 - 1996"	31	"1979.05.22"	2624	"bc386751-37af-41c9-8b69-2616ca791134"	"BINKS, Ken"	"Progressive Conservative Party"	"Lawyer"		0	1								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
272	"HAMILTON WEST"	"Ontario"	"1903 - 2003"	31	"1979.05.22"	2705	"c1f28411-ee02-4c23-9765-00b8c66fa99b"	"ALEXANDER, Lincoln M."	"Progressive Conservative Party"	"Barrister and solicitor, lawyer"		0	4		1						""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
352	"LABELLE"	"Quebec"	"1892 - 1987"	31	"1979.05.22"	2720	"c32c74a5-e4ff-4e12-914e-9047290829b3"	"DUPRAS, Maurice"	"Liberal Party of Canada"	"Businessman, insurance broker"		1	4								""	""	""		""	"9"	"9"	"1"	"1"	"1"	"9"	"2"	"1"
378	"LASALLE"	"Quebec"	"1976 - 1987"	31	"1979.05.22"	2737	"c48253a3-d397-42f0-b1fa-7ea62c70cb1a"	"CAMPBELL, John"	"Liberal Party of Canada"	"Businessman, insurance agent"		0	3								""	""	""		""	"9"	"9"	"9"	"9"	"1"	"9"	"9"	"1"
562	"PORTNEUF"	"Quebec"	"1867 - 2004"	31	"1979.05.22"	2747	"c5374d3c-8290-4d21-8d69-c58dae958bc3"	"DION, Rolland"	"Liberal Party of Canada"	"Businessman"		1	1								""	""	""		""	"2"	"2"	"1"	"9"	"1"	"2"	"2"	"1"
759	"VANCOUVER EAST"	"British Columbia"	"1933 - "	31	"1979.05.22"	2750	"c561ac11-18ab-4c6c-8b7b-86b2e5484dfd"	"MITCHELL, Margaret Anne"	"New Democratic Party"	"Author, community-development worker, social worker"		0	1								""	""	""		""	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"1"
729	"THUNDER BAY--NIPIGON"	"Ontario"	"1976 - 1998"	31	"1979.05.22"	2752	"c5839d00-6380-4e74-91ce-c7dedadc181e"	"ANDRAS, Bob"	"Liberal Party of Canada"	"Automobile dealer, businessman"		0	5								""	""	""		""	"9"	"9"	"1"	"1"	"1"	"2"	"9"	"1"
1257	"ST. JOHN'S EAST"	"Newfoundland and Labrador"	"1952 - 1987"	31	"1979.05.22"	2762	"c66cf26a-e903-46cf-9b31-057ed4080f6c"	"MCGRATH, James A."	"Progressive Conservative Party"	"Advertising executive, advertising salesman, broadcaster, sales agent, sales executive"		0	7		1						""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
848	"YORK WEST"	"Ontario"	"1914 - "	31	"1979.05.22"	2772	"c6ba1fdf-fd67-4837-9fb4-a95bf59c0f15"	"FLEMING, Jim"	"Liberal Party of Canada"	"Commentator, executive assistant, journalist"		0	3								""	""	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"
322	"KAMLOOPS--SHUSWAP"	"British Columbia"	"1976 - 1987"	31	"1979.05.22"	2781	"c740cf20-0f7e-4dba-9fac-0c69221b527f"	"CAMERON, Don"	"Progressive Conservative Party"	"Heavy construction contractor"		0	1								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
677	"SHEFFORD"	"Quebec"	"1867 - "	31	"1979.05.22"	2785	"c7818821-54ca-4818-959f-245a333b9c02"	"LAPIERRE, Jean"	"Liberal Party of Canada"	"Communicator, lawyer, radio & t.v. host"		1	1								""	""	""		""	"2"	"2"	"1"	"9"	"1"	"2"	"2"	"1"
483	"NIAGARA FALLS"	"Ontario"	"1952 - "	31	"1979.05.22"	2816	"c9d0ee45-e44a-4ead-93e8-f31a8167bcbf"	"FROESE, Jake"	"Progressive Conservative Party"	"Fruit grower"		0	1								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
329	"Kent"	"Ontario"	"1976 - 1996"	31	"1979.05.22"	2817	"c9d6a895-dcc2-4f5f-b67c-ce2a995d8cb8"	"HOLMES, Bob"	"Progressive Conservative Party"	"Physician"		0	3			1					""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
763	"VANCOUVER QUADRA"	"British Columbia"	"1947 - "	31	"1979.05.22"	2843	"cbd15076-7da5-411f-b2df-85bd2fbece81"	"CLARKE, Bill"	"Progressive Conservative Party"	"Businessman, chartered accountant"		0	3								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"2"
