Riding.code	Riding	Province	Riding.history	Parliament.no	Term	Id.2	Id	Name	Party.Name	Occupation	Religion	French	Length	switch.check	Ministry	Secretary	Change.party	Temporary.suspended.caucus	Excluded.caucus	Quit.caucus	First.Nations	Country.of.Birth	Note1	Note2	vote.id	H13S1V001	H13S1V002	H13S1V003	H13S1V004	H13S1V005	H13S1V006	H13S1V007	H13S1V008	H13S1V009	H13S1V010	H13S1V011	H13S1V012	H13S1V013	H13S2V001	H13S2V002	H13S2V003	H13S2V004	H13S2V005	H13S2V006	H13S2V007	H13S2V008	H13S2V009	H13S2V010	H13S2V011	H13S2V012	H13S2V013	H13S2V014	H13S2V015	H13S2V016	H13S2V017	H13S2V018	H13S3V001	H13S3V002	H13S3V003	H13S3V004	H13S3V005	H13S3V006	H13S3V007	H13S3V008	H13S3V009	H13S3V010	H13S3V011	H13S3V012	H13S3V013	H13S3V014	H13S3V015	H13S4V001	H13S4V002	H13S4V003	H13S4V004	H13S4V005	H13S4V006	H13S4V007	H13S4V008	H13S4V009	H13S4V010	H13S4V011	H13S4V012	H13S4V013	H13S5V001	H13S5V002	H13S5V003	H13S5V004	H13S5V005	H13S5V006	H13S5V007	H13S5V008	H13S5V009	H13S5V010	H13S5V011	H13S5V012	H13S5V013	H13S5V014
476	"NEEPAWA"	"Manitoba"	"1914 - 1947"	13	"1917.12.17"	1041	"4cd26090-0a3c-45c8-8505-28f4c236f58d"	"DAVIS, Fred Langdon"	"Unionist"	"Lawyer"	"Protestant"	0	1									""	""		""	"2"	"2"	"1"	"9"	"9"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"9"	"1"	"9"	"9"	"9"	"9"	"2"	"1"	"9"	"9"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"9"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"9"	"2"	"2"	"1"	"9"	"9"	"2"	"9"	"9"	"2"	"2"	"2"	"9"
415	"MACLEOD"	"Alberta"	"1907 - 1966"	13	"1917.12.17"	1045	"4ce7129a-088b-449d-8eda-3e7f363b41fe"	"SHAW, Hugh Murray"	"Unionist"	"Farmer, rancher"	"Protestant"	0	1									""	""		""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"9"	"2"	"1"	"9"	"2"	"9"	"2"	"1"	"2"	"2"	"2"	"1"	"2"	"9"	"1"	"9"	"9"	"2"	"2"	"2"	"1"	"2"	"1"	"9"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"9"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"2"
323	"KAMOURASKA"	"Quebec"	"1867 - 1976"	13	"1917.12.17-1919.10.14 and 1919.10.27"	1050	"4d5012f1-c091-43d5-b8fc-f6f7ac8afb9c"	"LAPOINTE, Ernest"	"Laurier Liberal"	"Lawyer"	"Fr.Catholic"	1	5									""	"Resignation. To contest Quebec East: 1919.10.14"		""	"1"	"1"	"2"	"9"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"9"	"2"	"2"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"9"	"1"	"1"	"2"	"1"	"9"	"1"	"1"	"1"	"9"	"2"	"2"	"1"	"99"	"99"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"1"	"2"	"1"	"1"	"9"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"9"	"1"	"2"	"1"	"1"	"1"
576	"QU'APPELLE"	"Saskatchewan"	"1905 - 1966"	13	"1917.12.17"	1051	"4d6aec7f-24f4-4f0f-bfd9-9e401c0c7fc5"	"THOMSON, Levi"	"Unionist (Liberal)"	"Crown prosecutor, farmer, lawyer"	"Unknown"	0	2									""	""		""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"9"	"9"	"2"	"1"	"9"	"9"	"2"	"2"	"1"	"2"	"9"	"1"	"2"	"2"	"2"	"1"	"1"	"9"	"2"	"9"	"2"	"9"	"9"	"1"	"2"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"1"	"2"	"1"	"1"	"1"	"9"	"9"	"9"	"2"	"9"	"2"	"1"
313	"JACQUES CARTIER"	"Quebec"	"1867 - 1952"	13	"1917.12.17"	1071	"4ec792a6-2959-4e13-9458-a23963064623"	"LAFORTUNE, David Arthur"	"Laurier Liberal"	"Lawyer"	"Fr.Catholic"	1	3									""	""		""	"1"	"1"	"2"	"1"	"1"	"9"	"9"	"1"	"1"	"2"	"2"	"1"	"9"	"9"	"9"	"2"	"1"	"9"	"1"	"2"	"2"	"9"	"9"	"9"	"9"	"1"	"2"	"1"	"1"	"9"	"9"	"1"	"2"	"1"	"2"	"9"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"9"	"1"	"1"	"9"	"1"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"9"	"9"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"1"
790	"WATERLOO NORTH"	"Ontario"	"1867 - 1966"	13	"1917.12.17"	1073	"4f101a06-5792-4d8a-9130-5ba8fab659eb"	"EULER, William Daum"	"Laurier Liberal"	"Businessman"	"Protestant"	0	1									""	""		""	"1"	"9"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"9"	"9"	"9"	"1"	"1"	"9"	"9"	"2"	"9"	"2"	"2"	"9"	"9"	"9"	"2"	"2"	"1"	"9"	"1"	"2"	"1"	"2"	"1"	"9"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"9"	"1"	"9"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"1"	"1"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"1"
224	"FORT WILLIAM AND RAINY RIVER"	"Ontario"	"1914 - 1924"	13	"1917.12.17"	1074	"4f144b8d-0f62-4502-b6eb-6bf2aa0faaad"	"MANION, Robert James"	"Unionist"	"Physician"	"Catholic"	0	1		1							""	""		""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"9"	"2"	"1"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"1"	"2"	"9"	"2"	"9"	"1"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"9"
562	"PORTNEUF"	"Quebec"	"1867 - 2004"	13	"1917.12.17"	1088	"50213f53-4bd4-4a8f-a6eb-ae0ac7c0034d"	"DELISLE, Michel-Simeon"	"Laurier Liberal"	"Gentleman, merchant, person of independent means"	"Fr.Catholic"	1	5									""	""		""	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"9"	"1"	"2"	"9"	"1"	"2"	"9"	"9"	"9"	"9"	"1"	"9"	"1"	"2"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"1"	"9"	"1"	"1"	"1"	"1"	"2"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"1"
36	"BEAUCE"	"Quebec"	"1867 - "	13	"1917.12.17"	1092	"50634114-351e-4c08-8b61-8698a41f8814"	"BELAND, Hon. Henri Severin"	"Laurier Liberal"	"Physician"	"Fr.Catholic"	1	5									""	""		""	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"9"	"9"	"9"	"9"	"2"	"1"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"2"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"9"	"9"	"1"	"1"	"9"	"9"	"9"	"1"	"9"	"9"	"9"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"9"	"1"	"1"	"9"	"9"	"1"
23	"ASSINIBOIA"	"Saskatchewan"	"1907 - 1987"	13	"1917.12.17-1918.09.22"	1114	"52a4499f-fa60-4960-92e4-bb99baf0c85e"	"TURRIFF, John Gillanders"	"Unionist (Liberal)"	"Farmer, merchant"	"Protestant"	0	4	1			1					""	"Resignation. Called to the Senate: 1918.09.22"		""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"
263	"HALIFAX"	"Nova Scotia"	"1867 - "	13	"1917.12.17"	1138	"5406f64b-b8b6-4640-a22f-5d30fce332ee"	"MARTIN, Peter Francis"	"Unionist"	"Contractor"	"Catholic"	0	1									""	""		""	"2"	"2"	"1"	"9"	"9"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"9"	"9"	"2"	"2"	"9"	"9"	"9"	"2"	"1"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"2"
311	"INVERNESS"	"Nova Scotia"	"1867 - 1933"	13	"1917.12.17"	1142	"54527ec0-1e62-40d5-99dc-90f2d267f646"	"CHISHOLM, Alexander William"	"Laurier Liberal"	"Physician"	"Protestant"	0	3									""	""		""	"1"	"9"	"2"	"1"	"1"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"2"	"2"	"9"	"1"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"2"	"1"	"9"	"9"	"1"	"1"	"1"	"9"	"1"
254	"GREY SOUTHEAST"	"Ontario"	"1914 - 1933"	13	"1917.12.17"	1147	"547a3438-cef8-4ac8-a7f3-8351a32095bd"	"BALL, Robert James"	"Unionist"	"Accountant, life insurance agent, teacher"	"Protestant"	0	2									""	""		""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"9"	"9"	"9"	"1"	"2"	"2"	"2"	"1"	"9"	"2"	"2"	"2"	"1"	"1"	"9"	"2"	"1"	"2"	"2"	"9"	"9"	"9"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"2"	"9"	"2"	"2"	"9"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"9"	"2"	"2"	"2"	"1"	"2"	"2"
289	"HULL"	"Quebec"	"1914 - 1984"	13	"1917.12.17"	1164	"5564e3c6-63c0-4987-bf0f-fd4f2d0b4f64"	"FONTAINE, Joseph-Eloi"	"Laurier Liberal"	"Physician"	"Fr.Catholic"	1	1									""	""		""	"1"	"1"	"2"	"9"	"9"	"9"	"9"	"1"	"1"	"2"	"2"	"1"	"9"	"1"	"1"	"2"	"9"	"1"	"1"	"2"	"2"	"9"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"9"	"9"	"2"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"2"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"9"	"9"	"1"	"9"
394	"LETHBRIDGE"	"Alberta"	"1914 - 1977"	13	"1917.12.17"	1178	"56470474-43c7-4392-9d18-c5e1c4bcdfef"	"BUCHANAN, William Ashbury"	"Unionist (Liberal)"	"Journalist, publisher"	"Protestant"	0	2									""	""		""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"1"	"2"	"9"	"2"	"9"	"1"	"2"	"2"	"2"	"1"	"2"	"2"	"1"	"2"	"9"	"9"	"1"	"2"	"9"	"2"	"2"	"2"	"9"	"9"	"1"	"9"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"9"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"2"	"2"	"9"	"1"
208	"ELGIN WEST"	"Ontario"	"1867 - 1933"	13	"1917.12.17-1921.10.02"	1180	"5654ad0c-4f83-4d39-8720-1bcc13b5d7f5"	"CROTHERS, Hon. Thomas Wilson"	"Unionist"	"Lawyer, teacher"	"Protestant"	0	3		1							""	"Resignation. Appointed to the Senate: 1921.10.02"		""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"1"	"2"	"2"	"9"	"1"	"1"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"9"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"
263	"HALIFAX"	"Nova Scotia"	"1867 - "	13	"1917.12.17"	1189	"56fdc84e-aaff-46fe-bf93-d6f1014c6188"	"MACLEAN, Alexander Kenneth"	"Unionist (Liberal)"	"Lawyer"	"Protestant"	0	4		1							""	""		""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"1"	"9"	"2"	"2"	"1"	"9"	"2"	"1"	"1"	"1"	"2"	"9"	"9"	"9"	"1"	"1"	"2"	"1"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"2"	"2"	"9"	"1"
198	"EDMONTON EAST"	"Alberta"	"1914 - 2000"	13	"1917.12.17"	1206	"580f9434-03ef-4694-83f9-e54be1bff1b1"	"MACKIE, Henry Arthur"	"Unionist"	"Lawyer"	"Protestant"	0	1									""	""		""	"2"	"2"	"1"	"2"	"1"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"9"	"9"	"9"	"9"	"2"	"9"	"2"	"1"	"9"	"9"	"1"	"1"	"9"	"2"	"2"	"9"	"9"	"2"	"2"	"2"	"1"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"2"	"9"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"9"	"9"
367	"LANARK"	"Ontario"	"1914 - 1966"	13	"1918.05.02"	1215	"58f0abc6-b0e9-4950-822a-7b322eaa848b"	"STEWART, John Alexander"	"Unionist"	"Lawyer"	"Protestant"	0	1		1							""	""		""	"99"	"99"	"99"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"9"	"9"	"9"	"2"	"2"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"2"	"2"	"2"	"1"	"9"	"9"	"2"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"2"	"9"	"2"	"2"	"9"	"2"	"9"	"9"	"2"	"2"	"2"	"9"	"9"	"2"	"2"	"9"	"9"	"2"	"2"	"9"	"2"	"2"	"9"	"9"	"9"
274	"HANTS"	"Nova Scotia"	"1867 - 1924"	13	"1917.12.17"	1219	"5952bcb3-41b4-4c81-b5bb-bb705a6427fc"	"TREMAIN, Hadley Brown"	"Unionist"	"Lawyer"	"Protestant"	0	2									""	""		""	"2"	"9"	"1"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"
243	"GLOUCESTER"	"New Brunswick"	"1867 - 1990"	13	"1917.12.17"	1245	"5afbdf71-2ff3-4501-b9b3-74750bfc73ee"	"TURGEON, Onesiphore"	"Laurier Liberal"	"Editor, journalist"	"Fr.Catholic"	1	5									""	""		""	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"9"	"9"	"9"	"2"	"9"	"9"	"1"	"9"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"2"	"9"	"1"	"9"	"1"	"1"	"9"	"9"	"1"	"2"	"1"	"2"	"1"	"2"	"1"	"1"	"1"	"9"	"9"	"9"	"9"	"1"	"2"	"1"	"2"	"1"	"1"	"9"	"1"	"2"	"9"	"9"	"1"	"9"	"9"	"9"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"9"	"9"	"9"	"1"	"1"	"9"
82	"BRUCE SOUTH"	"Ontario"	"1903 - 1933"	13	"1917.12.17"	1248	"5b231382-9350-440c-ae10-5f8a94c52eda"	"TRUAX, Reuben Eldridge"	"Laurier Liberal"	"Sawmiller"	"Protestant"	0	3									""	""		""	"9"	"9"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"2"	"9"	"9"	"1"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"1"	"2"	"9"	"9"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"1"	"9"	"1"	"1"	"9"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"1"
702	"ST. JOHN--ALBERT"	"New Brunswick"	"1914 - 1966"	13	"1917.12.17"	1249	"5b60befb-1520-4b48-99b0-c045cb7cdd80"	"ELKIN, Stanley Edward"	"Unionist"	"Businessman"	"Protestant"	0	1									""	""		""	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"1"	"2"	"9"	"9"	"2"	"1"	"2"	"2"	"2"	"1"	"1"	"9"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"2"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"9"	"9"	"9"	"2"	"2"	"9"	"2"	"9"	"9"	"9"	"9"
587	"QUEEN'S"	"Prince Edward Island"	"1903 - 1966"	13	"1917.12.17"	1271	"5d2345c1-90f5-4e72-ac39-e83c1a77539f"	"NICHOLSON, Donald"	"Unionist"	"Tobacco manufacturer"	"Protestant"	0	2									""	""		""	"2"	"2"	"1"	"2"	"2"	"9"	"9"	"2"	"9"	"1"	"1"	"9"	"9"	"2"	"9"	"1"	"9"	"9"	"2"	"1"	"1"	"2"	"2"	"1"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"2"	"1"	"2"	"2"	"9"	"1"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"2"	"9"	"2"	"2"	"2"	"2"	"1"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"9"	"2"	"9"
186	"DUNDAS"	"Ontario"	"1867 - 1924"	13	"1917.12.17"	1282	"5db645d0-41d3-40b5-a6cb-1250cf2aee10"	"CASSELMAN, Orren D."	"Unionist"	"Merchant"	"Protestant"	0	1									""	""		""	"2"	"2"	"1"	"9"	"9"	"9"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"2"	"9"	"2"	"1"	"9"	"2"	"1"	"9"	"9"	"9"	"9"	"2"	"1"	"2"	"1"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"9"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"9"	"2"	"2"	"9"	"2"	"2"
339	"KINGS"	"Nova Scotia"	"1867 - 1924"	13	"1917.12.17"	1290	"5e8a24b4-f155-4f3d-aacc-e6da13c93756"	"BORDEN, Right Hon. Sir Robert Laird"	"Unionist"	"Lawyer"	"Protestant"	0	6		1							""	""		""	"2"	"2"	"1"	"2"	"2"	"2"	"9"	"2"	"2"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"1"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"2"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"9"
723	"TERREBONNE"	"Quebec"	"1867 - 1996"	13	"1917.12.17"	1313	"5fe0a99b-215e-4a47-85c2-96d98e586cfc"	"PREVOST, Jules-Edouard"	"Laurier Liberal"	"Journalist, publisher"	"Fr.Catholic"	1	1									""	""		""	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"9"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"9"	"1"	"2"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"9"	"9"	"1"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"2"	"1"	"9"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"9"	"1"	"1"	"1"	"1"	"2"	"9"	"1"	"9"
472	"NANAIMO"	"British Columbia"	"1903 - 1962"	13	"1917.12.17"	1326	"60fa0100-c6c7-45cf-bd0a-d1564a011293"	"MCINTOSH, John Charles"	"Unionist"	"Lawyer"	"Protestant"	0	1									""	""		""	"2"	"2"	"1"	"2"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"2"	"9"	"2"	"1"	"9"	"9"	"2"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"1"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"2"	"2"	"2"
755	"THREE RIVERS AND ST. MAURICE"	"Quebec"	"1892 - 1924"	13	"1917.12.17"	1340	"61c189fb-d551-49ed-82da-cc777b86b056"	"BUREAU, Jacques"	"Laurier Liberal"	"Lawyer"	"Fr.Catholic"	1	5									""	""		""	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"9"	"9"	"2"	"1"	"1"	"1"	"2"	"9"	"9"	"1"	"2"	"1"	"1"	"2"	"1"	"1"	"1"	"9"	"9"	"2"	"1"	"2"	"1"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"9"	"1"	"1"	"1"	"9"	"1"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"9"	"1"	"9"	"1"	"2"	"9"	"9"	"9"
802	"WENTWORTH"	"Ontario"	"1903 - 1966"	13	"1917.12.17"	1371	"64133edf-0990-42a2-9245-175d93050aae"	"WILSON, Gordon Crooks"	"Unionist"	"Agent, gentleman, merchant"	"Protestant"	0	2									""	""		""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"9"	"9"	"1"	"9"	"9"	"2"	"9"	"9"	"1"	"9"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"2"	"1"	"2"	"2"	"9"	"2"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"9"	"9"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"9"
411	"MACDONALD"	"Manitoba"	"1892 - 1947"	13	"1917.12.17"	1373	"642e8a90-f159-4c59-9866-73a2fe554b97"	"HENDERS, Richard Coe"	"Unionist"	"Farmer, minister"	"Protestant"	0	1									""	""		""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"9"	"2"	"2"	"2"	"1"	"9"	"2"	"2"	"1"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"
