Riding.code	Riding	Province	Riding.history	Parliament.no	Term	Id.2	Id	Name	Party.Name	Occupation	Religion	French	Length	switch.check	Ministry	Secretary	Change.party	Temporary.suspended.caucus	Excluded.caucus	Quit.caucus	First.Nations	Country.of.Birth	Note1	Note2	vote.id	H13S1V001	H13S1V002	H13S1V003	H13S1V004	H13S1V005	H13S1V006	H13S1V007	H13S1V008	H13S1V009	H13S1V010	H13S1V011	H13S1V012	H13S1V013	H13S2V001	H13S2V002	H13S2V003	H13S2V004	H13S2V005	H13S2V006	H13S2V007	H13S2V008	H13S2V009	H13S2V010	H13S2V011	H13S2V012	H13S2V013	H13S2V014	H13S2V015	H13S2V016	H13S2V017	H13S2V018	H13S3V001	H13S3V002	H13S3V003	H13S3V004	H13S3V005	H13S3V006	H13S3V007	H13S3V008	H13S3V009	H13S3V010	H13S3V011	H13S3V012	H13S3V013	H13S3V014	H13S3V015	H13S4V001	H13S4V002	H13S4V003	H13S4V004	H13S4V005	H13S4V006	H13S4V007	H13S4V008	H13S4V009	H13S4V010	H13S4V011	H13S4V012	H13S4V013	H13S5V001	H13S5V002	H13S5V003	H13S5V004	H13S5V005	H13S5V006	H13S5V007	H13S5V008	H13S5V009	H13S5V010	H13S5V011	H13S5V012	H13S5V013	H13S5V014
69	"BRANTFORD"	"Ontario"	"1903 - 1924"	13	"1917.12.17"	927	"4377f02c-8021-4cd3-9d64-deaad7b31431"	"COCKSHUTT, William F."	"Unionist"	"Businessman, manufacturer"	"Protestant"	0	3									""	""		""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"9"	"1"	"1"	"2"	"2"	"2"	"9"	"1"	"9"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"9"	"1"	"1"	"1"	"9"	"9"	"2"	"1"	"2"	"1"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"2"	"1"	"2"	"9"	"2"	"2"	"9"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"9"
409	"LUNENBURG"	"Nova Scotia"	"1867 - 1924"	13	"1917.12.17"	937	"441e220e-1526-47d2-9b2f-ab5619ae3aac"	"DUFF, William"	"Laurier Liberal"	"Fish merchant, merchant, shipowner"	"Protestant"	0	1									""	""		""	"9"	"9"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"9"	"9"	"1"	"1"	"2"	"9"	"1"	"1"	"2"	"2"	"9"	"1"	"2"	"1"	"9"	"1"	"2"	"2"	"9"	"9"	"9"	"9"	"1"	"2"	"1"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"9"	"9"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"2"	"1"	"9"	"9"	"1"	"9"	"1"	"1"	"1"
352	"LABELLE"	"Quebec"	"1892 - 1987"	13	"1917.12.17"	944	"4472d34d-ab33-4491-a84f-4c3450223604"	"FORTIER, Hyacinthe-Adelard"	"Laurier Liberal"	"Lawyer"	"Fr.Catholic"	1	1									""	""		""	"1"	"1"	"2"	"1"	"1"	"9"	"9"	"9"	"1"	"2"	"2"	"1"	"9"	"1"	"1"	"2"	"9"	"1"	"1"	"2"	"9"	"1"	"9"	"9"	"9"	"1"	"9"	"1"	"9"	"1"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"9"	"2"	"9"	"1"	"1"	"1"	"9"	"9"	"1"	"1"	"9"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"2"	"1"	"9"	"9"	"1"	"1"	"9"	"1"	"9"
456	"MONTMAGNY"	"Quebec"	"1867 - 1933"	13	"1917.12.17"	990	"47bf0f77-b906-4c4b-b2fa-fb99bda6f130"	"DECHENE, Aime-Miville"	"Laurier Liberal"	"Crown prosecutor, lawyer"	"Fr.Catholic"	1	1									""	""		""	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"2"	"9"	"1"	"1"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"9"	"1"	"1"	"1"	"2"	"9"	"2"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"2"	"1"	"9"	"1"	"1"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"
18	"ARGENTEUIL"	"Quebec"	"1867 - 1947"	13	"1917.12.17"	1006	"493aa226-db5b-4eff-854d-21fbed53bcca"	"MCGIBBON, Peter Robert"	"Laurier Liberal"	"Lumberman"	"Protestant"	0	1									""	""		""	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"9"	"1"	"1"	"9"	"2"	"9"	"1"	"1"	"2"	"2"	"9"	"1"	"2"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"1"	"2"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"1"	"9"	"1"	"1"	"1"	"1"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"1"	"9"	"9"	"9"	"1"	"1"	"9"	"1"	"9"	"9"	"1"	"9"
382	"LAURIER--OUTREMONT"	"Quebec"	"1914 - 1933"	13	"1917.12.17"	1011	"498c19a2-d3a6-4171-a7e9-b1fa32c2ec92"	"DU TREMBLAY, Pamphile-Real-Blaise-Nugent"	"Laurier Liberal"	"Lawyer"	"Fr.Catholic"	1	1									""	""		""	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"1"	"9"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"1"	"9"	"9"	"1"	"1"	"1"	"1"	"2"	"9"	"9"	"9"
768	"VAUDREUIL--SOULANGES"	"Quebec"	"1914 - 1966"	13	"1917.12.17"	1026	"4b02e0c1-1981-4162-963c-ca1a572cb6f1"	"BOYER, Gustave"	"Laurier Liberal"	"Gentleman, journalist"	"Fr.Catholic"	1	4									""	""		""	"1"	"1"	"2"	"1"	"1"	"9"	"1"	"1"	"1"	"2"	"2"	"9"	"9"	"9"	"2"	"2"	"1"	"1"	"1"	"2"	"9"	"9"	"1"	"2"	"9"	"9"	"2"	"9"	"9"	"9"	"9"	"1"	"9"	"9"	"9"	"1"	"9"	"1"	"9"	"1"	"1"	"1"	"9"	"1"	"9"	"9"	"1"	"9"	"9"	"1"	"9"	"1"	"2"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"1"	"9"	"1"	"9"	"9"	"9"	"9"	"9"
469	"MUSKOKA"	"Ontario"	"1903 - 1924"	13	"1917.12.17"	1032	"4be4381a-0630-418f-b3aa-6b95dcd88e09"	"MCGIBBON, Peter"	"Unionist"	"Physician"	"Protestant"	0	1									""	""		""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"9"	"9"	"1"	"9"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"1"	"2"	"1"	"1"	"1"	"2"	"2"	"2"	"1"	"9"	"9"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"1"	"2"	"2"	"9"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"
152	"COLCHESTER"	"Nova Scotia"	"1867 - 1933"	13	"1917.12.17-1920.07.12"	1037	"4c70db2d-27f6-41f1-886a-3572d31f53d1"	"MCCURDY, Hon. Fleming Blanchard"	"Unionist"	"Financier"	"Protestant"	0	2	1		1	1					""	"Resignation. Appointed Minister of Public Works: 1920.07.12"		""	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"1"	"9"	"2"	"1"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"2"	"9"	"2"	"2"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"
152	"COLCHESTER"	"Nova Scotia"	"1867 - 1933"	13	"1920.09.20 "	1037.1	"4c70db2d-27f6-41f1-886a-3572d31f53d1"	"MCCURDY, Hon. Fleming Blanchard"	"Nationalist Liberal"	"Financier"	"Protestant"	0	2		1							""	""		""	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"
