Riding.code	Riding	Province	Riding.history	Parliament.no	Term	Id.2	Id	Name	Party.Name	Occupation	Religion	French	Length	switch.check	Ministry	Secretary	Change.party	Temporary.suspended.caucus	Excluded.caucus	Quit.caucus	First.Nations	Country.of.Birth	Note1	Note2	vote.id	H27S1V001	H27S1V002	H27S1V003	H27S1V004	H27S1V005	H27S1V006	H27S1V007	H27S1V008	H27S1V009	H27S1V010	H27S1V011	H27S1V012	H27S1V013	H27S1V014	H27S1V015	H27S1V016	H27S1V017	H27S1V018	H27S1V019	H27S1V020	H27S1V021	H27S1V022	H27S1V023	H27S1V024	H27S1V025	H27S1V026	H27S1V027	H27S1V028	H27S1V029	H27S1V030	H27S1V031	H27S1V032	H27S1V033	H27S1V034	H27S1V035	H27S1V036	H27S1V037	H27S1V038	H27S1V039	H27S1V040	H27S1V041	H27S1V042	H27S1V043	H27S1V044	H27S1V045	H27S1V046	H27S1V047	H27S1V048	H27S1V049	H27S1V050	H27S1V051	H27S1V052	H27S1V053	H27S1V054	H27S1V055	H27S1V056	H27S1V057	H27S1V058	H27S1V059	H27S1V060	H27S1V061	H27S1V062	H27S1V063	H27S2V001	H27S2V002	H27S2V003	H27S2V004	H27S2V005	H27S2V006	H27S2V007	H27S2V008	H27S2V009	H27S2V010	H27S2V011	H27S2V012	H27S2V013	H27S2V014	H27S2V015	H27S2V016	H27S2V017	H27S2V018	H27S2V019	H27S2V020	H27S2V021	H27S2V022	H27S2V023	H27S2V024	H27S2V025	H27S2V026	H27S2V027	H27S2V028	H27S2V029	H27S2V030	H27S2V031	H27S2V032	H27S2V033	H27S2V034	H27S2V035
576	"QU'APPELLE"	"Saskatchewan"	"1905 - 1966"	27	"1965.11.08"	87	"074f5c93-b513-42b6-9ad6-39c7c659fcf4"	"HAMILTON, Alvin"	"Progressive Conservative Party"	"Teacher"		0	5									""	""		""	"1"	"1"	"1"	"2"	"1"	"9"	"1"	"1"	"9"	"9"	"2"	"2"	"2"	"2"	"9"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"9"	"9"	"9"	"9"	"1"	"9"	"1"	"9"	"9"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"9"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"9"	"1"	"1"	"2"	"1"	"2"	"9"	"9"	"9"	"9"	"1"	"9"	"9"	"1"	"2"	"2"	"9"	"2"	"2"	"9"	"9"
712	"SUDBURY"	"Ontario"	"1947 - "	27	"1967.05.29"	100	"08c50182-30a4-4233-b394-6610fdc1aa8d"	"GERMA, Bud"	"New Democratic Party"	"Armature winder"		0	1									""	""		""	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"2"	"9"	"1"	"1"	"2"	"1"	"1"	"2"	"1"	"2"	"9"	"1"	"1"	"1"	"2"	"2"	"1"	"9"	"1"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"
203	"EGLINTON"	"Ontario"	"1933 - 1976"	27	"1965.11.08"	135	"0ae975c1-8187-4ab9-b0ff-dfe9da639543"	"SHARP, Mitchell"	"Liberal Party of Canada"	"Businessman, economist"		0	2		1							""	""		""	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"2"	"1"	"1"	"2"	"1"	"2"	"2"	"2"	"1"	"1"	"2"	"1"	"2"	"1"	"2"	"2"	"9"	"1"	"2"	"2"	"2"	"1"	"9"	"9"	"2"	"1"	"2"	"1"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"1"	"9"	"1"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"1"	"2"	"2"	"9"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"2"	"1"	"1"	"1"	"1"
510	"OKANAGAN--REVELSTOKE"	"British Columbia"	"1952 - 1966"	27	"1965.11.08"	139	"0b1a83bb-370e-43db-81a7-c046126c3988"	"JOHNSTON, Howard"	"Social Credit"	"Teacher"		0	1									""	""		""	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"2"	"1"	"9"	"2"	"1"	"2"	"9"	"2"	"1"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"1"	"9"	"9"	"9"	"1"	"2"	"1"	"2"	"2"	"9"	"9"	"1"	"2"	"1"	"2"	"2"	"9"	"1"	"1"	"9"	"2"	"2"	"2"	"9"	"2"	"2"	"9"	"1"	"2"	"2"	"1"	"9"	"9"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"1"	"9"	"2"	"2"	"9"	"9"	"9"	"9"
153	"COLCHESTER--HANTS"	"Nova Scotia"	"1933 - 1966"	27	"1967.11.06"	205	"0fc16474-225b-4f98-b627-1265ff7a4004"	"STANFIELD, Robert L."	"Progressive Conservative Party"	"Barrister"		0	1									""	""		""	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"9"	"9"	"2"	"2"	"9"	"9"	"1"	"2"	"2"	"1"	"2"	"1"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"9"	"9"
787	"VILLENEUVE"	"Quebec"	"1947 - 1976"	27	"1965.11.08"	212	"100b1ca5-ed42-4c99-9d57-5ad648bd8c96"	"CAOUETTE, Real"	"Ralliement Creditiste"	"Automobile dealer, businessman, garage owner / operator, insurance agent, manager"		1	4									""	""		""	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"9"	"9"	"1"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"2"	"2"	"9"	"1"	"2"	"9"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"2"	"9"	"9"	"1"	"9"	"2"	"1"	"1"	"1"	"9"	"9"	"9"	"1"	"9"	"9"	"1"	"9"	"9"	"2"	"9"	"9"	"9"	"2"	"1"	"9"	"1"	"1"	"2"	"9"	"1"	"9"	"9"	"9"	"9"	"1"	"1"	"2"	"2"	"9"	"9"
683	"SHERBROOKE"	"Quebec"	"1924 - "	27	"1965.11.08-1968.03.06 "	213	"100c407e-17d7-4784-892d-8e24818e3189"	"ALLARD, Maurice"	"Independent Progressive Conservative"	"Lawyer, professor of law"		1	2									""	"Resignation: 1968.03.06 "		""	"2"	"9"	"1"	"1"	"1"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"1"	"9"	"9"	"2"	"9"	"9"	"1"	"9"	"9"	"2"	"9"	"9"	"9"	"2"	"1"	"2"	"1"	"2"	"1"	"9"	"2"	"2"	"1"	"9"	"9"	"1"	"2"	"1"	"9"	"2"	"1"	"1"	"1"	"2"	"1"	"2"	"2"	"1"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"9"	"1"	"1"	"1"	"1"	"2"	"2"	"9"	"1"	"9"	"9"	"1"	"9"	"9"	"1"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"2"	"9"	"99"	"99"	"99"	"99"
823	"WINNIPEG NORTH CENTRE"	"Manitoba"	"1924 - 1996"	27	"1965.11.08"	215	"103e48f0-b6bb-43eb-9c06-7ceffaf3ea78"	"KNOWLES, Stanley H."	"New Democratic Party"	"Clergyperson, minister, printer"		0	8									"United States"	""		""	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"2"	"1"	"1"	"1"	"9"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"9"	"2"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"2"	"1"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"1"
593	"RED DEER"	"Alberta"	"1907 - "	27	"1965.11.08"	244	"124d5348-2f63-4e80-910e-78d16dfc5b72"	"THOMPSON, Robert N."	"Social Credit"	"Chiropractor, educator"		0	3									"United States"	""		""	"2"	"2"	"2"	"9"	"2"	"2"	"1"	"1"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"1"	"9"	"1"	"2"	"2"	"1"	"9"	"1"	"2"	"9"	"9"	"9"	"9"	"2"	"1"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"9"	"2"	"1"	"1"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"2"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"1"	"2"	"1"	"2"	"9"	"9"	"9"	"2"	"9"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"1"	"9"	"9"
72	"BROADVIEW"	"Ontario"	"1933 - 1976"	27	"1965.11.08"	245	"125cc749-f923-4c88-9d4c-e2f17faa5a5f"	"GILBERT, John"	"New Democratic Party"	"Barrister, lawyer"		0	1									""	""		""	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"9"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"9"	"1"	"2"	"9"	"1"	"2"	"2"	"2"	"2"	"2"	"9"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"2"	"2"	"9"	"1"	"1"	"1"	"1"	"2"	"2"	"9"	"9"	"9"	"2"	"1"	"1"	"1"	"9"	"9"	"9"	"9"	"1"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"9"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"1"
793	"WELLAND"	"Ontario"	"1867 - 1987"	27	"1965.11.08"	249	"12996ba5-5a91-4332-a038-d51e0a332670"	"TOLMIE, Donald R."	"Liberal Party of Canada"	"Lawyer"		0	1									""	""		""	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"2"	"1"	"1"	"2"	"1"	"2"	"9"	"9"	"9"	"9"	"2"	"1"	"2"	"1"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"2"	"1"	"9"	"9"	"9"	"9"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"2"	"9"	"1"	"2"	"1"	"1"	"2"	"1"	"1"	"1"	"1"
44	"BELLECHASSE"	"Quebec"	"1867 - 1996"	27	"1965.11.08"	292	"15cc213a-a4de-4255-a439-52a555a60997"	"LAVERDIERE, Herman"	"Liberal Party of Canada"	"Teacher"		1	2									""	""		""	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"2"	"9"	"9"	"2"	"1"	"9"	"2"	"2"	"1"	"1"	"2"	"1"	"2"	"9"	"2"	"9"	"2"	"1"	"2"	"2"	"9"	"9"	"2"	"1"	"2"	"1"	"2"	"1"	"9"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"9"	"9"	"9"	"9"	"1"	"2"	"1"	"9"	"1"	"1"
359	"LAFONTAINE"	"Quebec"	"1947 - 1975"	27	"1965.11.08"	300	"1661530f-99fc-4f18-b268-71c6e2d0459c"	"LACHANCE, Georges-C."	"Liberal Party of Canada"	"Lawyer"		1	3									""	""		""	"9"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"2"	"1"	"9"	"2"	"9"	"9"	"9"	"2"	"1"	"9"	"9"	"2"	"2"	"2"	"1"	"9"	"2"	"2"	"1"	"2"	"1"	"2"	"1"	"2"	"1"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"1"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"1"	"1"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"1"	"2"	"9"	"1"	"2"	"1"	"1"	"1"	"1"
