Riding.code	Riding	Province	Riding.history	Parliament.no	Term	Id.2	Id	Name	Party.Name	Occupation	Religion	French	Length	switch.check	Ministry	Secretary	Change.party	Temporary.suspended.caucus	Excluded.caucus	Quit.caucus	First.Nations	Country.of.Birth	Note1	Note2	vote.id	H11S1V001	H11S1V002	H11S1V003	H11S1V004	H11S1V005	H11S1V006	H11S1V007	H11S1V008	H11S1V009	H11S1V010	H11S1V011	H11S1V012	H11S1V013	H11S2V001	H11S2V002	H11S2V003	H11S2V004	H11S2V005	H11S2V006	H11S2V007	H11S2V008	H11S2V009	H11S2V010	H11S2V011	H11S2V012	H11S2V013	H11S2V014	H11S2V015	H11S2V016	H11S2V017	H11S2V018	H11S2V019	H11S2V020	H11S2V021	H11S2V022	H11S2V023	H11S3V001	H11S3V002	H11S3V003	H11S3V004	H11S3V005	H11S3V006	H11S3V007	H11S3V008	H11S3V009	H11S3V010	H11S3V011	H11S3V012	H11S3V013	H11S3V014	H11S3V015	H11S3V016	H11S3V017	H11S3V018	H11S3V019	H11S3V020	H11S3V021	H11S3V022	H11S3V023
711	"STRATHCONA"	"Alberta"	"1905 - 1924"	11	"1909.10.20"	608	"2d381950-3892-4297-ab44-a57cb29bc414"	"DOUGLAS, James McCrie"	"Liberal Party of Canada"	"Businessman, farmer, merchant"	"Protestant"	0	1									""	""		""	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"1"	"1"	"1"	"1"	"9"	"2"	"9"	"1"	"2"	"2"	"2"	"2"	"1"	"9"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"9"	"9"	"9"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"9"	"9"
364	"LAMBTON WEST"	"Ontario"	"1882 - 1966"	11	"1908.10.26"	635	"2f5657db-e63e-47b8-8ff0-51286ffbc3e6"	"PARDEE, Frederick Forsyth"	"Liberal Party of Canada"	"Barrister"	"Protestant"	0	2									""	""		""	"1"	"9"	"9"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"1"	"1"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"9"	"9"	"9"
485	"NICOLET"	"Quebec"	"1867 - 1933"	11	"1908.10.26"	644	"2fb1da53-0195-4ca8-8d54-605ad9c8f91b"	"TURCOTTE, Gustave-Adolphe"	"Liberal Party of Canada"	"Physician"	"Fr.Catholic"	1	2									""	""		""	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"1"	"9"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"9"	"1"	"2"	"2"	"9"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"2"
349	"L'ASSOMPTION"	"Quebec"	"1867 - 1914"	11	"1908.10.26"	647	"2ff96afc-2249-42e1-9fc3-90e92c1d91e0"	"SEGUIN, Paul-Arthur"	"Liberal Party of Canada"	"Notary"	"Fr.Catholic"	1	1									""	""		""	"9"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"9"	"9"	"1"	"1"	"9"	"1"	"9"	"9"	"2"	"9"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"9"	"1"	"2"	"9"	"2"	"2"	"1"	"2"	"2"	"9"	"9"	"2"	"2"	"2"	"9"	"1"	"9"	"2"	"9"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"9"
578	"QUEBEC COUNTY"	"Quebec"	"1867 - 1924"	11	"1908.10.26"	674	"31dc6773-83ba-4b9d-b6f8-28a147eee8b3"	"TURCOTTE, Joseph-Pierre"	"Liberal Party of Canada"	"Author, lawyer"	"Fr.Catholic"	1	1									""	""		""	"1"	"1"	"1"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"9"	"1"	"2"	"9"	"1"	"1"	"1"	"2"	"9"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"9"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"9"	"9"	"2"	"2"	"2"	"2"	"1"	"9"	"2"	"9"	"2"	"2"	"2"	"9"	"2"	"2"	"9"	"2"	"2"	"2"	"2"
263	"HALIFAX"	"Nova Scotia"	"1867 - "	11	"1908.10.26"	708	"339d13c5-7e32-4689-a901-43c60d822d74"	"CROSBY, Adam B."	"Conservative (1867-1942)"	"Exporter, merchant"	"Catholic"	0	1									"Ireland"	""		""	"2"	"9"	"2"	"1"	"1"	"9"	"9"	"1"	"9"	"1"	"1"	"2"	"1"	"9"	"9"	"9"	"2"	"1"	"9"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"9"	"2"	"1"	"1"	"1"	"1"	"9"	"1"	"1"	"9"	"9"	"1"	"1"	"9"	"1"	"9"	"2"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"9"	"1"
639	"ST. JAMES"	"Quebec"	"1892 - 1947"	11	"1908.10.26"	721	"34b13ceb-bb77-4ad5-b74c-974b9a4a905d"	"GERVAIS, Honore"	"Liberal Party of Canada"	"Author, lawyer, professor"	"Fr.Catholic"	1	3									""	""		""	"1"	"9"	"1"	"9"	"2"	"2"	"9"	"9"	"2"	"2"	"9"	"9"	"2"	"9"	"1"	"9"	"1"	"9"	"9"	"2"	"9"	"2"	"2"	"2"	"2"	"1"	"9"	"1"	"9"	"2"	"1"	"2"	"9"	"9"	"2"	"1"	"2"	"2"	"1"	"9"	"2"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"2"	"2"	"2"	"2"	"9"	"9"	"9"	"9"	"9"
565	"PRINCE ALBERT"	"Saskatchewan"	"1907 - 1987"	11	"1908.10.26"	787	"3957bb98-8c10-4200-82aa-5ae6308f84ae"	"RUTAN, William Wintfield"	"Liberal Party of Canada"	"Merchant"	"Protestant"	0	1									"United States"	""		""	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"9"	"9"	"9"	"2"	"1"	"2"	"1"	"1"	"1"	"1"	"9"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"9"	"1"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"2"
253	"GREY SOUTH"	"Ontario"	"1867 - 1914"	11	"1908.10.26"	798	"3a1cbab4-d7ac-4eb9-a34f-08d9d7e898c8"	"MILLER, Henry Morton"	"Liberal Party of Canada"	"Real estate agent"	"Protestant"	0	2									""	""		""	"1"	"1"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"9"	"2"	"2"	"9"	"2"	"2"	"1"	"1"	"2"	"2"	"9"	"2"	"1"	"9"	"2"	"2"	"2"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"
337	"KING'S AND ALBERT"	"New Brunswick"	"1903 - 1914"	11	"1908.10.26"	802	"3a740c8f-6f39-4f4c-a247-6a76a1f4b11d"	"MCALISTER, Duncan H."	"Liberal Party of Canada"	"Physician"	"Protestant"	0	1									""	""		""	"1"	"1"	"1"	"2"	"2"	"2"	"9"	"9"	"2"	"2"	"2"	"9"	"2"	"1"	"1"	"9"	"9"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"1"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"9"	"9"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"2"
