Riding.code	Riding	Province	Riding.history	Parliament.no	Term	Id.2	Id	Name	Party.Name	Occupation	Religion	French	Length	switch.check	Ministry	Secretary	Change.party	Temporary.suspended.caucus	Excluded.caucus	Quit.caucus	First.Nations	Country.of.Birth	Note1	Note2	vote.id	H11S1V001	H11S1V002	H11S1V003	H11S1V004	H11S1V005	H11S1V006	H11S1V007	H11S1V008	H11S1V009	H11S1V010	H11S1V011	H11S1V012	H11S1V013	H11S2V001	H11S2V002	H11S2V003	H11S2V004	H11S2V005	H11S2V006	H11S2V007	H11S2V008	H11S2V009	H11S2V010	H11S2V011	H11S2V012	H11S2V013	H11S2V014	H11S2V015	H11S2V016	H11S2V017	H11S2V018	H11S2V019	H11S2V020	H11S2V021	H11S2V022	H11S2V023	H11S3V001	H11S3V002	H11S3V003	H11S3V004	H11S3V005	H11S3V006	H11S3V007	H11S3V008	H11S3V009	H11S3V010	H11S3V011	H11S3V012	H11S3V013	H11S3V014	H11S3V015	H11S3V016	H11S3V017	H11S3V018	H11S3V019	H11S3V020	H11S3V021	H11S3V022	H11S3V023
388	"LEEDS"	"Ontario"	"1903 - 1976"	11	"1908.10.26"	989	"47b47c19-8fe1-4407-b84f-9029f6aec230"	"TAYLOR, George"	"Conservative (1867-1942)"	"Industrialist"	"Protestant"	0	7									""	""		""	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"9"	"2"	"1"	"9"	"1"	"2"	"1"	"2"	"9"	"2"	"1"	"1"	"2"	"1"	"2"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"2"	"9"	"9"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"1"
184	"DUFFERIN"	"Ontario"	"1903 - 1924"	11	"1908.10.26-1909.11.19 "	1008	"494a8cbe-9876-4914-974a-77fca67aace8"	"BARR, John"	"Conservative (1867-1942)"	"Physician"	"Protestant"	0	2									""	"Died in office: 1909.11.19 "		""	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"
766	"VAUDREUIL"	"Quebec"	"1867 - 1914"	11	"1908.10.26"	1026	"4b02e0c1-1981-4162-963c-ca1a572cb6f1"	"BOYER, Gustave"	"Liberal Party of Canada"	"Gentleman, journalist"	"Fr.Catholic"	1	2									""	""		""	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"2"	"9"	"2"	"9"	"9"	"2"	"2"	"2"	"1"	"2"	"9"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"9"	"1"	"9"	"9"	"2"	"2"	"1"	"9"	"2"	"2"	"2"	"2"	"9"	"9"	"2"	"2"	"2"	"9"	"2"	"9"	"9"
63	"BRANT"	"Ontario"	"1903 - 1947"	11	"1908.10.26"	1033	"4c0343e7-af09-409c-8b15-82597243d468"	"PATERSON, Hon. William"	"Liberal Party of Canada"	"Confectioner"	"Protestant"	0	10		1							""	""		""	"1"	"1"	"9"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"9"	"9"	"1"	"1"	"1"	"1"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"9"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"9"	"2"	"2"	"1"	"9"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"
587	"QUEEN'S"	"Prince Edward Island"	"1903 - 1966"	11	"1908.10.26"	1038	"4c87bf8d-3933-4648-a8cc-7c835f29540b"	"PROWSE, Lemuel Ezra"	"Liberal Party of Canada"	"Merchant"	"Protestant"	0	1									""	""		""	"1"	"9"	"1"	"2"	"2"	"9"	"9"	"9"	"9"	"2"	"2"	"1"	"2"	"1"	"1"	"1"	"9"	"2"	"9"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"9"	"9"	"9"	"9"	"2"	"2"	"9"	"2"	"2"	"1"	"9"	"2"	"2"	"2"	"2"	"9"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"2"
323	"KAMOURASKA"	"Quebec"	"1867 - 1976"	11	"1908.10.26"	1050	"4d5012f1-c091-43d5-b8fc-f6f7ac8afb9c"	"LAPOINTE, Ernest"	"Liberal Party of Canada"	"Lawyer"	"Fr.Catholic"	1	3									""	""		""	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"1"	"2"	"9"	"9"	"9"	"1"	"9"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"1"	"2"	"2"	"9"	"2"	"1"	"2"	"2"	"9"	"9"	"9"	"2"	"2"	"9"	"1"	"9"	"2"	"9"	"9"	"2"	"2"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"2"
1267	"TORONTO WEST"	"Ontario"	"1903 - 1924"	11	"1908.10.26"	1059	"4e01e3c6-73dc-40cf-8a42-e6156318db32"	"OSLER, Edmund Boyd"	"Conservative (1867-1942)"	"Financier"	"Protestant"	0	4									""	""		""	"2"	"9"	"9"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"9"	"9"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"1"
455	"MONTCALM"	"Quebec"	"1867 - 1914"	11	"1909.09.25"	1071	"4ec792a6-2959-4e13-9458-a23963064623"	"LAFORTUNE, David-Arthur"	"Independent Liberal"	"Lawyer"	"Fr.Catholic"	1	1									""	""		""	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"9"	"1"	"1"	"1"	"2"	"9"	"2"	"9"	"2"	"2"	"2"	"2"	"1"	"9"	"1"	"2"	"9"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"9"	"9"	"2"	"2"	"2"	"9"	"1"	"1"	"2"	"9"	"2"	"2"	"2"	"9"	"9"	"2"	"2"	"9"	"2"	"2"	"2"
393	"LENNOX AND ADDINGTON"	"Ontario"	"1903 - 1924"	11	"1908.10.26"	1083	"4fa6e520-c225-437f-92e4-2fe6af783ace"	"WILSON, Uriah"	"Conservative (1867-1942)"	"Merchant"	"Protestant"	0	6									""	""		""	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"9"	"1"	"1"	"1"	"2"	"1"	"2"	"9"	"2"	"2"	"1"	"2"	"1"	"9"	"1"	"2"	"1"	"1"	"2"	"1"	"2"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
301	"HURON EAST"	"Ontario"	"1882 - 1914"	11	"1908.10.26"	1087	"501d2f98-6e1c-4710-8d9c-177e33d38756"	"CHISHOLM, Thomas"	"Conservative (1867-1942)"	"Author, lecturer, physician, teacher"	"Catholic"	0	2									""	""		""	"2"	"9"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"9"	"2"	"2"	"2"	"9"	"1"	"1"	"9"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"2"	"9"	"9"	"9"	"1"	"9"	"1"	"1"	"9"	"1"	"9"	"2"	"1"	"1"	"1"	"9"	"1"	"2"	"2"	"9"	"9"	"9"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"1"	"1"	"1"
562	"PORTNEUF"	"Quebec"	"1867 - 2004"	11	"1908.10.26"	1088	"50213f53-4bd4-4a8f-a6eb-ae0ac7c0034d"	"DELISLE, Michel-Simeon"	"Liberal Party of Canada"	"Gentleman, merchant, person of independent means"	"Fr.Catholic"	1	3									""	""		""	"1"	"1"	"1"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"9"	"9"	"9"	"1"	"1"	"1"	"1"	"2"	"9"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"9"	"9"	"1"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"1"	"9"	"2"	"2"	"2"	"2"	"1"	"1"	"9"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"9"	"2"	"2"	"2"	"9"
36	"BEAUCE"	"Quebec"	"1867 - "	11	"1908.10.26"	1092	"50634114-351e-4c08-8b61-8698a41f8814"	"BELAND, Henri Severin"	"Liberal Party of Canada"	"Physician"	"Fr.Catholic"	1	3		1							""	""		""	"1"	"9"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"1"	"2"	"9"	"1"	"1"	"9"	"2"	"9"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"9"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"1"	"9"	"2"	"2"	"9"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"2"	"2"	"9"
793	"WELLAND"	"Ontario"	"1867 - 1987"	11	"1908.10.26"	1098	"511d8a61-1106-4b86-a494-9cfa7e47f4f6"	"GERMAN, William Manly"	"Liberal Party of Canada"	"Barrister"	"Protestant"	0	4									""	""		""	"1"	"9"	"1"	"9"	"2"	"9"	"9"	"9"	"2"	"9"	"2"	"9"	"9"	"9"	"1"	"1"	"9"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"9"	"2"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"2"	"2"	"2"	"9"	"9"	"9"	"9"	"9"
23	"ASSINIBOIA"	"Saskatchewan"	"1907 - 1987"	11	"1908.10.26"	1114	"52a4499f-fa60-4960-92e4-bb99baf0c85e"	"TURRIFF, John Gillanders"	"Liberal Party of Canada"	"Farmer, merchant"	"Protestant"	0	2									""	""		""	"1"	"1"	"9"	"2"	"2"	"9"	"2"	"2"	"1"	"9"	"2"	"1"	"2"	"9"	"1"	"9"	"9"	"2"	"9"	"9"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"9"	"2"	"2"	"1"	"2"	"2"	"9"	"9"	"1"	"2"	"2"	"1"	"9"	"2"	"9"	"2"	"2"	"9"	"9"	"2"	"2"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"
609	"RICHMOND"	"Nova Scotia"	"1867 - 1914"	11	"1908.10.26"	1126	"535344f8-2229-4bb7-8b9a-cdbb8bf4b522"	"KYTE, George W."	"Liberal Party of Canada"	"Barrister, lawyer"	"Catholic"	0	1									""	""		""	"1"	"1"	"1"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"9"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"9"	"9"	"2"	"2"	"1"	"2"	"2"	"2"	"9"	"9"	"2"	"2"	"9"	"9"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"2"
311	"INVERNESS"	"Nova Scotia"	"1867 - 1933"	11	"1908.10.26"	1142	"54527ec0-1e62-40d5-99dc-90f2d267f646"	"CHISHOLM, Alexander W."	"Liberal Party of Canada"	"Physician"	"Catholic"	0	1									""	""		""	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"9"	"2"	"2"	"9"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"2"	"2"	"2"
208	"ELGIN WEST"	"Ontario"	"1867 - 1933"	11	"1908.10.26"	1180	"5654ad0c-4f83-4d39-8720-1bcc13b5d7f5"	"CROTHERS, Thomas Wilson"	"Conservative (1867-1942)"	"Lawyer, teacher"	"Protestant"	0	1									""	""		""	"2"	"9"	"9"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"2"	"1"	"2"	"1"	"1"	"2"	"1"	"2"	"1"	"1"	"2"	"1"	"1"	"1"	"9"	"1"	"1"	"1"	"2"	"1"	"9"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"1"	"1"
409	"LUNENBURG"	"Nova Scotia"	"1867 - 1924"	11	"1908.10.26-1909.10.23"	1189	"56fdc84e-aaff-46fe-bf93-d6f1014c6188"	"MACLEAN, Alexander Kenneth"	"Liberal Party of Canada"	"Lawyer"	"Protestant"	0	2									""	"Resignation. Enters provincial politics in Nova Scotia: 1909.10.23."		""	"1"	"1"	"1"	"2"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"
411	"MACDONALD"	"Manitoba"	"1892 - 1947"	11	"1908.10.26"	1234	"59e1c065-68c5-4024-8c34-8de437f5e8df"	"STAPLES, William D."	"Conservative (1867-1942)"	"Farmer"	"Protestant"	0	2									""	""		""	"2"	"2"	"2"	"1"	"1"	"9"	"9"	"9"	"1"	"1"	"1"	"9"	"1"	"2"	"2"	"9"	"2"	"1"	"9"	"1"	"9"	"1"	"2"	"1"	"1"	"2"	"9"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"9"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"1"	"1"
487	"NIPISSING"	"Ontario"	"1892 - 2003"	11	"1908.10.26"	1244	"5ad85252-e5b4-408d-b0ec-d0a246a9a374"	"GORDON, George"	"Conservative (1867-1942)"	"Lumber merchant"	"Protestant"	0	1									""	""		""	"2"	"9"	"9"	"9"	"1"	"9"	"1"	"9"	"9"	"1"	"1"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"2"	"1"	"9"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"
243	"GLOUCESTER"	"New Brunswick"	"1867 - 1990"	11	"1908.10.26"	1245	"5afbdf71-2ff3-4501-b9b3-74750bfc73ee"	"TURGEON, Onesiphore"	"Liberal Party of Canada"	"Editor, journalist"	"Fr.Catholic"	1	3									""	""		""	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"1"	"2"	"9"	"9"	"9"	"1"	"2"	"2"	"9"	"9"	"2"	"2"	"2"	"2"	"9"	"1"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"
514	"ONTARIO SOUTH"	"Ontario"	"1867 - 1924"	11	"1908.10.26"	1256	"5bf3322b-146c-41c3-83e2-c2475e28bf43"	"FOWKE, Fred Luther"	"Liberal Party of Canada"	"Businessman, exporter, merchant"	"Protestant"	0	1									""	""		""	"9"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"2"	"1"	"1"	"1"	"2"	"2"	"9"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"9"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"1"	"9"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"
687	"SIMCOE SOUTH"	"Ontario"	"1867 - 1924"	11	"1908.10.26"	1257	"5bfd2fe5-bfe6-42c4-9503-71c3b6f865df"	"LENNOX, Haughton"	"Conservative (1867-1942)"	"Lawyer"	"Protestant"	0	3									""	""		""	"2"	"2"	"2"	"1"	"1"	"1"	"9"	"1"	"1"	"1"	"1"	"2"	"1"	"2"	"2"	"2"	"9"	"1"	"9"	"9"	"2"	"1"	"2"	"1"	"1"	"2"	"1"	"2"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"2"	"1"	"9"	"1"	"1"	"1"	"2"	"2"	"1"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
44	"BELLECHASSE"	"Quebec"	"1867 - 1996"	11	"1908.10.26"	1261	"5c86a0e1-d905-447a-9089-949a4a72123a"	"TALBOT, Onesiphore-Ernest"	"Liberal Party of Canada"	"Farmer"	"Fr.Catholic"	1	4									""	""		""	"1"	"1"	"1"	"2"	"2"	"9"	"2"	"2"	"9"	"9"	"2"	"9"	"2"	"9"	"9"	"1"	"1"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"9"	"9"	"9"	"1"	"2"	"9"	"1"	"2"	"9"	"2"	"2"	"1"	"2"	"2"	"1"	"9"	"2"	"2"	"9"	"9"	"1"	"9"	"2"	"9"	"2"	"2"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"2"	"9"
409	"LUNENBURG"	"Nova Scotia"	"1867 - 1924"	11	"1909.12.22"	1284	"5de7002e-d3b5-41bc-b341-483ed5ed36d6"	"SPERRY, John Drew"	"Liberal Party of Canada"	"Merchant"	"Protestant"	0	1									""	""		""	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"
263	"HALIFAX"	"Nova Scotia"	"1867 - "	11	"1908.10.26"	1290	"5e8a24b4-f155-4f3d-aacc-e6da13c93756"	"BORDEN, Robert Laird"	"Conservative (1867-1942)"	"Lawyer"	"Protestant"	0	4									""	"Resignation. Elected for Halifax and for Carleton. Chose to sit for Halifax."		""	"2"	"2"	"9"	"1"	"1"	"1"	"9"	"9"	"9"	"1"	"1"	"2"	"1"	"9"	"9"	"9"	"2"	"1"	"2"	"1"	"9"	"1"	"2"	"1"	"1"	"2"	"1"	"2"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"9"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"1"
858	"YUKON"	"Yukon"	"1902 - 1947"	11	"1908.10.26"	1324	"60d1b3e1-f8a7-4a52-bfde-6c03c7c20471"	"CONGDON, Frederick Tennyson"	"Liberal Party of Canada"	"Lawyer"	"Protestant"	0	1									""	""		""	"9"	"9"	"1"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"1"	"1"	"9"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"9"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"2"	"2"
455	"MONTCALM"	"Quebec"	"1867 - 1914"	11	"1908.10.26-1909.09.05"	1336	"614a9bfb-3f35-4d47-87b1-877e754b6e63"	"DUGAS, Francois-Octave"	"Liberal Party of Canada"	"Crown prosecutor, lawyer"	"Fr.Catholic"	1	3									""	"Resignation. Appointed Judge of the Superior Court of Quebec: 1909.09.05."		""	"1"	"1"	"1"	"9"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"1"	"2"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"
755	"THREE RIVERS AND ST. MAURICE"	"Quebec"	"1892 - 1924"	11	"1908.10.26"	1340	"61c189fb-d551-49ed-82da-cc777b86b056"	"BUREAU, Hon. Jacques"	"Liberal Party of Canada"	"Lawyer"	"Fr.Catholic"	1	3		1							""	""		""	"1"	"1"	"9"	"9"	"2"	"9"	"9"	"2"	"2"	"2"	"9"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"9"	"2"	"9"	"2"	"2"	"2"	"2"	"1"	"2"	"9"	"2"	"2"	"1"	"2"	"2"	"9"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"9"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"2"
776	"VICTORIA"	"New Brunswick"	"1867 - 1914"	11	"1908.10.26"	1375	"64706d8b-7252-4010-9517-6f90f6dfaf49"	"MICHAUD, Pius"	"Liberal Party of Canada"	"Barrister, lawyer"	"Fr.Catholic"	1	2									""	""		""	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"1"	"1"	"1"	"9"	"2"	"9"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"2"
345	"KOOTENAY"	"British Columbia"	"1903 - 1914"	11	"1908.10.26"	1377	"64a8b3b9-6cc4-4b67-b0b6-1e57b883617c"	"GOODEVE, Arthur Samuel"	"Conservative (1867-1942)"	"Pharmacist"	"Protestant"	0	1									""	""		""	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"9"	"1"	"2"	"9"	"2"	"1"	"1"	"2"	"1"	"9"	"9"	"1"	"2"	"1"	"1"	"1"	"1"	"9"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
497	"NORTHUMBERLAND"	"New Brunswick"	"1867 - 1955"	11	"1908.10.26"	1393	"65b95af4-7627-444a-9989-c8b3033301d0"	"LOGGIE, William Stewart"	"Liberal Party of Canada"	"Company head, manufacturer, merchant"	"Protestant"	0	2									""	""		""	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"9"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"9"	"9"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"9"	"2"	"1"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"9"	"9"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"
603	"RESTIGOUCHE"	"New Brunswick"	"1867 - 1914"	11	"1908.10.26"	1458	"6a6494ab-800a-49c6-a153-c5bbc106f7d1"	"REID, James"	"Liberal Party of Canada"	"Lumber merchant, merchant"	"Protestant"	0	3									""	""		""	"1"	"1"	"1"	"2"	"2"	"2"	"9"	"9"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"1"	"9"	"2"	"2"	"2"	"1"	"9"	"2"	"9"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"2"	"2"
109	"NORTH CAPE BRETON AND VICTORIA"	"Nova Scotia"	"1903 - 1924"	11	"1908.10.26"	1478	"6c38f39b-1f70-4da5-ac6d-14d796590e55"	"MCKENZIE, Daniel D."	"Liberal Party of Canada"	"Lawyer"	"Protestant"	0	2									""	""		""	"1"	"1"	"1"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"9"	"1"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"9"	"1"	"2"	"2"	"2"	"9"	"1"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"
110	"CAPE BRETON SOUTH"	"Nova Scotia"	"1903 - 1914"	11	"1908.10.26"	1479	"6c464b76-816d-4b88-8d66-1501f13845b5"	"MADDIN, James William"	"Liberal-Conservative"	"Lawyer"	"Protestant"	0	1									""	""		""	"2"	"9"	"2"	"1"	"9"	"9"	"9"	"9"	"1"	"1"	"9"	"2"	"1"	"2"	"9"	"9"	"2"	"1"	"9"	"1"	"1"	"9"	"2"	"1"	"1"	"2"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"1"	"1"	"2"	"9"	"1"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"1"
327	"KENT"	"New Brunswick"	"1867 - 1966"	11	"1908.10.26"	1490	"6cecc35d-a42b-4a70-b47c-ebf8de97da96"	"LEBLANC, Oliver J."	"Liberal Party of Canada"	"Farmer"	"Fr.Catholic"	1	3									""	""		""	"1"	"1"	"1"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"9"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"9"	"9"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"2"
