vote_number,date,subject,bill_number,result,yeas,nays,paired
173,2026-06-18T13:00:00,"3rd reading and adoption of Bill C-30, An Act to implement certain provisions of the spring economic update tabled in Parliament on April 28, 2026",C-30,Agreed To,166,159,12
172,2026-06-17T22:15:00,"Government Business No. 13 (Proceedings on Bill C-22, An Act respecting lawful access)",,Agreed To,166,150,14
171,2026-06-17T22:00:00,"Government Business No. 13 (Proceedings on Bill C-22, An Act respecting lawful access) (amendment)",,Negatived,151,171,14
170,2026-06-17T16:00:00,"2nd reading of Bill C-267, An Act to establish a national framework to promote the durability of electronic products and essential home appliances",C-267,Agreed To,192,131,14
169,2026-06-17T15:45:00,"2nd reading of Bill C-26, An Act to authorize certain payments to be made out of the Consolidated Revenue Fund for the purpose of improving housing supply",C-26,Agreed To,191,129,14
168,2026-06-17T15:30:00,"Motion respecting Senate amendments to Bill C-9, An Act to amend the Criminal Code (hate propaganda, hate crime and access to religious or cultural places)",C-9,Agreed To,189,128,14
167,2026-06-17T15:15:00,"Motion respecting Senate amendments to Bill C-9, An Act to amend the Criminal Code (hate propaganda, hate crime and access to religious or cultural places) (amendment)",C-9,Negatived,132,184,14
166,2026-06-16T20:45:00,"Government Business No. 11 (Proceedings on Bill C-26, An Act to authorize certain payments to be made out of the Consolidated Revenue Fund for the purpose of improving housing supply)",,Agreed To,164,156,16
165,2026-06-16T20:30:00,"Government Business No. 11 (Proceedings on Bill C-26, An Act to authorize certain payments to be made out of the Consolidated Revenue Fund for the purpose of improving housing supply) (amendment)",,Negatived,134,187,16
164,2026-06-16T17:00:00,Motion for closure,,Agreed To,164,155,16
163,2026-06-16T16:40:00,Motion to adjourn the House,,Negatived,130,189,16
162,2026-06-16T10:45:00,Motion to proceed to Orders of the Day,,Agreed To,164,157,16
161,2026-06-15T22:26:54,"Time allocation for Bill C-9, An Act to amend the Criminal Code (hate propaganda, hate crime and access to religious or cultural places)",C-9,Agreed To,168,159,8
160,2026-06-15T20:50:00,"Government Business No. 12 (Proceedings on Bill C-30, An Act to implement certain provisions of the spring economic update tabled in Parliament on April 28, 2026)",,Agreed To,168,162,8
159,2026-06-15T20:30:00,"Government Business No. 12 (Proceedings on Bill C-30, An Act to implement certain provisions of the spring economic update tabled in Parliament on April 28, 2026) (amendment))",,Negatived,162,168,8
158,2026-06-15T20:30:06,"Government Business No. 12 (Proceedings on Bill C-30, An Act to implement certain provisions of the spring economic update tabled in Parliament on April 28, 2026) (subamendment)",,Negatived,160,169,8
157,2026-06-15T15:45:00,Motion to proceed to Orders of the Day,,Agreed To,167,162,8
156,2026-06-15T13:00:00,Motion for closure,,Agreed To,168,162,8
155,2026-06-12T13:30:13,"Time allocation for Bill C-14, An Act to amend the Criminal Code, the Youth Criminal Justice Act and the National Defence Act (bail and sentencing)",C-14,Agreed To,166,158,10
154,2026-06-11T16:45:34,"Time allocation for Bill C-25, An Act to amend the Canada Elections Act and to enact An Act to change the names of certain electoral districts, 2026",C-25,Agreed To,167,156,12
153,2026-06-11T15:15:10,"3rd reading and adoption of Bill C-16, An Act to amend certain Acts in relation to criminal and correctional matters (child protection, gender-based violence, delays and other measures)",C-16,Agreed To,192,133,12
152,2026-06-11T10:40:48,Motion to proceed to Orders of the Day,,Agreed To,165,157,12
