vote_number,date,subject,bill_number,result,yeas,nays,paired
1379,2019-06-19T20:30:47,"Motion respecting Senate amendments to Bill C-75, An Act to amend the Criminal Code, the Youth Criminal Justice Act and other Acts and to make consequential amendments to other Acts",C-75,Agreed To,161,58,2
1378,2019-06-19T19:30:29,Motion for closure,C-75,Agreed To,149,67,2
1377,2019-06-19T15:20:08,Private Members' Business M-173 (Diabetes Awareness Month),,Agreed To,285,0,2
1376,2019-06-19T15:10:43,"2nd reading of Bill C-331, An Act to amend the Federal Courts Act (international promotion and protection of human rights)",C-331,Negatived,49,238,2
1375,2019-06-19T15:00:43,Ways and Means motion No. 34,,Agreed To,256,36,2
1374,2019-06-18T20:00:00,"Motion respecting Senate amendments to Bill C-48, An Act respecting the regulation of vessels that transport crude oil or persistent oil to or from ports or marine installations located along British Columbia's north coast",C-48,Agreed To,190,86,2
1373,2019-06-18T19:08:03,Motion for closure,C-48,Agreed To,157,113,2
1372,2019-06-18T18:40:59,"3rd reading and adoption of Bill C-102, An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2020",C-102,Agreed To,167,123,2
1371,2019-06-18T18:30:10,"Concurrence at report stage of Bill C-102, An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2020",C-102,Agreed To,167,123,2
1370,2019-06-18T18:20:19,"2nd reading of Bill C-102, An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2020",C-102,Agreed To,167,123,2
1369,2019-06-18T18:10:11,Concurrence in estimates,,Agreed To,167,123,2
1368,2019-06-18T18:00:44,Opposition Motion (Carbon tax and environment plan),,Negatived,83,206,2
1367,2019-06-18T15:00:00,"Motion respecting Senate amendments to Bill C-58, An Act to amend the Access to Information Act and the Privacy Act and to make consequential amendments to other Acts",C-58,Agreed To,164,134,2
1366,2019-06-17T20:25:40,Government Business No. 29 (National climate emergency),,Agreed To,186,63,2
1365,2019-06-17T20:15:42,Government Business No. 29 (National climate emergency) (amendment),,Negatived,64,183,2
1364,2019-06-17T17:08:29,Motion for closure,,Agreed To,155,104,2
1363,2019-06-17T15:20:12,"Motion respecting Senate amendments to Bill C-68, An Act to amend the Fisheries Act and other Acts in consequence",C-68,Agreed To,193,81,2
1362,2019-06-17T15:10:49,"Motion respecting Senate amendments to Bill C-68, An Act to amend the Fisheries Act and other Acts in consequence (amendment)",C-68,Negatived,77,198,2
1361,2019-06-17T15:00:06,"3rd reading and adoption of Bill C-88, An Act to amend the Mackenzie Valley Resource Management Act and the Canada Petroleum Resources Act and to make consequential amendments to other Acts",C-88,Agreed To,198,78,2
1360,2019-06-17T13:06:00,"Time allocation for Bill C-83, An Act to amend the Corrections and Conditional Release Act and another Act",C-83,Agreed To,152,94,2
1359,2019-06-13T20:40:02,"Motion respecting Senate amendments to Bill C-69, An Act to enact the Impact Assessment Act and the Canadian Energy Regulator Act, to amend the Navigation Protection Act and to make consequential amendments to other Acts",C-69,Agreed To,164,56,4
1358,2019-06-13T20:30:38,"Motion respecting Senate amendments to Bill C-69, An Act to enact the Impact Assessment Act and the Canadian Energy Regulator Act, to amend the Navigation Protection Act and to make consequential amendments to other Acts (amendment)",C-69,Negatived,54,166,4
1357,2019-06-13T19:10:23,Motion for closure,C-69,Agreed To,147,72,4
1356,2019-06-13T13:00:21,"Time allocation for Bill C-100, An Act to implement the Agreement between Canada, the United States of America and the United Mexican States",C-100,Agreed To,152,100,4
1355,2019-06-13T11:50:00,"Time allocation for Bill C-68, An Act to amend the Fisheries Act and other Acts in consequence",C-68,Agreed To,154,104,4
1354,2019-06-13T10:30:00,Motion to proceed to Orders of the Day,,Agreed To,149,87,4
1353,2019-06-11T21:57:00,"Time allocation for Bill C-88, An Act to amend the Mackenzie Valley Resource Management Act and the Canada Petroleum Resources Act and to make consequential amendments to other Acts",C-88,Agreed To,151,52,6
1352,2019-06-11T20:40:00,"Motion respecting Senate amendments to Bill C-59, An Act respecting national security matters",C-59,Agreed To,155,93,6
1351,2019-06-11T20:30:00,"Motion respecting Senate amendments to Bill C-59, An Act respecting national security matters (amendment)",C-59,Negatived,86,162,6
1350,2019-06-11T19:35:00,Motion for closure,C-59,Agreed To,153,96,6
1349,2019-06-11T15:05:47,Opposition Motion (Affordability and Accessibility of Canada’s Telecommunication Services),,Negatived,42,246,6
1348,2019-06-11T11:05:37,Motion to proceed to Orders of the Day,,Agreed To,157,105,6
1347,2019-06-10T20:30:17,"2nd reading of Bill C-101, An Act to amend the Customs Tariff and the Canadian International Trade Tribunal Act (reasoned amendment)",C-101,Negatived,76,173,2
1346,2019-06-10T19:30:04,Motion for closure,C-101,Agreed To,159,92,2
1345,2019-06-10T15:05:29,"Concurrence at report stage of Bill C-88, An Act to amend the Mackenzie Valley Resource Management Act and the Canada Petroleum Resources Act and to make consequential amendments to other Acts",C-88,Agreed To,194,77,2
1344,2019-06-06T15:10:00,"3rd reading and adoption of Bill C-97, An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2019 and other measures",C-97,Agreed To,157,97,2
1343,2019-06-06T15:00:00,"3rd reading and adoption of Bill C-97, An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2019 and other measures (reasoned amendment)",C-97,Negatived,30,226,2
1342,2019-06-05T17:24:00,"Concurrence at report stage of Bill C-97, An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2019 and other measures",C-97,Agreed To,160,111,4
1341,2019-06-05T16:00:00,"Bill C-97, An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2019 and other measures (report stage amendment)",C-97,Negatived,40,230,4
1340,2019-06-05T15:50:00,"Bill C-97, An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2019 and other measures (report stage amendment)",C-97,Agreed To,192,82,4
1339,2019-06-05T15:40:00,"Bill C-97, An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2019 and other measures (report stage amendment)",C-97,Negatived,106,166,4
1338,2019-06-05T15:30:00,"Bill C-97, An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2019 and other measures (report stage amendment)",C-97,Negatived,110,164,4
1337,2019-06-05T15:20:00,"Bill C-97, An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2019 and other measures (report stage amendment)",C-97,Negatived,115,159,4
1336,2019-06-05T15:10:00,"Bill C-97, An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2019 and other measures (report stage amendment)",C-97,Negatived,38,234,4
1335,2019-06-05T15:00:00,"Bill C-97, An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2019 and other measures (report stage amendment)",C-97,Negatived,72,197,4
1334,2019-06-04T23:55:00,Opposition Motion (Media bailout),,Negatived,37,165,4
1333,2019-06-04T15:00:00,Ways and Means motion No. 33,,Agreed To,200,78,4
1332,2019-06-04T11:45:58,"Time allocation for Bill C-97, An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2019 and other measures",C-97,Agreed To,152,94,4
1331,2019-06-04T10:25:44,Motion to proceed to Orders of the Day,,Agreed To,143,87,4
1330,2019-06-03T15:22:40,"Concurrence at report stage of Bill C-93, An Act to provide no-cost, expedited record suspensions for simple possession of cannabis",C-93,Agreed To,244,23,0
1329,2019-06-03T15:20:03,"Bill C-93, An Act to provide no-cost, expedited record suspensions for simple possession of cannabis (report stage amendment)",C-93,Negatived,84,183,0
1328,2019-06-03T15:00:55,"Bill C-93, An Act to provide no-cost, expedited record suspensions for simple possession of cannabis (report stage amendment)",C-93,Agreed To,167,100,0
1327,2019-05-29T17:20:11,Motion for the production of papers P-16 (Memo pertaining to Vice-Admiral Mark Norman),,Negatived,110,139,2
1326,2019-05-29T15:30:00,Private Members' Business M-111 (Mennonite Heritage Week),,Agreed To,275,6,2
1325,2019-05-29T15:20:00,"2nd reading of Bill S-243, An Act to amend the Canada Revenue Agency Act (reporting on unpaid income tax)",S-243,Negatived,134,150,2
1324,2019-05-29T15:10:00,Private Members' Business M-170 (Officers of Parliament),,Negatived,57,222,2
1323,2019-05-29T15:00:00,Private Members' Business M-170 (Officers of Parliament) (amendment),,Negatived,49,231,2
1322,2019-05-28T20:40:00,Government Business No. 30 (Extension of sitting hours and conduct of extended proceedings),,Agreed To,155,119,0
1321,2019-05-28T20:30:00,Government Business No. 30 (Extension of sitting hours and conduct of extended proceedings) (amendment),,Negatived,111,163,0
1320,2019-05-28T16:15:06,Motion for closure,,Agreed To,156,129,0
1319,2019-05-28T15:15:05,Ways and Means motion No. 32,,Agreed To,255,47,0
1318,2019-05-16T15:10:57,"2nd reading of Bill C-266, An Act to amend the Criminal Code (increasing parole ineligibility)",C-266,Agreed To,224,38,0
1317,2019-05-16T15:00:34,Opposition Motion (Declaration of an environment and climate emergency),,Negatived,42,227,0
1316,2019-05-13T19:00:00,"Motion respecting Senate amendments to Bill C-55, An Act to amend the Oceans Act and the Canada Petroleum Resources Act",C-55,Agreed To,185,86,0
1315,2019-05-13T13:00:00,"Time allocation for Bill C-55, An Act to amend the Oceans Act and the Canada Petroleum Resources Act",C-55,Agreed To,153,106,0
1314,2019-05-08T18:55:29,"2nd reading of Bill C-406, An Act to amend the Canada Elections Act (foreign contributions)",C-406,Negatived,89,187,2
1313,2019-05-08T18:45:47,Private Members' Business M-208 (Rural digital infrastructure),,Agreed To,276,0,2
1312,2019-05-08T18:35:00,Private Members' Business M-174 (National suicide prevention action plan),,Agreed To,278,0,2
1311,2019-05-08T18:25:40,"3rd reading and adoption of Bill C-84, An Act to amend the Criminal Code (bestiality and animal fighting)",C-84,Agreed To,276,0,2
1310,2019-05-08T17:10:54,"Time allocation for Bill C-84, An Act to amend the Criminal Code (bestiality and animal fighting)",C-84,Agreed To,149,119,2
1309,2019-05-08T15:56:00,Motion to proceed to Orders of the Day,,Agreed To,153,120,2
1308,2019-05-08T15:10:01,Opposition Motion (Price of gas),,Negatived,86,199,2
1307,2019-05-06T18:30:54,"2nd reading of Bill C-93, An Act to provide no-cost, expedited record suspensions for simple possession of cannabis",C-93,Agreed To,240,28,0
1306,2019-05-02T11:15:41,"Concurrence at report stage of Bill C-91, An Act respecting Indigenous languages",C-91,Agreed To,254,0,0
1305,2019-05-02T10:35:14,Motion to proceed to Orders of the Day,,Agreed To,148,105,0
1304,2019-05-01T18:05:56,"2nd reading of Bill C-415, An Act to establish a procedure for expunging certain cannabis-related convictions",C-415,Negatived,61,225,0
1303,2019-05-01T17:55:20,"2nd reading of Bill C-419, An Act to amend the Bank Act, the Trust and Loan Companies Act, the Insurance Companies Act and the Cooperative Credit Associations Act (credit cards)",C-419,Negatived,134,160,0
1302,2019-05-01T17:45:19,Opposition Motion (Handling of the canola trade crisis with China),,Negatived,132,163,0
1301,2019-04-30T18:26:23,"2nd reading of Bill C-97, An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2019 and other measures",C-97,Agreed To,167,130,0
1300,2019-04-30T18:12:32,"2nd reading of Bill C-97, An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2019 and other measures (reasoned amendment)",C-97,Negatived,85,211,0
1299,2019-04-30T15:00:30,Opposition Motion (Corporate influence over the government),,Negatived,46,251,0
1298,2019-04-30T11:45:34,"Time allocation for Bill C-97, An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2019 and other measures",C-97,Agreed To,165,127,0
1297,2019-04-30T10:30:33,Motion to proceed to Orders of the Day,,Agreed To,164,118,0
1296,2019-04-11T17:35:35,Motion to proceed to Orders of the Day,,Negatived,35,111,8
1295,2019-04-11T12:36:28,"Time allocation for Bill C-92, An Act respecting First Nations, Inuit and Métis children, youth and families",C-92,Agreed To,151,105,8
1294,2019-04-11T11:15:30,"Time allocation for Bill C-93, An Act to provide no-cost, expedited record suspensions for simple possession of cannabis",C-93,Agreed To,153,103,8
1293,2019-04-10T18:40:03,"2nd reading of Bill S-215, An Act to amend the Criminal Code (sentencing for violent offences against Aboriginal women)",S-215,Negatived,45,237,8
1292,2019-04-10T18:30:49,"2nd reading of Bill C-278, An Act to amend the Lobbying Act (reporting obligations)",C-278,Negatived,91,194,8
1291,2019-04-10T18:20:06,Private Members' Business M-207 (Dutch Heritage Day),,Agreed To,285,0,8
1290,2019-04-10T18:00:56,14th Report of the Standing Committee on Justice and Human Rights (amendment),,Negatived,127,157,8
1289,2019-04-09T18:25:39,Opposition Motion (Vice-Admiral Mark Norman),,Negatived,121,162,8
1288,2019-04-09T18:15:30,"2nd reading of Bill C-88, An Act to amend the Mackenzie Valley Resource Management Act and the Canada Petroleum Resources Act and to make consequential amendments to other Acts",C-88,Agreed To,205,80,8
1287,2019-04-09T11:45:38,"Time allocation for Bill C-88, An Act to amend the Mackenzie Valley Resource Management Act and the Canada Petroleum Resources Act and to make consequential amendments to other Acts",C-88,Agreed To,165,117,6
1286,2019-04-08T17:14:35,"Concurrence at report stage of Bill C-82, An Act to implement a multilateral convention to implement tax treaty related measures to prevent base erosion and profit shifting",C-82,Agreed To,270,0,8
1285,2019-04-08T15:30:58,Ways and Means motion No. 31,,Agreed To,162,107,8
1284,2019-04-08T15:00:18,Motion to proceed to Orders of the Day,,Agreed To,165,113,8
1283,2019-04-04T18:05:36,Budgetary policy,,Agreed To,156,94,6
1282,2019-04-04T17:55:47,Budgetary policy (amendment),,Negatived,68,182,6
1281,2019-04-04T17:45:21,Budgetary policy (subamendment),,Negatived,25,228,6
1280,2019-04-04T10:33:27,Motion to proceed to Orders of the Day,,Agreed To,152,97,2
1279,2019-04-03T18:00:05,"2nd reading of Bill C-420, An Act to amend the Canada Labour Code, the Official Languages Act and the Canada Business Corporations Act",C-420,Negatived,42,240,2
1278,2019-04-03T15:50:36,Motion to proceed to Orders of the Day,,Agreed To,162,120,2
1277,2019-04-02T10:35:36,Motion to proceed to Orders of the Day,,Agreed To,158,115,0
1276,2019-04-01T15:45:35,Motion to proceed to Orders of the Day,,Agreed To,157,108,2
1275,2019-03-20T22:11:00,51st Report of the Standing Committee on Public Accounts,,Agreed To,175,0,6
1274,2019-03-20T22:10:02,"3rd reading and adoption of Bill C-96, An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2020",C-96,Agreed To,143,35,6
1273,2019-03-20T22:09:44,"Concurrence at report stage of Bill C-96, An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2020",C-96,Agreed To,143,35,6
1272,2019-03-20T22:08:54,"2nd reading of Bill C-96, An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2020",C-96,Agreed To,118,37,6
1271,2019-03-20T22:07:00,Concurrence in estimates,,Agreed To,117,38,6
1270,2019-03-20T22:06:00,Concurrence in an opposed item,,Agreed To,118,31,6
1269,2019-03-20T22:05:00,Concurrence in an opposed item,,Agreed To,121,27,6
1268,2019-03-20T22:04:00,Concurrence in an opposed item,,Agreed To,117,29,6
1267,2019-03-20T22:03:00,Concurrence in an opposed item,,Agreed To,117,29,6
1266,2019-03-20T22:02:00,Concurrence in an opposed item,,Agreed To,121,33,6
1265,2019-03-20T22:01:00,Concurrence in an opposed item,,Agreed To,119,35,6
1264,2019-03-20T22:00:00,Concurrence in an opposed item,,Agreed To,116,35,6
1263,2019-03-20T21:59:00,Concurrence in an opposed item,,Agreed To,124,35,6
1262,2019-03-20T21:58:00,Concurrence in an opposed item,,Agreed To,122,33,6
1261,2019-03-20T21:57:05,Concurrence in an opposed item,,Agreed To,106,33,6
1260,2019-03-20T21:56:32,Concurrence in an opposed item,,Agreed To,105,34,6
1259,2019-03-20T21:55:24,Concurrence in an opposed item,,Agreed To,99,31,6
1258,2019-03-20T21:54:16,Concurrence in an opposed item,,Agreed To,98,28,6
1257,2019-03-20T21:53:00,Concurrence in an opposed item,,Agreed To,104,27,6
1256,2019-03-20T21:52:57,Concurrence in an opposed item,,Agreed To,104,27,6
1255,2019-03-20T21:51:54,Concurrence in an opposed item,,Agreed To,106,30,6
1254,2019-03-20T21:50:50,Concurrence in an opposed item,,Agreed To,103,27,6
1253,2019-03-20T21:49:26,Concurrence in an opposed item,,Agreed To,108,26,6
1252,2019-03-20T21:48:33,Concurrence in an opposed item,,Agreed To,108,28,6
1251,2019-03-20T21:47:25,Concurrence in an opposed item,,Agreed To,115,33,6
1250,2019-03-20T21:46:16,Concurrence in an opposed item,,Agreed To,112,34,6
1249,2019-03-20T21:45:44,Concurrence in an opposed item,,Agreed To,110,37,6
1248,2019-03-20T21:44:26,Concurrence in an opposed item,,Agreed To,118,38,6
1247,2019-03-20T21:43:16,Concurrence in an opposed item,,Agreed To,105,41,6
1246,2019-03-20T21:42:57,Concurrence in an opposed item,,Agreed To,91,47,6
1245,2019-03-20T21:41:27,Concurrence in an opposed item,,Agreed To,101,35,6
1244,2019-03-20T21:40:44,Concurrence in an opposed item,,Agreed To,102,37,6
1243,2019-03-20T21:39:38,Concurrence in an opposed item,,Agreed To,99,34,6
1242,2019-03-20T21:38:46,Concurrence in an opposed item,,Agreed To,97,30,6
1241,2019-03-20T21:37:01,Concurrence in an opposed item,,Agreed To,99,30,6
1240,2019-03-20T21:36:15,Concurrence in an opposed item,,Agreed To,114,1,6
1239,2019-03-20T21:35:53,Concurrence in an opposed item,,Agreed To,80,29,6
1238,2019-03-20T21:34:31,Concurrence in an opposed item,,Agreed To,80,32,6
1237,2019-03-20T21:33:43,Concurrence in an opposed item,,Agreed To,76,31,6
1236,2019-03-20T21:34:50,Concurrence in an opposed item,,Agreed To,83,33,6
1235,2019-03-20T21:31:35,Concurrence in an opposed item,,Agreed To,86,34,6
1234,2019-03-20T21:30:38,Concurrence in an opposed item,,Agreed To,88,29,6
1233,2019-03-20T21:29:17,Concurrence in an opposed item,,Agreed To,91,31,6
1232,2019-03-20T21:28:49,Concurrence in an opposed item,,Agreed To,91,34,6
1231,2019-03-20T21:27:28,Concurrence in an opposed item,,Agreed To,94,32,6
1230,2019-03-20T21:26:17,Concurrence in an opposed item,,Agreed To,93,31,6
1229,2019-03-20T21:25:43,Concurrence in an opposed item,,Agreed To,109,30,6
1228,2019-03-20T21:24:32,Concurrence in an opposed item,,Agreed To,112,29,6
1227,2019-03-20T21:23:52,Concurrence in an opposed item,,Agreed To,101,44,6
1226,2019-03-20T21:22:38,Concurrence in an opposed item,,Agreed To,113,30,6
1225,2019-03-20T21:21:18,Concurrence in an opposed item,,Agreed To,104,31,6
1224,2019-03-20T21:20:02,Concurrence in an opposed item,,Agreed To,105,33,6
1223,2019-03-20T21:19:47,Concurrence in an opposed item,,Agreed To,108,38,6
1222,2019-03-20T21:18:41,Concurrence in an opposed item,,Agreed To,96,35,6
1221,2019-03-20T21:17:08,Concurrence in an opposed item,,Agreed To,96,28,6
1220,2019-03-20T21:16:41,Concurrence in an opposed item,,Agreed To,98,22,6
1219,2019-03-20T21:15:15,Concurrence in an opposed item,,Agreed To,103,23,6
1218,2019-03-20T21:14:57,Concurrence in an opposed item,,Agreed To,113,19,6
1217,2019-03-20T21:13:21,Concurrence in an opposed item,,Agreed To,98,15,6
1216,2019-03-20T21:12:27,Concurrence in an opposed item,,Agreed To,102,21,6
1215,2019-03-20T21:11:18,Concurrence in an opposed item,,Agreed To,103,21,6
