Person ID,Member of Parliament,Political Affiliation,Member Voted,Paired
89156,Ziad Aboultaif (Edmonton Manning),Conservative,Nay,
72029,Dan Albas (Central Okanagan—Similkameen—Nicola),Conservative,Nay,
35607,Harold Albrecht (Kitchener—Conestoga),Conservative,Nay,
89258,John Aldag (Cloverdale—Langley City),Liberal,Yea,
89535,Omar Alghabra (Mississauga Centre),Liberal,Yea,
89527,William Amos (Pontiac),Liberal,Yea,
89449,Gary Anandasangaree (Scarborough—Rouge Park),Liberal,Yea,
89294,Mel Arnold (North Okanagan—Shuswap),Conservative,Nay,
36037,Niki Ashton (Churchill—Keewatinook Aski),NDP,Yea,
1796,Larry Bagnell (Yukon),Liberal,Yea,
25471,Navdeep Bains (Mississauga—Malton),Liberal,Yea,
86261,John Barlow (Foothills),Conservative,Nay,
88422,Xavier Barsalou-Duval (Pierre-Boucher—Les Patriotes—Verchères),Bloc Québécois,Nay,
376,Mario Beaulieu (La Pointe-de-l'Île),Bloc Québécois,Nay,
89236,Terry Beech (Burnaby North—Seymour),Liberal,Yea,
992,Carolyn Bennett (Toronto—St. Paul's),Liberal,Yea,
89090,Sheri Benson (Saskatoon West),NDP,Yea,
96361,Bob Benzen (Calgary Heritage),Conservative,Nay,
88541,Luc Berthold (Mégantic—L'Érable),Conservative,Nay,
88449,Marie-Claude Bibeau (Compton—Stanstead),Liberal,Yea,
89354,Rachel Blaney (North Island—Powell River),NDP,Yea,
59156,Kelly Block (Carlton Trail—Eagle Creek),Conservative,Nay,
35320,Sylvie Boucher (Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix),Conservative,Nay,
71395,Marjolaine Boutin-Sweet (Hochelaga),NDP,Yea,
88674,John Brassard (Barrie—Innisfil),Conservative,Nay,
58707,Pierre Breton (Shefford),Liberal,Yea,
86786,Celina Caesar-Chavannes (Whitby),Liberal,Yea,
89327,Richard Cannings (South Okanagan—West Kootenay),NDP,Yea,
23915,Guy Caron (Rimouski-Neigette—Témiscouata—Les Basques),NDP,Yea,
89059,Jim Carr (Winnipeg South Centre),Liberal,Yea,
71270,Sean Casey (Charlottetown),Liberal,Yea,
89000,Bardish Chagger (Waterloo),Liberal,Yea,
88350,Serge Cormier (Acadie—Bathurst),Liberal,Yea,
1804,Rodger Cuzner (Cape Breton—Canso),Liberal,Yea,
88884,Pam Damoff (Oakville North—Burlington),Liberal,Yea,
88355,Matt DeCourcey (Fredericton),Liberal,Yea,
88535,Gérard Deltell (Louis-Saint-Laurent),Conservative,Nay,
31098,Sukh Dhaliwal (Surrey—Newton),Liberal,Yea,
88453,Anju Dhillon (Dorval—Lachine—LaSalle),Liberal,Yea,
88627,Nicola Di Iorio (Saint-Léonard—Saint-Michel),Liberal,Yea,
89150,Kerry Diotte (Edmonton Griesbach),Conservative,Nay,
89249,Todd Doherty (Cariboo—Prince George),Conservative,Nay,
88756,Francis Drouin (Glengarry—Prescott—Russell),Liberal,Yea,
84660,Emmanuel Dubourg (Bourassa),Liberal,Yea,
89408,Jean-Yves Duclos (Québec),Liberal,Yea,
31119,Terry Duguid (Winnipeg South),Liberal,Yea,
35873,Linda Duncan (Edmonton Strathcona),NDP,Yea,
58877,Kirsty Duncan (Etobicoke North),Liberal,Yea,
71553,Pierre-Luc Dusseault (Sherbrooke),NDP,Yea,
88721,Julie Dzerowicz (Davenport),Liberal,Yea,
43,Wayne Easter (Malpeque),Liberal,Yea,
48292,Jim Eglinski (Yellowhead),Conservative,Nay,
88683,Neil Ellis (Bay of Quinte),Liberal,,Paired
1806,Mark Eyking (Sydney—Victoria),Liberal,Yea,
89027,Doug Eyolfson (Charleswood—St. James—Assiniboia—Headingley),Liberal,Yea,
88478,Greg Fergus (Hull—Aylmer),Liberal,Yea,
25501,Diane Finley (Haldimand—Norfolk),Conservative,Nay,
88360,Pat Finnigan (Miramichi—Grand Lake),Liberal,Yea,
88323,Darren Fisher (Dartmouth—Cole Harbour),Liberal,Yea,
71692,Peter Fonseca (Mississauga East—Cooksville),Liberal,Yea,
96356,Mona Fortier (Ottawa—Vanier),Liberal,Yea,
88605,Rhéal Fortin (Rivière-du-Nord),Groupe parlementaire québécois,Nay,
88827,Peter Fragiskatos (London North Centre),Liberal,Yea,
88316,Sean Fraser (Central Nova),Liberal,Yea,
88346,Colin Fraser (West Nova),Liberal,Yea,
84665,Chrystia Freeland (University—Rosedale),Liberal,Yea,
1589,Hedy Fry (Vancouver Centre),Liberal,Yea,
89279,Stephen Fuhr (Kelowna—Lake Country),Liberal,Yea,
10524,Marc Garneau (Notre-Dame-de-Grâce—Westmount),Liberal,Yea,
88802,Mark Gerretsen (Kingston and the Islands),Liberal,Yea,
89407,Joël Godin (Portneuf—Jacques-Cartier),Conservative,Nay,
1265,Ralph Goodale (Regina—Wascana),Liberal,Yea,
88694,Raj Grewal (Brampton East),Liberal,Yea,
88984,Patty Hajdu (Thunder Bay—Superior North),Liberal,Yea,
98075,Richard Hébert (Lac-Saint-Jean),Liberal,Yea,
59148,Randy Hoback (Prince Albert),Conservative,Nay,
86010,Gordie Hogg (South Surrey—White Rock),Liberal,Yea,
25508,Mark Holland (Ajax),Liberal,Yea,
89020,Ahmed Hussen (York South—Weston),Liberal,Yea,
88292,Gudie Hutchings (Long Range Mountains),Liberal,Yea,
89065,Georgina Jolibois (Desnethé—Missinippi—Churchill River),NDP,Yea,
88384,Mélanie Joly (Ahuntsic-Cartierville),Liberal,Yea,
89130,Pat Kelly (Calgary Rocky Ridge),Conservative,Nay,
88705,Kamal Khera (Brampton West),Liberal,Yea,
89095,Robert Kitchen (Souris—Moose Mountain),Conservative,Nay,
35857,Mike Lake (Edmonton—Wetaskiwin),Conservative,Nay,
96350,Emmanuella Lambropoulos (Saint-Laurent),Liberal,Yea,
88501,David Lametti (LaSalle—Émard—Verdun),Liberal,Yea,
25516,Guy Lauzon (Stormont—Dundas—South Glengarry),Conservative,Nay,
71434,Hélène Laverdière (Laurier—Sainte-Marie),NDP,Yea,
1813,Dominic LeBlanc (Beauséjour),Liberal,Yea,
88460,Diane Lebouthillier (Gaspésie—Les Îles-de-la-Madeleine),Liberal,Yea,
88894,Andrew Leslie (Orléans),Liberal,Yea,
89139,Ron Liepert (Calgary Signal Hill),Conservative,Nay,
98079,Dane Lloyd (Sturgeon River—Parkland),Conservative,Nay,
88357,Alaina Lockhart (Fundy Royal),Liberal,Yea,
88761,Lloyd Longfield (Guelph),Liberal,Yea,
33,Lawrence MacAulay (Cardigan),Liberal,Yea,
88468,Steven MacKinnon (Gatineau),Liberal,Yea,
7251,Larry Maguire (Brandon—Souris),Conservative,Nay,
88748,James Maloney (Etobicoke—Lakeshore),Liberal,Yea,
88544,Simon Marcil (Mirabel),Groupe parlementaire québécois,Nay,
88397,Rémi Massé (Avignon—La Mitis—Matane—Matapédia),Liberal,Yea,
9137,Brian Masse (Windsor West),NDP,Yea,
71599,Bryan May (Cambridge),Liberal,Yea,
88283,Ken McDonald (Avalon),Liberal,Yea,
957,John McKay (Scarborough—Guildwood),Liberal,Yea,
88892,Catherine McKenna (Ottawa Centre),Liberal,Yea,
59293,Ron McKinnon (Coquitlam—Port Coquitlam),Liberal,Yea,
89374,Michael McLeod (Northwest Territories),Liberal,Yea,
59265,Cathy McLeod (Kamloops—Thompson—Cariboo),Conservative,Nay,
88738,Marco Mendicino (Eglinton—Lawrence),Liberal,Yea,
89037,MaryAnn Mihychuk (Kildonan—St. Paul),Liberal,Yea,
88660,Marc Miller (Ville-Marie—Le Sud-Ouest—Île-des-Soeurs),Liberal,Yea,
88922,Maryam Monsef (Peterborough—Kawartha),Liberal,Yea,
232,Christine Moore (Abitibi—Témiscamingue),NDP,Yea,
88992,Bill Morneau (Toronto Centre),Liberal,Yea,
88308,Robert Morrissey (Egmont),Liberal,Yea,
35950,Joyce Murray (Vancouver Quadra),Liberal,Yea,
71447,Pierre Nantel (Longueuil—Saint-Hubert),NDP,Yea,
58806,Eva Nassif (Vimy),Liberal,Yea,
88917,John Nater (Perth—Wellington),Conservative,Nay,
709,Robert Nault (Kenora),Liberal,Yea,
96352,Mary Ng (Markham—Thornhill),Liberal,Yea,
88925,Jennifer O'Connell (Pickering—Uxbridge),Liberal,Yea,
58858,Robert Oliphant (Don Valley West),Liberal,Yea,
88881,John Oliver (Oakville),Liberal,Yea,
72773,Erin O'Toole (Durham),Conservative,Nay,
89466,Robert-Falcon Ouellette (Winnipeg Centre),Liberal,Yea,
198,Denis Paradis (Brome—Missisquoi),Liberal,Yea,
88595,Monique Pauzé (Repentigny),Groupe parlementaire québécois,Nay,
1825,Joe Peschisolido (Steveston—Richmond East),Liberal,Yea,
71702,Kyle Peterson (Newmarket—Aurora),Liberal,Yea,
88835,Jane Philpott (Markham—Stouffville),Liberal,Yea,
71529,Michel Picard (Montarville),Liberal,Yea,
413,Louis Plamondon (Bécancour—Nicolet—Saurel),Groupe parlementaire québécois,,Paired
88493,Jean-Claude Poissant (La Prairie),Liberal,Yea,
71350,Anne Minh-Thu Quach (Salaberry—Suroît),NDP,Yea,
89272,Carla Qualtrough (Delta),Liberal,Yea,
88745,Tracey Ramsey (Essex),NDP,Yea,
1827,Scott Reid (Lanark—Frontenac—Kingston),Conservative,Nay,
88617,Yves Robillard (Marc-Aurèle-Fortin),Liberal,Yea,
25451,Pablo Rodriguez (Honoré-Mercier),Liberal,Yea,
98744,Churence Rogers (Bonavista—Burin—Trinity),Liberal,Yea,
71718,Kim Rudd (Northumberland—Peterborough South),Liberal,Yea,
89304,Dan Ruimy (Pitt Meadows—Maple Ridge),Liberal,Yea,
88982,Don Rusnak (Thunder Bay—Rainy River),Liberal,Yea,
88698,Ruby Sahota (Brampton North),Liberal,Yea,
88807,Raj Saini (Kitchener Centre),Liberal,Yea,
88692,Ramesh Sangha (Brampton Centre),Liberal,Yea,
89339,Randeep Sarai (Surrey Centre),Liberal,Yea,
58878,Bob Saroya (Markham—Unionville),Conservative,Nay,
25453,Francis Scarpaleggia (Lac-Saint-Louis),Liberal,Yea,
88770,Jamie Schmale (Haliburton—Kawartha Lakes—Brock),Conservative,Nay,
88799,Deborah Schulte (King—Vaughan),Liberal,Yea,
88874,Marc Serré (Nickel Belt),Liberal,Yea,
1787,Judy A. Sgro (Humber River—Black Creek),Liberal,Yea,
88442,Brenda Shanahan (Châteauguay—Lacolle),Liberal,Yea,
88703,Sonia Sidhu (Brampton South),Liberal,Yea,
89288,Jati Sidhu (Mission—Matsqui—Fraser Canyon),Liberal,Yea,
88858,Gagan Sikand (Mississauga—Streetsville),Liberal,Yea,
25456,Scott Simms (Coast of Bays—Central—Notre Dame),Liberal,Yea,
69488,Robert Sopuck (Dauphin—Swan River—Neepawa),Conservative,Nay,
88999,Francesco Sorbara (Vaughan—Woodbridge),Liberal,Yea,
88813,Marwan Tabbara (Kitchener South—Hespeler),Liberal,Yea,
88726,Geng Tan (Don Valley North),Liberal,Yea,
88784,Filomena Tassi (Hamilton West—Ancaster—Dundas),Liberal,Yea,
88552,Luc Thériault (Montcalm),Groupe parlementaire québécois,Nay,
58733,Justin Trudeau (Papineau),Liberal,Yea,
25465,Peter Van Loan (York—Simcoe),Conservative,Nay,
89045,Dan Vandal (Saint Boniface—Saint Vital),Liberal,Yea,
71738,Anita Vandenbeld (Ottawa West—Nepean),Liberal,Yea,
54434,Adam Vaughan (Spadina—Fort York),Liberal,Yea,
89098,Cathay Wagantall (Yorkton—Melville),Conservative,Nay,
35886,Chris Warkentin (Grande Prairie—Mackenzie),Conservative,Nay,
89084,Kevin Waugh (Saskatoon—Grasswood),Conservative,Nay,
89116,Len Webber (Calgary Confederation),Conservative,Nay,
31796,Erin Weir (Regina—Lewvan),NDP,Yea,
88296,Nick Whalen (St. John's East),Liberal,Yea,
89494,Jody Wilson-Raybould (Vancouver Granville),Liberal,Yea,
30812,Alice Wong (Richmond Centre),Conservative,Nay,
25468,Borys Wrzesnewskyj (Etobicoke Centre),Liberal,Yea,
98747,Jean Yip (Scarborough—Agincourt),Liberal,Yea,
88832,Kate Young (London West),Liberal,Yea,
