Person ID,Member of Parliament,Political Affiliation,Member Voted,Paired
89156,Ziad Aboultaif (Edmonton Manning),Conservative,Nay,
72029,Dan Albas (Central Okanagan—Similkameen—Nicola),Conservative,Nay,
35607,Harold Albrecht (Kitchener—Conestoga),Conservative,Nay,
89258,John Aldag (Cloverdale—Langley City),Liberal,Yea,
89535,Omar Alghabra (Mississauga Centre),Liberal,Yea,
25446,Dean Allison (Niagara West),Conservative,Nay,
25447,Rona Ambrose (Sturgeon River—Parkland),Conservative,Nay,
89527,William Amos (Pontiac),Liberal,Yea,
89449,Gary Anandasangaree (Scarborough—Rouge Park),Liberal,Yea,
1795,David Anderson (Cypress Hills—Grasslands),Conservative,Nay,
89383,René Arseneault (Madawaska—Restigouche),Liberal,Yea,
88860,Chandra Arya (Nepean),Liberal,Yea,
71560,Robert Aubin (Trois-Rivières),NDP,Nay,
88419,Ramez Ayoub (Thérèse-De Blainville),Liberal,Yea,
88867,Vance Badawey (Niagara Centre),Liberal,Yea,
25471,Navdeep Bains (Mississauga—Malton),Liberal,Yea,
86261,John Barlow (Foothills),Conservative,Nay,
88422,Xavier Barsalou-Duval (Pierre-Boucher—Les Patriotes—Verchères),Bloc Québécois,Nay,
88578,Frank Baylis (Pierrefonds—Dollard),Liberal,Yea,
376,Mario Beaulieu (La Pointe-de-l'Île),Bloc Québécois,Nay,
89236,Terry Beech (Burnaby North—Seymour),Liberal,Yea,
992,Carolyn Bennett (Toronto—St. Paul's),Liberal,Yea,
89090,Sheri Benson (Saskatoon West),NDP,Nay,
96361,Bob Benzen (Calgary Heritage),Conservative,Nay,
59110,Candice Bergen (Portage—Lisgar),Conservative,Nay,
35309,Maxime Bernier (Beauce),Conservative,Nay,
88541,Luc Berthold (Mégantic—L'Érable),Conservative,Nay,
25475,James Bezan (Selkirk—Interlake—Eastman),Conservative,Nay,
88449,Marie-Claude Bibeau (Compton—Stanstead),Liberal,Yea,
88934,Chris Bittle (St. Catharines),Liberal,Yea,
89032,Daniel Blaikie (Elmwood—Transcona),NDP,Nay,
88961,Bill Blair (Scarborough Southwest),Liberal,Yea,
35389,Steven Blaney (Bellechasse—Les Etchemins—Lévis),Conservative,Nay,
59156,Kelly Block (Carlton Trail—Eagle Creek),Conservative,Nay,
89147,Randy Boissonnault (Edmonton Centre),Liberal,Yea,
88786,Mike Bossio (Hastings—Lennox and Addington),Liberal,Yea,
35320,Sylvie Boucher (Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix),Conservative,Nay,
88651,Michel Boudrias (Terrebonne),Bloc Québécois,Nay,
58775,Alexandre Boulerice (Rosemont—La Petite-Patrie),NDP,Nay,
71395,Marjolaine Boutin-Sweet (Hochelaga),NDP,Nay,
88674,John Brassard (Barrie—Innisfil),Conservative,Nay,
88775,Bob Bratina (Hamilton East—Stoney Creek),Liberal,Yea,
58707,Pierre Breton (Shefford),Liberal,Yea,
74,Scott Brison (Kings—Hants),Liberal,Yea,
71357,Ruth Ellen Brosseau (Berthier—Maskinongé),NDP,Nay,
25483,Gordon Brown (Leeds—Grenville—Thousand Islands and Rideau Lakes),Conservative,Nay,
89327,Richard Cannings (South Okanagan—West Kootenay),NDP,Nay,
23915,Guy Caron (Rimouski-Neigette—Témiscouata—Les Basques),NDP,Nay,
89059,Jim Carr (Winnipeg South Centre),Liberal,Yea,
25486,Colin Carrie (Oshawa),Conservative,Nay,
71270,Sean Casey (Charlottetown),Liberal,Yea,
51,Bill Casey (Cumberland—Colchester),Liberal,Yea,
89000,Bardish Chagger (Waterloo),Liberal,Yea,
86249,Arnold Chan (Scarborough—Agincourt),Liberal,Yea,
88953,Shaun Chen (Scarborough North),Liberal,Yea,
25488,Michael Chong (Wellington—Halton Hills),Conservative,Nay,
35351,François Choquette (Drummond),NDP,Nay,
25489,David Christopherson (Hamilton Centre),NDP,Nay,
88404,Alupa Clarke (Beauport—Limoilou),Conservative,Nay,
15975,Tony Clement (Parry Sound—Muskoka),Conservative,Nay,
89219,Michael Cooper (St. Albert—Edmonton),Conservative,Nay,
88350,Serge Cormier (Acadie—Bathurst),Liberal,Yea,
1804,Rodger Cuzner (Cape Breton—Canso),Liberal,Yea,
88884,Pam Damoff (Oakville North—Burlington),Liberal,Yea,
59325,Don Davies (Vancouver Kingsway),NDP,Nay,
88355,Matt DeCourcey (Fredericton),Liberal,Yea,
88535,Gérard Deltell (Louis-Saint-Laurent),Conservative,Nay,
31098,Sukh Dhaliwal (Surrey—Newton),Liberal,Yea,
88453,Anju Dhillon (Dorval—Lachine—LaSalle),Liberal,Yea,
89150,Kerry Diotte (Edmonton Griesbach),Conservative,Nay,
89249,Todd Doherty (Cariboo—Prince George),Conservative,Nay,
59226,Earl Dreeshen (Red Deer—Mountain View),Conservative,Nay,
88756,Francis Drouin (Glengarry—Prescott—Russell),Liberal,Yea,
71368,Matthew Dubé (Beloeil—Chambly),NDP,Nay,
84660,Emmanuel Dubourg (Bourassa),Liberal,Yea,
89408,Jean-Yves Duclos (Québec),Liberal,Yea,
31119,Terry Duguid (Winnipeg South),Liberal,Yea,
58877,Kirsty Duncan (Etobicoke North),Liberal,Yea,
35873,Linda Duncan (Edmonton Strathcona),NDP,Nay,
71553,Pierre-Luc Dusseault (Sherbrooke),NDP,Nay,
88780,Scott Duvall (Hamilton Mountain),NDP,Nay,
88721,Julie Dzerowicz (Davenport),Liberal,Yea,
43,Wayne Easter (Malpeque),Liberal,Yea,
48292,Jim Eglinski (Yellowhead),Conservative,Nay,
89010,Ali Ehsassi (Willowdale),Liberal,Yea,
88515,Fayçal El-Khoury (Laval—Les Îles),Liberal,Yea,
88683,Neil Ellis (Bay of Quinte),Liberal,Yea,
88687,Nathaniel Erskine-Smith (Beaches—East York),Liberal,Yea,
89027,Doug Eyolfson (Charleswood—St. James—Assiniboia—Headingley),Liberal,Yea,
84672,Ted Falk (Provencher),Conservative,Nay,
88478,Greg Fergus (Hull—Aylmer),Liberal,Yea,
88325,Andy Fillmore (Halifax),Liberal,Yea,
25501,Diane Finley (Haldimand—Norfolk),Conservative,Nay,
88360,Pat Finnigan (Miramichi—Grand Lake),Liberal,Yea,
88323,Darren Fisher (Dartmouth—Cole Harbour),Liberal,Yea,
71692,Peter Fonseca (Mississauga East—Cooksville),Liberal,Yea,
96356,Mona Fortier (Ottawa—Vanier),Liberal,Yea,
88605,Rhéal Fortin (Rivière-du-Nord),Bloc Québécois,Nay,
88827,Peter Fragiskatos (London North Centre),Liberal,Yea,
88346,Colin Fraser (West Nova),Liberal,Yea,
1589,Hedy Fry (Vancouver Centre),Liberal,Yea,
89279,Stephen Fuhr (Kelowna—Lake Country),Liberal,Yea,
10524,Marc Garneau (Notre-Dame-de-Grâce—Westmount),Liberal,Yea,
71995,Randall Garrison (Esquimalt—Saanich—Sooke),NDP,Nay,
63908,Bernard Généreux (Montmagny—L'Islet—Kamouraska—Rivière-du-Loup),Conservative,Nay,
89226,Garnett Genuis (Sherwood Park—Fort Saskatchewan),Conservative,Nay,
88802,Mark Gerretsen (Kingston and the Islands),Liberal,Yea,
88538,Marilène Gill (Manicouagan),Bloc Québécois,Nay,
88938,Marilyn Gladu (Sarnia—Lambton),Conservative,Nay,
89407,Joël Godin (Portneuf—Jacques-Cartier),Conservative,Nay,
89370,Pam Goldsmith-Jones (West Vancouver—Sunshine Coast—Sea to Sky Country),Liberal,Yea,
1265,Ralph Goodale (Regina—Wascana),Liberal,Yea,
88715,Karina Gould (Burlington),Liberal,Yea,
35397,Jacques Gourde (Lévis—Lotbinière),Conservative,Nay,
88504,David de Burgh Graham (Laurentides—Labelle),Liberal,Yea,
88694,Raj Grewal (Brampton East),Liberal,Yea,
88984,Patty Hajdu (Thunder Bay—Superior North),Liberal,Yea,
89012,Cheryl Hardcastle (Windsor—Tecumseh),NDP,Nay,
89200,Rachael Harder (Lethbridge),Conservative,Nay,
88370,T.J. Harvey (Tobique—Mactaquac),Liberal,Yea,
59148,Randy Hoback (Prince Albert),Conservative,Nay,
25508,Mark Holland (Ajax),Liberal,Yea,
88558,Anthony Housefather (Mount Royal),Liberal,Yea,
31289,Carol Hughes (Algoma—Manitoulin—Kapuskasing),NDP,Nay,
89020,Ahmed Hussen (York South—Weston),Liberal,Yea,
88292,Gudie Hutchings (Long Range Mountains),Liberal,Yea,
71337,Angelo Iacono (Alfred-Pellan),Liberal,Yea,
89167,Matt Jeneroux (Edmonton Riverbend),Conservative,Nay,
89263,Gord Johns (Courtenay—Alberni),NDP,Nay,
88384,Mélanie Joly (Ahuntsic-Cartierville),Liberal,Yea,
13218,Yvonne Jones (Labrador),Liberal,Yea,
88929,Majid Jowhari (Richmond Hill),Liberal,Yea,
89144,Darshan Singh Kang (Calgary Skyview),Liberal,Yea,
89130,Pat Kelly (Calgary Rocky Ridge),Conservative,Nay,
35699,Peter Kent (Thornhill),Conservative,Nay,
88849,Iqra Khalid (Mississauga—Erin Mills),Liberal,Yea,
88705,Kamal Khera (Brampton West),Liberal,Yea,
89095,Robert Kitchen (Souris—Moose Mountain),Conservative,Nay,
89136,Tom Kmiec (Calgary Shepard),Conservative,Nay,
96367,Stephanie Kusie (Calgary Midnapore),Conservative,Nay,
89346,Jenny Kwan (Vancouver East),NDP,Nay,
35857,Mike Lake (Edmonton—Wetaskiwin),Conservative,Nay,
88501,David Lametti (LaSalle—Émard—Verdun),Liberal,Yea,
30552,Kevin Lamoureux (Winnipeg North),Liberal,Yea,
88601,Linda Lapointe (Rivière-des-Mille-Îles),Liberal,Yea,
25516,Guy Lauzon (Stormont—Dundas—South Glengarry),Conservative,Nay,
71434,Hélène Laverdière (Laurier—Sainte-Marie),NDP,Nay,
38633,Denis Lebel (Lac-Saint-Jean),Conservative,Nay,
88460,Diane Lebouthillier (Gaspésie—Les Îles-de-la-Madeleine),Liberal,Yea,
88973,Paul Lefebvre (Sudbury),Liberal,Yea,
71786,K. Kellie Leitch (Simcoe—Grey),Conservative,Nay,
88446,Denis Lemieux (Chicoutimi—Le Fjord),Liberal,Yea,
88894,Andrew Leslie (Orléans),Liberal,Yea,
89018,Michael Levitt (York Centre),Liberal,Yea,
89139,Ron Liepert (Calgary Signal Hill),Conservative,Nay,
88532,Joël Lightbound (Louis-Hébert),Liberal,Yea,
35600,Ben Lobb (Huron—Bruce),Conservative,Nay,
88357,Alaina Lockhart (Fundy Royal),Liberal,Yea,
88368,Wayne Long (Saint John—Rothesay),Liberal,Yea,
88761,Lloyd Longfield (Guelph),Liberal,Yea,
88365,Karen Ludwig (New Brunswick Southwest),Liberal,Yea,
25520,Tom Lukiwski (Moose Jaw—Lake Centre—Lanigan),Conservative,Nay,
33,Lawrence MacAulay (Cardigan),Liberal,Yea,
89269,Alistair MacGregor (Cowichan—Malahat—Langford),NDP,Nay,
891,Dave MacKenzie (Oxford),Conservative,Nay,
88468,Steven MacKinnon (Gatineau),Liberal,Yea,
7251,Larry Maguire (Brandon—Souris),Conservative,Nay,
88748,James Maloney (Etobicoke—Lakeshore),Liberal,Yea,
88544,Simon Marcil (Mirabel),Bloc Québécois,Nay,
88397,Rémi Massé (Avignon—La Mitis—Matane—Matapédia),Liberal,Yea,
9137,Brian Masse (Windsor West),NDP,Nay,
764,Irene Mathyssen (London—Fanshawe),NDP,Nay,
71599,Bryan May (Cambridge),Liberal,Yea,
2897,Elizabeth May (Saanich—Gulf Islands),Green Party,Nay,
89179,Kelly McCauley (Edmonton West),Conservative,Nay,
35539,Phil McColeman (Brantford—Brant),Conservative,Nay,
71602,Karen McCrimmon (Kanata—Carleton),Liberal,Yea,
88283,Ken McDonald (Avalon),Liberal,Yea,
957,John McKay (Scarborough—Guildwood),Liberal,Yea,
88892,Catherine McKenna (Ottawa Centre),Liberal,Yea,
59293,Ron McKinnon (Coquitlam—Port Coquitlam),Liberal,Yea,
89374,Michael McLeod (Northwest Territories),Liberal,Yea,
59265,Cathy McLeod (Kamloops—Thompson—Cariboo),Conservative,Nay,
58621,Alexandra Mendès (Brossard—Saint-Lambert),Liberal,Yea,
88738,Marco Mendicino (Eglinton—Lawrence),Liberal,Yea,
89037,MaryAnn Mihychuk (Kildonan—St. Paul),Liberal,Yea,
88660,Marc Miller (Ville-Marie—Le Sud-Ouest—Île-des-Soeurs),Liberal,Yea,
25522,Larry Miller (Bruce—Grey—Owen Sound),Conservative,Nay,
88922,Maryam Monsef (Peterborough—Kawartha),Liberal,Yea,
232,Christine Moore (Abitibi—Témiscamingue),NDP,Nay,
94305,Glen Motz (Medicine Hat—Cardston—Warner),Conservative,Nay,
26684,Thomas Mulcair (Outremont),NDP,Nay,
35950,Joyce Murray (Vancouver Quadra),Liberal,Yea,
71447,Pierre Nantel (Longueuil—Saint-Hubert),NDP,Nay,
58806,Eva Nassif (Vimy),Liberal,Yea,
88917,John Nater (Perth—Wellington),Conservative,Nay,
709,Robert Nault (Kenora),Liberal,Yea,
96352,Mary Ng (Markham—Thornhill),Liberal,Yea,
820,Rob Nicholson (Niagara Falls),Conservative,Nay,
88679,Alexander Nuttall (Barrie—Springwater—Oro-Medonte),Conservative,Nay,
1287,Deepak Obhrai (Calgary Forest Lawn),Conservative,Nay,
88925,Jennifer O'Connell (Pickering—Uxbridge),Liberal,Yea,
58858,Robert Oliphant (Don Valley West),Liberal,Yea,
88881,John Oliver (Oakville),Liberal,Yea,
88299,Seamus O'Regan (St. John's South—Mount Pearl),Liberal,Yea,
89466,Robert-Falcon Ouellette (Winnipeg Centre),Liberal,Yea,
198,Denis Paradis (Brome—Missisquoi),Liberal,Yea,
71454,Pierre Paul-Hus (Charlesbourg—Haute-Saint-Charles),Conservative,Nay,
88595,Monique Pauzé (Repentigny),Bloc Québécois,Nay,
1825,Joe Peschisolido (Steveston—Richmond East),Liberal,Yea,
