session,division,party,dissenters,names,whip_status,subject
38-1,150,Liberal,9,Rodger Cuzner (Cape Breton—Canso); Jim Karygiannis (Scarborough—Agincourt); Lawrence MacAulay (Cardigan); Gurbax Malhi (Bramalea—Gore—Malton); Dan McTeague (Pickering—Scarborough East); Andy Savoy (Tobique—Mactaquac); Francis Scarpaleggia (Lac-Saint-Louis); Scott Simms (Bonavista—Gander—Grand Falls—Windsor); Tom Wappel (Scarborough Southwest),documented_free,"Bill C-38, An Act respecting certain aspects of legal capacity for marriage for civil purposes (report stage amendment)"
38-1,151,Liberal,9,Rodger Cuzner (Cape Breton—Canso); Jim Karygiannis (Scarborough—Agincourt); Lawrence MacAulay (Cardigan); Gurbax Malhi (Bramalea—Gore—Malton); Dan McTeague (Pickering—Scarborough East); Andy Savoy (Tobique—Mactaquac); Francis Scarpaleggia (Lac-Saint-Louis); Scott Simms (Bonavista—Gander—Grand Falls—Windsor); Tom Wappel (Scarborough Southwest),documented_free,"Bill C-38, An Act respecting certain aspects of legal capacity for marriage for civil purposes (report stage amendment)"
38-1,152,Liberal,9,Rodger Cuzner (Cape Breton—Canso); Jim Karygiannis (Scarborough—Agincourt); Lawrence MacAulay (Cardigan); Gurbax Malhi (Bramalea—Gore—Malton); Dan McTeague (Pickering—Scarborough East); Andy Savoy (Tobique—Mactaquac); Francis Scarpaleggia (Lac-Saint-Louis); Scott Simms (Bonavista—Gander—Grand Falls—Windsor); Tom Wappel (Scarborough Southwest),documented_free,"Bill C-38, An Act respecting certain aspects of legal capacity for marriage for civil purposes (report stage amendment)"
38-1,153,Liberal,9,Rodger Cuzner (Cape Breton—Canso); Jim Karygiannis (Scarborough—Agincourt); Lawrence MacAulay (Cardigan); Gurbax Malhi (Bramalea—Gore—Malton); Dan McTeague (Pickering—Scarborough East); Andy Savoy (Tobique—Mactaquac); Francis Scarpaleggia (Lac-Saint-Louis); Scott Simms (Bonavista—Gander—Grand Falls—Windsor); Tom Wappel (Scarborough Southwest),documented_free,"Bill C-38, An Act respecting certain aspects of legal capacity for marriage for civil purposes (report stage amendment)"
38-1,49,Liberal,7,Raymond Bonin (Nickel Belt); Bonnie Brown (Oakville); Charles Hubbard (Miramichi); Pat O'Brien (London—Fanshawe); Jerry Pickard (Chatham-Kent—Essex); Paul Steckle (Huron—Bruce); Andrew Telegdi (Kitchener—Waterloo),unresolved,"Bill C-30, An Act to amend the Parliament of Canada Act and the Salaries Act and to make consequential amendments to other Acts (report stage amendment)"
42-1,68,Liberal,7,John Aldag (Cloverdale—Langley City); René Arseneault (Madawaska—Restigouche); Nathaniel Erskine-Smith (Beaches—East York); David Lametti (LaSalle—Émard—Verdun); Alexandra Mendès (Brossard—Saint-Lambert); Robert Oliphant (Don Valley West); Adam Vaughan (Spadina—Fort York),documented_free,"Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying) (report stage amendment)"
38-1,9,Liberal,6,John Cannis (Scarborough Centre); Brenda Chamberlain (Guelph); Paul Steckle (Huron—Bruce); Paul Szabo (Mississauga South); Andrew Telegdi (Kitchener—Waterloo); Alan Tonks (York South—Weston),unresolved,"Bill C-17, An Act to amend the Contraventions Act and the Controlled Drugs and Substances Act and to make consequential amendments to other Acts (referral to a committee before second reading)"
42-1,102,Liberal,6,Arnold Chan (Scarborough—Agincourt); Julie Dabrusin (Toronto—Danforth); Pam Damoff (Oakville North—Burlington); Nathaniel Erskine-Smith (Beaches—East York); David Lametti (LaSalle—Émard—Verdun); Robert Oliphant (Don Valley West),unresolved,"Motion respecting Senate amendments to Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying) (amendment)"
42-1,950,Liberal,6,Stephen Fuhr (Kelowna—Lake Country); David de Burgh Graham (Laurentides—Labelle); Wayne Long (Saint John—Rothesay); MaryAnn Mihychuk (Kildonan—St. Paul); Robert-Falcon Ouellette (Winnipeg Centre); Arif Virani (Parkdale—High Park),category_proxy_other,"3rd reading and adoption of Bill C-89, An Act to provide for the resumption and continuation of postal services"
42-1,73,Liberal,5,John Aldag (Cloverdale—Langley City); René Arseneault (Madawaska—Restigouche); Arnold Chan (Scarborough—Agincourt); Nathaniel Erskine-Smith (Beaches—East York); Robert Oliphant (Don Valley West),documented_free,"Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying) (report stage amendment)"
42-1,948,Liberal,5,Stephen Fuhr (Kelowna—Lake Country); David de Burgh Graham (Laurentides—Labelle); Wayne Long (Saint John—Rothesay); MaryAnn Mihychuk (Kildonan—St. Paul); Arif Virani (Parkdale—High Park),category_proxy_other,"2nd reading of Bill C-89, An Act to provide for the resumption and continuation of postal services"
43-2,71,Liberal,5,Steven MacKinnon (Gatineau); John McKay (Scarborough—Guildwood); Ginette Petitpas Taylor (Moncton—Riverview—Dieppe); Marcus Powlowski (Thunder Bay—Rainy River); Sameer Zuberi (Pierrefonds—Dollard),category_proxy_other,"Motion respecting Senate amendments to Bill C-7, An Act to amend the Criminal Code (medical assistance in dying) (amendment)"
42-1,65,Liberal,4,René Arseneault (Madawaska—Restigouche); Nathaniel Erskine-Smith (Beaches—East York); David Lametti (LaSalle—Émard—Verdun); Robert Oliphant (Don Valley West),documented_free,"Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying) (report stage amendment)"
42-1,66,Liberal,4,Arnold Chan (Scarborough—Agincourt); Pam Damoff (Oakville North—Burlington); Joël Lightbound (Louis-Hébert); Filomena Tassi (Hamilton West—Ancaster—Dundas),documented_free,"Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying) (report stage amendment)"
42-1,67,Liberal,4,Arnold Chan (Scarborough—Agincourt); Nathaniel Erskine-Smith (Beaches—East York); Robert Oliphant (Don Valley West); Nick Whalen (St. John's East),documented_free,"Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying) (report stage amendment)"
42-1,74,Liberal,4,Nathaniel Erskine-Smith (Beaches—East York); Alexandra Mendès (Brossard—Saint-Lambert); Robert Oliphant (Don Valley West); Robert-Falcon Ouellette (Winnipeg Centre),documented_free,"Concurrence at report stage of Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying)"
42-1,76,Liberal,4,Nathaniel Erskine-Smith (Beaches—East York); David Lametti (LaSalle—Émard—Verdun); Robert Oliphant (Don Valley West); Robert-Falcon Ouellette (Winnipeg Centre),documented_free,"3rd reading and adoption of Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying)"
42-1,72,Liberal,3,John McKay (Scarborough—Guildwood); Robert-Falcon Ouellette (Winnipeg Centre); Judy A. Sgro (Humber River—Black Creek),documented_free,"Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying) (report stage amendment)"
42-1,103,Liberal,3,Nathaniel Erskine-Smith (Beaches—East York); David Lametti (LaSalle—Émard—Verdun); Robert-Falcon Ouellette (Winnipeg Centre),unresolved,"Motion respecting Senate amendments to Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying)"
