category,eligible_divisions,unnumbered_divisions,numbered_divisions,session_bill_units,all_division_rate,numbered_division_rate,equal_bill_mean_rate
government_bill,1491,0,1491,281,2.749832,2.749832,5.147645
private_members_business,848,185,663,467,26.533019,29.411765,32.708779
