session,category,bill,divisions,with_dissent,dissent_rate
40-2,private_members_business,C-201,1,0,0.0
40-2,private_members_business,C-232,1,0,0.0
40-2,private_members_business,C-241,1,0,0.0
40-2,private_members_business,C-268,4,0,0.0
40-2,private_members_business,C-273,1,1,100.0
40-2,private_members_business,C-279,1,0,0.0
40-2,private_members_business,C-280,1,0,0.0
40-2,private_members_business,C-288,1,0,0.0
40-2,private_members_business,C-290,1,0,0.0
40-2,private_members_business,C-291,2,0,0.0
40-2,private_members_business,C-300,1,1,100.0
40-2,private_members_business,C-302,1,1,100.0
40-2,private_members_business,C-304,1,1,100.0
40-2,private_members_business,C-306,1,0,0.0
40-2,private_members_business,C-307,1,0,0.0
40-2,private_members_business,C-308,1,0,0.0
40-2,private_members_business,C-309,1,0,0.0
40-2,private_members_business,C-310,1,0,0.0
40-2,private_members_business,C-311,1,0,0.0
40-2,private_members_business,C-391,1,0,0.0
40-2,private_members_business,C-392,1,0,0.0
40-2,private_members_business,C-393,1,1,100.0
40-2,private_members_business,C-395,1,0,0.0
40-3,government_bill,C-17,1,0,0.0
40-3,government_bill,C-2,6,0,0.0
40-3,government_bill,C-22,1,0,0.0
40-3,government_bill,C-39,1,0,0.0
40-3,government_bill,C-42,3,0,0.0
40-3,government_bill,C-46,7,0,0.0
40-3,government_bill,C-47,2,0,0.0
40-3,government_bill,C-5,1,0,0.0
40-3,government_bill,C-59,2,0,0.0
40-3,government_bill,C-9,9,0,0.0
40-3,government_bill,S-6,6,0,0.0
40-3,private_members_business,C-201,2,2,100.0
40-3,private_members_business,C-232,1,0,0.0
40-3,private_members_business,C-241,1,0,0.0
40-3,private_members_business,C-280,1,0,0.0
40-3,private_members_business,C-288,1,0,0.0
40-3,private_members_business,C-290,1,0,0.0
40-3,private_members_business,C-300,15,0,0.0
40-3,private_members_business,C-302,1,1,100.0
40-3,private_members_business,C-304,1,0,0.0
40-3,private_members_business,C-308,1,0,0.0
40-3,private_members_business,C-309,1,0,0.0
40-3,private_members_business,C-311,2,0,0.0
40-3,private_members_business,C-343,2,0,0.0
40-3,private_members_business,C-384,1,1,100.0
40-3,private_members_business,C-386,1,1,100.0
40-3,private_members_business,C-389,2,2,100.0
40-3,private_members_business,C-393,1,1,100.0
40-3,private_members_business,C-395,1,0,0.0
40-3,private_members_business,C-429,2,0,0.0
40-3,private_members_business,C-440,1,0,0.0
40-3,private_members_business,C-444,1,0,0.0
40-3,private_members_business,C-449,1,0,0.0
40-3,private_members_business,C-469,1,0,0.0
40-3,private_members_business,C-470,1,1,100.0
40-3,private_members_business,C-471,1,0,0.0
40-3,private_members_business,C-473,2,2,100.0
40-3,private_members_business,C-474,12,1,8.333333
40-3,private_members_business,C-475,2,0,0.0
40-3,private_members_business,C-501,2,2,100.0
40-3,private_members_business,C-507,1,0,0.0
40-3,private_members_business,C-509,1,0,0.0
40-3,private_members_business,C-510,1,1,100.0
40-3,private_members_business,C-530,1,0,0.0
40-3,private_members_business,C-568,1,0,0.0
40-3,private_members_business,C-575,1,0,0.0
40-3,private_members_business,S-210,1,0,0.0
41-1,government_bill,C-10,16,0,0.0
41-1,government_bill,C-11,26,0,0.0
41-1,government_bill,C-13,7,0,0.0
41-1,government_bill,C-15,2,0,0.0
41-1,government_bill,C-18,17,0,0.0
41-1,government_bill,C-19,14,0,0.0
41-1,government_bill,C-20,5,0,0.0
41-1,government_bill,C-21,1,0,0.0
41-1,government_bill,C-23,1,0,0.0
41-1,government_bill,C-24,2,0,0.0
41-1,government_bill,C-25,4,0,0.0
41-1,government_bill,C-27,6,0,0.0
41-1,government_bill,C-28,1,0,0.0
41-1,government_bill,C-3,4,0,0.0
41-1,government_bill,C-31,26,0,0.0
41-1,government_bill,C-33,3,0,0.0
41-1,government_bill,C-36,2,0,0.0
41-1,government_bill,C-37,2,0,0.0
41-1,government_bill,C-38,160,0,0.0
41-1,government_bill,C-39,3,0,0.0
41-1,government_bill,C-42,3,0,0.0
41-1,government_bill,C-43,9,0,0.0
41-1,government_bill,C-44,2,0,0.0
41-1,government_bill,C-45,49,0,0.0
41-1,government_bill,C-48,1,0,0.0
41-1,government_bill,C-49,4,0,0.0
41-1,government_bill,C-51,3,0,0.0
41-1,government_bill,C-52,1,0,0.0
41-1,government_bill,C-54,1,0,0.0
41-1,government_bill,C-55,1,0,0.0
41-1,government_bill,C-6,4,0,0.0
41-1,government_bill,C-60,18,0,0.0
41-1,government_bill,S-10,1,0,0.0
41-1,government_bill,S-11,2,0,0.0
41-1,government_bill,S-2,4,0,0.0
41-1,government_bill,S-5,1,0,0.0
41-1,government_bill,S-7,2,0,0.0
41-1,government_bill,S-8,3,0,0.0
41-1,government_bill,S-9,1,0,0.0
41-1,private_members_business,C-215,1,0,0.0
41-1,private_members_business,C-217,1,0,0.0
41-1,private_members_business,C-266,1,0,0.0
41-1,private_members_business,C-267,1,1,100.0
41-1,private_members_business,C-273,1,1,100.0
41-1,private_members_business,C-279,5,5,100.0
41-1,private_members_business,C-280,1,1,100.0
41-1,private_members_business,C-288,2,0,0.0
41-1,private_members_business,C-291,1,0,0.0
41-1,private_members_business,C-293,3,0,0.0
41-1,private_members_business,C-299,5,0,0.0
41-1,private_members_business,C-300,1,0,0.0
41-1,private_members_business,C-304,3,0,0.0
41-1,private_members_business,C-305,1,0,0.0
41-1,private_members_business,C-306,1,1,100.0
