vote_number,date,subject,bill_number,result,yeas,nays,paired
219,2007-06-20T18:10:49,Private Members' Business M-249 (Water resources management strategy) (amendment),,Negatived,88,144,0
218,2007-06-20T18:40:01,"Concurrence at report stage of Bill C-6, An Act to amend the Aeronautics Act and to make consequential amendments to other Acts",C-6,Agreed To,216,24,0
217,2007-06-20T18:02:35,"Bill C-6, An Act to amend the Aeronautics Act and to make consequential amendments to other Acts (report stage amendment)",C-6,Negatived,24,216,0
216,2007-06-20T17:50:28,"Bill C-6, An Act to amend the Aeronautics Act and to make consequential amendments to other Acts (report stage amendment)",C-6,Negatived,24,216,0
215,2007-06-20T17:42:24,"Bill C-6, An Act to amend the Aeronautics Act and to make consequential amendments to other Acts (report stage amendment)",C-6,Negatived,24,216,0
214,2007-06-20T17:40:13,"Bill C-6, An Act to amend the Aeronautics Act and to make consequential amendments to other Acts (report stage amendment)",C-6,Negatived,24,216,0
213,2007-06-20T17:40:55,"Bill C-6, An Act to amend the Aeronautics Act and to make consequential amendments to other Acts (report stage amendment)",C-6,Negatived,24,216,0
212,2007-06-20T17:38:40,"Bill C-6, An Act to amend the Aeronautics Act and to make consequential amendments to other Acts (report stage amendment)",C-6,Negatived,24,216,0
211,2007-06-20T17:37:36,"Bill C-6, An Act to amend the Aeronautics Act and to make consequential amendments to other Acts (report stage amendment)",C-6,Negatived,24,216,0
210,2007-06-20T17:35:12,"Bill C-6, An Act to amend the Aeronautics Act and to make consequential amendments to other Acts (report stage amendment)",C-6,Negatived,24,216,0
209,2007-06-19T15:10:40,Sixth Report of the Standing Committee on Aboriginal Affairs and Northern Development,,Agreed To,146,114,0
208,2007-06-18T18:50:03,"Motion respecting Senate amendments to Bill C-31, An Act to amend the Canada Elections Act and the Public Service Employment Act",C-31,Agreed To,166,55,0
207,2007-06-18T18:50:31,Appointment of an officer of Parliament,,Agreed To,188,32,0
206,2007-06-14T15:00:20,"Motion respecting Senate amendments to Bill C-11, An Act to amend the Canada Transportation Act and the Railway Safety Act and to make consequential amendments to other Acts",C-11,Agreed To,163,61,0
205,2007-06-13T18:01:07,"2nd reading of Bill S-220, An Act to protect heritage lighthouses",S-220,Agreed To,208,41,0
204,2007-06-13T18:55:55,16th Report of the Standing Committee on Justice and Human Rights,,Agreed To,248,0,0
203,2007-06-13T17:50:55,Private Members' Business M-321 (Proposed tax on distributions),,Negatived,74,174,0
202,2007-06-12T18:10:22,"3rd reading and adoption of Bill C-52, An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2007",C-52,Agreed To,158,103,10
201,2007-06-12T18:05:02,"3rd reading and adoption of Bill C-52, An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2007 (previous question)",C-52,Agreed To,157,103,10
200,2007-06-12T10:15:05,"Time allocation for Bill C-52, An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2007",C-52,Agreed To,156,101,10
199,2007-06-07T20:50:55,Opposition Motion (Equalization Program and the Atlantic Accords),,Agreed To,149,111,0
198,2007-06-06T18:00:25,"Concurrence at report stage of Bill C-298, An Act to add perfluorooctane sulfonate (PFOS) and its salts to the Virtual Elimination List under the Canadian Environmental Protection Act, 1999",C-298,Agreed To,264,1,10
197,2007-06-06T17:50:21,Fourth Report of the Standing Committee on Citizenship and Immigration,,Agreed To,147,115,10
196,2007-06-05T17:58:00,"Concurrence at report stage of Bill C-52, An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2007",C-52,Agreed To,158,108,12
195,2007-06-05T17:50:13,"Bill C-52, An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2007 (report stage amendment)",C-52,Agreed To,265,0,12
194,2007-06-04T18:50:26,Nineth Report of the Standing Committee on International Trade,,Agreed To,134,108,12
193,2007-05-30T15:17:19,"3rd reading and adoption of Bill C-280, An Act to Amend the Immigration and Refugee Protection Act (coming into force of sections 110, 111 and 171)",C-280,Agreed To,151,119,8
192,2007-05-30T15:07:07,"Bill C-45, An Act respecting the sustainable development of Canada's seacoast and inland fisheries (hoist amendment)",C-45,Negatived,111,164,8
191,2007-05-29T17:55:22,"3rd reading and adoption of Bill C-10, An Act to amend the Criminal Code (minimum penalties for offences involving firearms) and to make a consequential amendment to another Act",C-10,Agreed To,157,117,8
