division_id,official_date,deposit_date,date_matches
H38S1V139,2005-06-22,2005-06-22,True
H38S1V140,2005-06-23,2005-06-23,True
H38S1V141,2005-06-23,2005-06-23,True
H38S1V142,2005-06-23,2005-06-23,True
H38S1V143,2005-06-23,2005-06-23,True
H38S1V144,2005-06-23,2005-06-23,True
H38S1V145,2005-06-23,2005-06-23,True
H38S1V146,2005-06-23,2005-06-23,True
H38S1V147,2005-06-27,2005-06-27,True
H38S1V148,2005-06-27,2005-06-27,True
H38S1V149,2005-06-27,2005-06-27,True
H38S1V150,2005-06-27,2005-06-27,True
H38S1V151,2005-06-27,2005-06-27,True
H38S1V152,2005-06-27,2005-06-27,True
H38S1V153,2005-06-28,2005-06-27,False
H38S1V154,2005-06-27,2005-06-27,True
H38S1V155,2005-06-28,2005-06-28,True
H38S1V156,2005-06-28,2005-06-28,True
H38S1V157,2005-09-28,2005-09-28,True
H38S1V158,2005-09-28,2005-09-28,True
H38S1V159,2005-09-28,2005-09-28,True
H38S1V160,2005-09-28,2005-09-28,True
H38S1V161,2005-10-05,2005-10-05,True
H38S1V162,2005-10-05,2005-10-05,True
H38S1V163,2005-10-05,2005-10-05,True
H38S1V164,2005-10-05,2005-10-05,True
H38S1V165,2005-10-05,2005-10-05,True
H38S1V166,2005-10-05,2005-10-05,True
H38S1V167,2005-10-05,2005-10-05,True
H38S1V168,2005-10-05,2005-10-05,True
H38S1V169,2005-10-05,2005-10-05,True
H38S1V170,2005-10-05,2005-10-05,True
H38S1V171,2005-10-18,2005-10-18,True
H38S1V172,2005-10-18,2005-10-18,True
H38S1V173,2005-10-25,2005-10-25,True
H38S1V174,2005-10-25,2005-10-25,True
H38S1V175,2005-10-26,2005-10-26,True
H38S1V176,2005-10-26,2005-10-26,True
H38S1V177,2005-10-26,2005-10-26,True
H38S1V178,2005-10-26,2005-10-26,True
H38S1V179,2005-11-02,2005-11-02,True
H38S1V180,2005-11-15,2005-11-15,True
H38S1V181,2005-11-15,2005-11-15,True
H38S1V182,2005-11-21,2005-11-21,True
H38S1V183,2005-11-22,2005-11-22,True
H38S1V184,2005-11-23,2005-11-23,True
H38S1V185,2005-11-23,2005-11-23,True
H38S1V186,2005-11-23,2005-11-23,True
H38S1V187,2005-11-23,2005-11-23,True
H38S1V188,2005-11-23,2005-11-23,True
H38S1V189,2005-11-23,2005-11-23,True
H38S1V190,2005-11-28,2005-11-28,True
H39S1V001,2006-05-08,2006-05-08,True
H39S1V002,2006-05-08,2006-05-08,True
H39S1V003,2006-05-08,2006-05-08,True
H39S1V004,2006-05-08,2006-05-08,True
H39S1V005,2006-05-09,2006-05-09,True
H39S1V006,2006-05-10,2006-05-10,True
H39S1V007,2006-05-16,2006-05-16,True
H39S1V008,2006-05-16,2006-05-16,True
H39S1V009,2006-05-17,2006-05-17,True
H39S1V010,2006-05-30,2006-05-30,True
