parliament,deposit_term_id,deposit_name,deposit_constituency,person_id,method,observable_records
38,3593,"REID, Scott Jeffrey",LANARK--FRONTENAC--LENNOX AND ADDINGTON,1827,surname_constituency,186
38,3596,"LEMAY, Marc",ABITIBI--TEMISCAMINGUE,25529,full_name,187
38,3599,"BONSANT, France",COMPTON--STANSTEAD,25479,full_name,187
38,3600,"KADIS, Susan",THORNHILL,25510,full_name,175
38,3610,"GOLDRING, Peter",EDMONTON EAST,1325,full_name,173
38,3611,"PAQUETTE, Pierre A",JOLIETTE,1824,surname_constituency,187
38,3612,"MARTIN, Tony",SAULT STE. MARIE,25521,full_name,174
38,3613,"KOTTO, Maka",SAINT-LAMBERT,25514,full_name,179
38,3616,"LUNN, Gary",SAANICH--GULF ISLANDS,1547,full_name,173
38,3617,"REGAN, Geoff",HALIFAX WEST,1760,full_name,178
38,3618,"DESROCHERS, Odina",LOTBINIERE--CHUTES-DE-LA-CHAUDIERE,340,full_name,170
38,3619,"IANNO, Tony",TRINITY--SPADINA,1053,full_name,189
38,3620,"GAGNON, Christiane",QUEBEC,399,full_name,190
38,3622,"TWEED, Merv",BRANDON--SOURIS,25463,full_name,181
38,3623,"PATRY, Bernard",PIERREFONDS--DOLLARD,387,full_name,179
38,3624,"MCTEAGUE, Dan",PICKERING--SCARBOROUGH EAST,921,full_name,175
38,3627,"ROBILLARD, Lucienne",WESTMOUNT--VILLE-MARIE,512,full_name,187
38,3629,"GUERGIS, Helena",SIMCOE--GREY,25506,full_name,183
38,3631,"VELLACOTT, Maurice",SASKATOON--WANUSKEWIN,1262,full_name,175
38,3634,"WATSON, Jeff",ESSEX,1099,full_name,187
38,3635,"WARAWA, Mark",LANGLEY,25467,full_name,188
38,3636,"LAFRAMBOISE, Mario",ARGENTEUIL--MIRABEL,1811,full_name,189
38,3639,"ODA, Bev",CLARINGTON--SCUGOG--UXBRIDGE,19994,full_name,172
38,3641,"ROY, Jean-Yves",MATAPEDIA--MATANE,1828,full_name,189
38,3646,"EPP, Ken",EDMONTON--SHERWOOD PARK,1362,full_name,177
38,3647,"BATTERS, Dave",PALLISER,25472,full_name,173
38,841,"ANDERSON, David",VICTORIA,1635,surname_constituency,170
38,3650,"SCHMIDT, Werner",KELOWNA,1461,full_name,181
38,3652,"BREITKREUZ, Garry",YORKTON--MELVILLE,1268,full_name,181
38,3656,"LAPIERRE, Real",LEVIS--BELLECHASSE,25515,full_name,184
38,3659,"MALONEY, John",WELLAND,620,full_name,181
38,3661,"PACETTI, Massimo",SAINT-LEONARD--SAINT-MICHEL,9135,full_name,176
38,3662,"MYERS, Lynn",KITCHENER--CONESTOGA,1072,full_name,183
38,3664,"GOODYEAR, Gary",CAMBRIDGE,25504,full_name,181
38,3665,"CLAVET, Roger",LOUIS-HEBERT,25490,full_name,182
38,3667,"LEBLANC, Dominic",BEAUSEJOUR,1813,full_name,182
38,3670,"MACKAY, Peter G.",CENTRAL NOVA,82,surname_constituency,186
38,3672,"PRESTON, Joe",ELGIN--MIDDLESEX--LONDON,25448,full_name,186
38,3673,"BULTE, Sarmite (Sam)",PARKDALE--HIGH PARK,894,surname_constituency,180
38,3674,"ALCOCK, Reg",WINNIPEG SOUTH,1180,full_name,181
38,3677,"SCARPALEGGIA, Francis",LAC-SAINT-LOUIS,25453,full_name,185
38,3678,"MARTIN, Pat",WINNIPEG CENTRE,1174,full_name,179
38,3683,"CARROLL, Aileen",BARRIE,520,full_name,187
38,3685,"O'BRIEN, Lawrence David",LABRADOR,18,surname_constituency,15
38,3686,"ANGUS, Charlie",TIMMINS--JAMES BAY,25470,full_name,173
38,3687,"BROWN, M.A. Bonnie",OAKVILLE,844,surname_constituency,181
38,3688,"AUGUSTINE, Jean",ETOBICOKE--LAKESHORE,632,full_name,174
38,3691,"FINLEY, Diane",HALDIMAND--NORFOLK,25501,full_name,176
38,3692,"MARK, Inky",DAUPHIN--SWAN RIVER,1144,full_name,160
38,3693,"VINCENT, Robert",SHEFFORD,25466,full_name,186
38,3698,"MATTHEWS, Bill",RANDOM--BURIN--ST. GEORGE'S,6,full_name,153
38,3699,"EYKING, Mark",SYDNEY--VICTORIA,1806,full_name,179
38,3702,"TEMELKOVSKI, Lui",OAK RIDGES--MARKHAM,25459,full_name,177
38,3704,"RODRIGUEZ, Pablo",HONORE-MERCIER,25451,full_name,186
38,3705,"DHALLA, Ruby",BRAMPTON--SPRINGDALE,25498,full_name,178
38,3706,"MENARD, Real",HOCHELAGA,259,full_name,185
38,3707,"GAGNON, Sebastien",JONQUIERE--ALMA,10435,full_name,186
38,3710,"OWEN, Stephen",VANCOUVER QUADRA,1822,full_name,189
38,3712,"BOSHCOFF, Ken",THUNDER BAY--RAINY RIVER,25480,full_name,188
38,3713,"JEAN, Brian",ATHABASCA,25509,full_name,183
38,3714,"MINNA, Maria",BEACHES--EAST YORK,528,full_name,187
38,3715,"HILL, Jay",PRINCE GEORGE--PEACE RIVER,1530,full_name,189
38,3722,"MERRIFIELD, Rob",YELLOWHEAD,1818,full_name,187
38,3723,"SIMARD, Christian",BEAUPORT,25532,full_name,184
38,3724,"CARR, Gary",HALTON,25485,full_name,181
38,3730,"HARRIS, Dick",CARIBOO--PRINCE GEORGE,1525,surname_constituency,176
38,3731,"BOIVIN, Francoise",GATINEAU,25478,full_name,190
38,3732,"RATANSI, Yasmin",DON VALLEY EAST,25449,full_name,184
38,3733,"GODIN, Yvon",ACADIE--BATHURST,103,full_name,188
38,3736,"SCHEER, Andrew",REGINA--QU'APPELLE,25454,full_name,170
38,3737,"ST-HILAIRE, Caroline",LONGUEUIL,338,full_name,179
38,3739,"ANDERSON, David L.",CYPRESS HILLS--GRASSLANDS,1795,surname_constituency,167
38,3742,"FITZPATRICK, Brian",PRINCE ALBERT,1808,full_name,183
38,3749,"ABBOTT, Jim",KOOTENAY--COLUMBIA,1463,full_name,173
38,3750,"GODBOUT, Marc",OTTAWA--ORLEANS,25503,full_name,190
38,3752,"MENZIES, Ted",MACLEOD,3449,full_name,173
38,3753,"GREWAL, Gurmant",NEWTON--NORTH DELTA,1565,full_name,128
38,3754,"BOURGEOIS, Diane",TERREBONNE--BLAINVILLE,1799,full_name,188
38,3756,"DION, Stephane",SAINT-LAURENT--CARTIERVILLE,460,full_name,183
38,3758,"SIKSAY, Bill",BURNABY--DOUGLAS,1592,full_name,181
38,3759,"WRZESNEWSKYJ, Borys",ETOBICOKE CENTRE,25468,full_name,180
38,3760,"BRISON, Scott",KINGS--HANTS,74,full_name,188
38,3763,"HINTON, Betty",KAMLOOPS--THOMPSON,1810,full_name,166
38,3764,"SZABO, Paul John Mark",MISSISSAUGA SOUTH,799,surname_constituency,187
38,3765,"SAADA, Jacques",BROSSARD--LA PRAIRIE,202,full_name,182
38,3768,"CUZNER, Rodger",CAPE BRETON--CANSO,1804,full_name,182
38,3770,"CASSON, Rick",LETHBRIDGE,1370,full_name,182
38,3773,"NEVILLE, Anita",WINNIPEG SOUTH CENTRE,1821,full_name,173
38,3775,"BEZAN, James",SELKIRK--INTERLAKE,25475,full_name,179
38,3777,"PARRISH, Carolyn",MISSISSAUGA--ERINDALE,784,full_name,12
38,3777.1,"PARRISH, Carolyn",MISSISSAUGA--ERINDALE,784,full_name,97
38,3778,"MARCEAU, Richard",CHARLESBOURG,212,full_name,189
38,3780,"HIEBERT, Russ",SOUTH SURREY--WHITE ROCK--CLOVERDALE,23897,full_name,183
38,3781,"CHATTERS, Dave",WESTLOCK--ST. PAUL,1272,surname_constituency,56
38,3782,"GODFREY, John",DON VALLEY WEST,589,full_name,179
38,3784,"FRULLA, Liza",JEANNE-LE BER,9134,full_name,184
38,3786,"STRONACH, Belinda",NEWMARKET--AURORA,25458,full_name,81
38,3786.1,"STRONACH, Belinda",NEWMARKET--AURORA,25458,full_name,99
38,3789,"TELEGDI, Andrew",KITCHENER--WATERLOO,732,full_name,166
38,3790,"BACHAND, Claude",SAINT-JEAN,449,full_name,188
38,3791,"MENARD, Serge",MARC-AURELE-FORTIN,18766,full_name,187
38,3792,"COTE, Guy",PORTNEUF,25491,full_name,186
38,3795,"TONKS, Alan",YORK SOUTH--WESTON,1837,full_name,188
38,3797,"DRYDEN, Ken",YORK CENTRE,19425,full_name,182
38,3799,"PARADIS, Denis",BROME--MISSISQUOI,198,full_name,179
38,3801,"YELICH, Lynne",BLACKSTRAP,1838,full_name,187
38,3804,"GREWAL, Nina",FLEETWOOD--PORT KELLS,25505,full_name,178
38,3805,"DEMERS, Nicole",LAVAL,25495,full_name,189
38,3807,"LESSARD, Yves",CHAMBLY--BORDUAS,25518,full_name,189
38,3809,"KOMARNICKI, Ed",SOURIS--MOOSE MOUNTAIN,25513,full_name,183
38,3810,"CANNIS, John",SCARBOROUGH CENTRE,949,full_name,169
38,3814,"BELLAVANCE, Andre",RICHMOND--ARTHABASKA,25474,full_name,189
38,3816,"CHAMBERLAIN, Brenda",GUELPH,659,full_name,168
38,3817,"PETTIGREW, Pierre",PAPINEAU,381,full_name,175
38,3819,"MCCALLUM, John",MARKHAM--UNIONVILLE,1817,full_name,183
38,3821,"CHONG, Mike",WELLINGTON--HALTON HILLS,25488,surname_constituency,182
38,3824,"POIRIER-RIVARD, Denise",CHATEAUGUAY--SAINT-CONSTANT,25525,full_name,189
38,3825,"SAVOY, Andy",TOBIQUE--MACTAQUAC,1829,full_name,185
38,3827,"BARNES, Sue",LONDON WEST,768,full_name,176
38,3828,"O'CONNOR, Gordon",CARLETON--LANARK,25523,full_name,188
38,3829,"EMERSON, David",VANCOUVER KINGSWAY,6974,full_name,187
38,3832,"PERRON, Gilles A",RIVIERE-DES-MILLE-ILES,439,full_name,185
38,3836,"LAYTON, Jack",TORONTO--DANFORTH,554,full_name,174
38,3837,"BOULIANNE, Marc",MEGANTIC--L'ERABLE,25482,full_name,190
38,3841,"ALLISON, Dean",NIAGARA WEST--GLANBROOK,25446,full_name,179
38,3842,"BAINS, Navdeep",MISSISSAUGA--BRAMPTON SOUTH,25471,full_name,188
38,3844,"CROWDER, Jean",NANAIMO--COWICHAN,25492,full_name,182
38,3846,"BAGNELL, Larry",YUKON,1796,full_name,188
38,3847,"CLEARY, Bernard",LOUIS-SAINT-LAURENT,15574,full_name,184
38,3849,"BELANGER, Mauril",OTTAWA--VANIER,873,full_name,190
38,3853,"SGRO, Judy",YORK WEST,1787,surname_constituency,183
38,3859,"LEVESQUE, Yvon",NUNAVIK--EEYOU,25519,full_name,187
38,3860,"DAVIES, Libby",VANCOUVER EAST,1598,full_name,185
38,3861,"BRADSHAW, Claudette",MONCTON--RIVERVIEW--DIEPPE,134,full_name,190
38,3862,"THOMPSON, Myron",WILD ROSE,1406,full_name,160
38,3865,"SMITH, David",PONTIAC,20400,full_name,190
38,3870,"KHAN, Wajid",MISSISSAUGA--STREETSVILLE,25512,full_name,181
38,3873,"SMITH, Joy",KILDONAN--ST. PAUL,25533,full_name,174
38,3875,"MILLS, Bob",RED DEER,1391,full_name,186
38,3876,"ANDERS, Rob",CALGARY WEST,1313,full_name,182
38,3877,"KRAMP, Daryl",PRINCE EDWARD--HASTINGS,695,full_name,183
38,3881,"FRY, Hedy",VANCOUVER CENTRE,1589,full_name,161
38,3882,"GAUTHIER, Michel",ROBERVAL,424,full_name,189
38,3883,"OBHRAI, Deepak",CALGARY EAST,1287,full_name,171
38,3885,"CARRIE, Colin",OSHAWA,25486,full_name,185
38,3887,"BENOIT, Leon E.",VEGREVILLE--WAINWRIGHT,1365,surname_constituency,182
38,3888,"DAY, Stockwell",OKANAGAN--COQUIHALLA,1792,full_name,175
38,3897,"CULLEN, Roy",ETOBICOKE NORTH,642,full_name,182
38,3898,"SOLBERG, Monte Kenton",MEDICINE HAT,1384,surname_constituency,184
38,3899,"BERGERON, Stephane",VERCHERES--LES PATRIOTES,496,full_name,174
38,3900,"LUNNEY, James D",NANAIMO--ALBERNI,1814,surname_constituency,180
38,3903,"PICARD, Pauline",DRUMMOND,238,full_name,189
38,3904,"SIMARD, Raymond",SAINT BONIFACE,9136,full_name,186
38,3905,"EASTER, Wayne",MALPEQUE,43,full_name,187
38,3908,"VAN LOAN, Peter",YORK--SIMCOE,25465,full_name,186
38,3910,"TOEWS, Vic",PROVENCHER,1836,full_name,176
38,3918,"MACKLIN, Paul",NORTHUMBERLAND--QUINTE WEST,1815,surname_constituency,187
38,3921,"POILIEVRE, Pierre",NEPEAN--CARLETON,25524,full_name,187
38,3924,"LONGFIELD, Judi",WHITBY--OSHAWA,1078,full_name,177
38,3925,"HANGER, Art",CALGARY NORTHEAST,1289,full_name,173
38,3930,"GALLAWAY, Roger",SARNIA--LAMBTON,936,full_name,157
38,3933,"GALLANT, Cheryl",RENFREW--NIPISSING--PEMBROKE,1809,full_name,178
38,3934,"JULIAN, Peter",BURNABY--NEW WESTMINSTER,16399,full_name,188
38,3935,"BIGRAS, Bernard",ROSEMONT--LA PETITE-PATRIE,427,full_name,188
38,3937,"ASSELIN, Gerard",MANICOUAGAN,218,full_name,171
38,3939,"CODERRE, Denis",BOURASSA,192,full_name,164
38,3942,"CUMMINS, John",DELTA--RICHMOND EAST,1425,full_name,125
38,3943,"WASYLYCIA-LEIS, Judy",WINNIPEG NORTH,1170,full_name,180
38,3945,"DOSANJH, Ujjal",VANCOUVER SOUTH,25499,full_name,180
38,3948,"BROWN, Gord",LEEDS--GRENVILLE,25483,surname_constituency,181
38,3955,"HEARN, Loyola",ST. JOHN'S SOUTH,1790,full_name,173
38,3959,"MARTIN, Keith",ESQUIMALT--JUAN DE FUCA,1441,full_name,188
38,3963,"REDMAN, Karen",KITCHENER CENTRE,724,full_name,190
38,3968,"STINSON, Darrel",NORTH OKANAGAN--SHUSWAP,1500,full_name,68
38,3969,"BRUNELLE, Paule",TROIS-RIVIERES,25484,full_name,190
38,3970,"JOHNSTON, Dale",WETASKIWIN,1399,full_name,175
38,3971,"DOYLE, Norman E",ST. JOHN'S NORTH,20,full_name,183
38,3975,"STOFFER, Peter",SACKVILLE--EASTERN SHORE,88,full_name,175
38,3976,"FOLCO, Raymonde",LAVAL--LES ILES,328,full_name,175
38,3977,"MOORE, James",PORT MOODY--WESTWOOD--PORT COQUITLAM,1819,full_name,173
38,3979,"D'AMOURS, Jean-Claude J.C.",MADAWASKA--RESTIGOUCHE,25494,surname_constituency,188
38,3980,"CADMAN, Chuck",SURREY NORTH,1573,full_name,14
38,3981,"SILVA, Mario",DAVENPORT,25455,full_name,184
38,3983,"MCDONOUGH, Alexa",HALIFAX,66,full_name,176
38,3985,"SCHELLENBERGER, Gary Ralph",PERTH--WELLINGTON,913,surname_constituency,181
38,3987,"ABLONCZY, Diane",CALGARY--NOSE HILL,1295,full_name,177
38,3988,"ADAMS, Peter",PETERBOROUGH,914,full_name,182
38,3990,"DUNCAN, John",VANCOUVER ISLAND NORTH,1604,full_name,179
38,3993,"MALHI, Gurbax S",BRAMALEA--GORE--MALTON,536,surname_constituency,184
38,3997,"VALLEY, Roger",KENORA,25464,full_name,188
38,3998,"KAMP, Randy",DEWDNEY--ALOUETTE,25511,full_name,183
