vote_number,date,subject,bill_number,result,yeas,nays,paired
158,2009-12-10T18:20:00,Eighth Report of the Standing Committee on Fisheries and Oceans,,Agreed To,147,142,2
157,2009-12-10T18:10:00,"3rd reading and adoption of Bill C-291, An Act to amend the Immigration and Refugee Protection Act (coming into force of sections 110, 111 and 171)",C-291,Negatived,142,143,2
156,2009-12-10T18:32:00,"3rd reading and adoption of Bill C-64, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2010",C-64,Agreed To,241,47,2
155,2009-12-10T17:50:00,Opposition Motion (Documents regarding Afghan detainees),,Agreed To,146,143,2
154,2009-12-10T17:40:00,Opposition Motion (Documents regarding Afghan detainees) (amendment),,Agreed To,146,143,2
153,2009-12-09T17:32:56,"3rd reading and adoption of Bill C-62, An Act to amend the Excise Tax Act",C-62,Agreed To,253,37,6
152,2009-12-09T17:30:17,"Concurrence at report stage of Bill C-62, An Act to amend the Excise Tax Act",C-62,Agreed To,253,37,6
151,2009-12-09T17:30:26,"Bill C-62, An Act to amend the Excise Tax Act (report stage amendment)",C-62,Negatived,37,253,6
150,2009-12-09T17:30:06,"Bill C-62, An Act to amend the Excise Tax Act (report stage amendment)",C-62,Negatived,37,253,6
149,2009-12-09T15:55:00,Motion to proceed to Orders of the Day,,Agreed To,205,82,0
148,2009-12-08T17:35:00,"2nd reading of Bill C-62, An Act to amend the Excise Tax Act",C-62,Agreed To,246,36,8
147,2009-12-07T20:30:47,"Government Business No. 8 (Proceedings on Bill C-62, An Act to amend the Excise Tax Act )",,Agreed To,189,58,28
146,2009-12-07T20:30:00,"Government Business No. 8 (Proceedings on Bill C-62, An Act to amend the Excise Tax Act ) (amendment)",,Negatived,35,212,28
145,2009-12-07T12:24:38,Motion for closure,,Agreed To,180,53,0
144,2009-12-03T13:23:29,Ways and Means motion No. 11,,Agreed To,192,32,24
143,2009-12-03T10:34:32,Motion to adjourn the debate,,Negatived,125,133,0
142,2009-12-02T17:55:33,"2nd reading of Bill C-393, An Act to amend the Patent Act (drugs for international humanitarian purposes) and to make a consequential amendment to another Act",C-393,Agreed To,143,127,0
141,2009-12-02T17:50:04,Private Members' Business M-387 (Canadian Northwest Passage),,Agreed To,271,0,0
140,2009-12-02T17:51:57,Private Members' Business M-387 (Canadian Northwest Passage) (amendment),,Agreed To,271,0,0
139,2009-12-01T17:30:17,Opposition Motion (Afghan detainees),,Agreed To,145,129,8
138,2009-11-30T18:30:50,Referral of a question of privilege to committee,,Agreed To,151,136,2
137,2009-11-25T18:53:17,"Private Members' Business M-386 (Instruction to the Standing Committee on Human Resources, Skills and Social Development and the Status of Persons with Disabilities )",,Agreed To,263,0,14
136,2009-11-25T17:55:37,Private Members' Business M-346 (Search and rescue helicopter),,Agreed To,133,131,14
135,2009-11-25T17:50:21,"3rd reading and adoption of Bill C-36, An Act to amend the Criminal Code",C-36,Agreed To,187,69,14
134,2009-11-25T17:45:08,"Bill C-36, An Act to amend the Criminal Code (recommittal to a committee)",C-36,Negatived,70,188,14
133,2009-11-24T15:05:31,Opposition Motion (Climate change),,Agreed To,137,124,12
132,2009-11-23T16:40:49,Motion to adjourn the debate,,Agreed To,113,106,0
131,2009-11-19T11:20:44,Motion to adjourn the debate,,Negatived,115,116,0
