vote_number,date,subject,bill_number,result,yeas,nays,paired
204,2011-03-25T13:45:00,Opposition Motion (Confidence in the government),,Agreed To,156,145,0
203,2011-03-23T16:36:20,Motion to proceed to Orders of the Day,,Negatived,144,150,0
202,2011-03-10T17:45:00,Opposition Motion (Conduct of the government),,Agreed To,145,135,8
201,2011-03-09T18:15:00,"3rd reading and adoption of Bill C-509, An Act to amend the Canada Post Corporation Act (library materials)",C-509,Agreed To,286,0,0
200,2011-03-09T18:10:00,"Concurrence at report stage of Bill C-501, An Act to amend the Bankruptcy and Insolvency Act and other Acts (pension protection)",C-501,Agreed To,164,119,0
199,2011-03-09T18:05:00,"Bill C-393, An Act to amend the Patent Act (drugs for international humanitarian purposes) and to make a consequential amendment to another Act (report stage subamendment)",C-393,Agreed To,172,111,0
198,2011-03-09T18:00:00,"3rd reading and adoption of Bill C-473, An Act to protect insignia of military orders and military decorations and medals that are of cultural significance for future generations",C-473,Agreed To,163,119,0
197,2011-03-08T18:18:00,Opposition Motion (Representation in Parliament),,Negatived,34,257,8
196,2011-03-08T18:10:00,Opposition Motion (Representation in Parliament) (amendment),,Negatived,77,214,8
195,2011-03-08T18:00:03,Opposition Motion (Electoral financing),,Agreed To,152,139,8
194,2011-03-02T18:40:45,Private Members' Business M-575 (National Tree Day),,Agreed To,269,3,10
193,2011-03-02T18:30:55,"2nd reading of Bill C-575, An Act respecting the accountability and enhanced financial transparency of elected officials of First Nations communities",C-575,Agreed To,151,128,10
192,2011-03-02T18:20:03,"2nd reading of Bill C-449, An Act regarding free public transit for seniors",C-449,Negatived,105,175,10
191,2011-03-02T18:10:17,Private Members' Business M-559 (Instruction to the Standing Committee on Finance (charitable donations)),,Agreed To,281,0,10
190,2011-03-02T19:00:00,"3rd reading and adoption of Bill C-42, An Act to amend the Aeronautics Act",C-42,Agreed To,246,34,10
189,2011-03-02T18:00:53,Eighth Report of the Standing Committee on Citizenship and Immigration,,Agreed To,145,136,10
188,2011-03-01T11:00:10,Motion to proceed to Orders of the Day,,Negatived,135,138,0
187,2011-02-28T18:45:20,Opposition Motion (Documents requested by the Standing Committee on Finance),,Agreed To,145,142,0
186,2011-02-16T18:10:00,"Concurrence at report stage of Bill C-343, An Act to amend the Canada Labour Code and the Employment Insurance Act (family leave)",C-343,Agreed To,151,138,0
