vote_number,date,subject,bill_number,result,yeas,nays,paired
928,2024-12-17T15:50:01,Motion to adjourn the House,,Agreed To,177,140,0
927,2024-12-17T11:33:00,Motion to proceed to First Reading of Senate Public Bills,,Agreed To,296,17,0
926,2024-12-17T11:15:09,Motion to proceed to Orders of the Day,,Negatived,144,167,0
925,2024-12-12T15:16:00,Ninth report of the Standing Committee on Veterans,,Agreed To,328,0,0
924,2024-12-12T15:15:00,Ninth report of the Standing Committee on Veterans Affairs (Previous question),,Agreed To,209,119,0
923,2024-12-10T19:10:28,"3rd reading and adoption of Bill C-79, An Act for granting to His Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2025",C-79,Agreed To,209,120,0
922,2024-12-10T19:00:00,"Concurrence at report stage of Bill C-79, An Act for granting to His Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2025",C-79,Agreed To,209,120,0
921,2024-12-10T18:50:26,"2nd reading of Bill C-79, An Act for granting to His Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2025",C-79,Agreed To,209,120,0
920,2024-12-10T18:40:38,Concurrence in estimates,,Agreed To,209,120,0
919,2024-12-10T18:30:59,Concurrence in an opposed item,,Agreed To,176,152,0
918,2024-12-10T18:20:52,Opposition Motion (Repeal of Bill C-5),,Negatived,121,210,0
917,2024-12-10T15:50:40,Eighth report of the Standing Committee on Public Accounts,,Agreed To,334,0,0
916,2024-12-10T15:40:51,Eighth report of the Standing Committee on Public Accounts (previous question),,Agreed To,213,119,0
915,2024-12-10T15:30:10,Opposition Motion (Federal sales tax on new homes),,Negatived,146,186,0
914,2024-12-09T15:16:00,Opposition Motion (Cost of living relief for Canadians),,Negatived,28,303,0
913,2024-12-09T15:15:00,Opposition Motion (Confidence in the Prime Minister and the government),,Negatived,152,180,0
912,2024-12-05T15:16:00,20th report of the Standing Committee on Foreign Affairs and International Development,,Agreed To,208,114,0
911,2024-12-05T15:15:00,20th report of the Standing Committee on Foreign Affairs and International Development (Previous Question),,Agreed To,209,115,0
910,2024-12-05T12:00:01,Motion to proceed to Orders of the Day,,Negatived,146,171,0
909,2024-12-04T15:15:00,"2nd reading of Bill C-380, An Act to amend the Canadian Environmental Protection Act, 1999 (Plastic manufactured items)",C-380,Negatived,118,210,0
908,2024-12-03T15:19:00,10th report of the Standing Committee on Environment and Sustainable Development,,Agreed To,207,117,0
907,2024-12-03T15:18:00,10th report of the Standing Committee on Environment and Sustainable Development (Previous Question),,Agreed To,207,117,0
906,2024-12-03T15:16:00,18th report of the Standing Committee on Indigenous and Northern Affairs,,Agreed To,324,0,0
905,2024-12-03T15:15:00,18th report of the Standing Committee on Indigenous and Northern Affairs (Amendment),,Agreed To,325,0,0
904,2024-11-28T22:45:00,"2nd reading of Bill C-78, An Act respecting temporary cost of living relief (affordability)",C-78,Agreed To,176,151,2
903,2024-11-28T21:00:00,Government Business No. 43 (Proceedings on a bill entitled An Act respecting temporary cost of living relief (affordability)),,Agreed To,174,148,2
902,2024-11-28T20:45:00,Government Business No. 43 (Proceedings on a bill entitled An Act respecting temporary cost of living relief (affordability)) (amendment),,Negatived,153,176,2
901,2024-11-28T12:45:00,Motion for closure,,Agreed To,177,148,2
900,2024-11-28T12:30:00,Motion to adjourn the debate,,Agreed To,179,150,2
899,2024-11-28T11:30:00,Motion to adjourn the debate,,Agreed To,179,150,2
898,2024-11-28T10:30:00,Motion to proceed to orders of the day,,Agreed To,175,145,2
897,2024-11-27T15:20:00,"12th report of the Standing Committee on Human Resources, Skills and Social Development and the Status of Persons with Disabilities (Main motion)",,Agreed To,184,145,2
896,2024-11-27T15:16:00,"12th report of the Standing Committee on Human Resources, Skills and Social Development and the Status of Persons with Disabilities (Amendment as amended)",,Negatived,26,302,2
895,2024-11-27T15:15:00,"12th report of the Standing Committee on Human Resources, Skills and Social Development and the Status of Persons with Disabilities (Subamendment)",,Agreed To,181,149,2
894,2024-11-26T15:20:00,Third report of the Standing Committee on Official Languages (Main motion),,Agreed To,325,0,2
893,2024-11-26T15:17:00,Third report of the Standing Committee on Official Languages (Amendment),,Negatived,143,182,2
892,2024-11-26T15:16:00,Third report of the Standing Committee on Official Languages (Subamendment),,Negatived,27,298,2
891,2024-11-26T15:25:00,37th report of the Standing Committee on Public Accounts,,Agreed To,329,0,2
890,2024-11-21T15:19:00,Third report of the Standing Committee on Public Safety and National Security (Main motion),,Agreed To,210,117,0
889,2024-11-21T15:16:00,Third report of the Standing Committee on Public Safety and National Security (Amendment),,Negatived,149,177,0
888,2024-11-21T15:15:00,Third report of the Standing Committee on Public Safety and National Security (Subamendment),,Negatived,152,176,0
887,2024-11-19T16:15:00,21st report of the Standing Committee on International Trade,,Agreed To,171,145,0
886,2024-11-19T16:00:00,21st report of the Standing Committee on International Trade (previous question),,Agreed To,317,0,0
885,2024-11-19T15:17:00,Second report of the Standing Committee on Indigenous and Northern Affairs (main motion as amended with subamendment),,Agreed To,173,144,0
884,2024-11-19T15:16:00,Second report of the Standing Committee on Indigenous and Northern Affairs (amendment as amended),,Agreed To,174,145,0
883,2024-11-19T15:15:00,Second report of the Standing Committee on Indigenous and Northern Affairs (subamendment),,Agreed To,173,146,0
882,2024-11-18T15:30:09,Referral of a question of privilege to committee (subamendment),,Agreed To,319,0,0
881,2024-11-07T15:16:00,20th report of the Standing Committee on Industry and Technology (main motion as amended),,Agreed To,173,147,4
880,2024-11-07T15:15:00,20th report of the Standing Committee on Industry and Technology (amendment),,Agreed To,174,146,4
879,2024-11-06T15:15:00,"Sixth report of the Standing Committee on Access to Information, Privacy and Ethics",,Agreed To,322,0,4
878,2024-11-05T15:19:00,Referral of a question of privilege to committee (subamendment),,Agreed To,172,150,4
877,2024-11-05T15:17:00,13th report of the Standing Committee on Public Accounts,,Agreed To,322,0,4
876,2024-11-05T15:16:00,13th report of the Standing Committee on Public Accounts (Amendment),,Negatived,118,208,4
875,2024-11-05T15:15:00,Fourth report of the Standing Committee on Environment and Sustainable Development,,Agreed To,324,0,4
874,2024-10-31T15:15:00,Second report of the Special Joint Committee on Medical Assistance in Dying,,Agreed To,209,114,2
873,2024-10-29T15:17:00,Eighth report of the Standing Committee on Canadian Heritage (Main motion as amended),,Agreed To,177,151,0
872,2024-10-29T15:16:00,Eighth report of the Standing Committee on Canadian Heritage (Amendment as amended),,Agreed To,177,151,0
871,2024-10-29T15:15:00,Eighth report of the Standing Committee on Canadian Heritage (subamendment),,Agreed To,178,152,0
870,2024-10-23T15:15:00,16th report of the Standing Committee on Finance,,Agreed To,211,117,0
869,2024-10-09T15:15:00,31st report of the Standing Committee on Public Accounts,,Agreed To,330,0,0
868,2024-10-08T15:15:00,"11th report of the Standing Committee on Transport, Infrastructure and Communities",,Agreed To,325,0,0
867,2024-10-07T15:15:00,"20th report of the Standing Committee on Human Resources, Skills and Social Development and the Status of Persons with Disabilities",,Agreed To,327,0,0
866,2024-10-02T15:15:00,Opposition Motion (Request for a royal recommendation for Bill C-319),,Agreed To,181,143,0
865,2024-10-01T15:15:00,Opposition Motion (Confidence in the government),,Negatived,121,207,0
864,2024-09-25T16:15:00,"3rd reading and adoption of Bill S-205, An Act to amend the Criminal Code and to make consequential amendments to another Act (interim release and domestic violence recognizance orders)",S-205,Agreed To,321,0,0
863,2024-09-25T16:05:00,"Concurrence at report stage of Bill S-205, An Act to amend the Criminal Code and to make consequential amendments to another Act (interim release and domestic violence recognizance orders)",S-205,Agreed To,324,0,0
862,2024-09-25T15:55:00,"Bill S-205, An Act to amend the Criminal Code and to make consequential amendments to another Act (interim release and domestic violence recognizance orders) (report stage amendment)",S-205,Negatived,123,202,0
861,2024-09-25T15:45:00,"2nd reading of Bill C-378, An Act amending the Canada Labour Code (complaints by former employees)",C-378,Agreed To,326,0,0
860,2024-09-25T15:35:00,Private Members' Business M-110 (National strategy to reduce food waste and combat food insecurity),,Agreed To,177,150,0
859,2024-09-25T15:25:00,"2nd reading of Bill C-223, An Act to develop a national framework for a guaranteed livable basic income",C-223,Negatived,54,273,0
858,2024-09-25T15:15:00,Opposition Motion (Confidence in the Prime Minister and the government),,Negatived,120,211,0
857,2024-09-24T15:15:00,18th report of the Standing Committee on Agriculture and Agri-Food,,Agreed To,327,0,0
856,2024-09-19T15:15:00,"13th report of the Standing Committee on Human Resources, Skills and Social Development and the Status of Persons with Disabilities",,Agreed To,322,0,2
855,2024-09-18T15:15:00,"2nd reading of Bill C-379, An Act to amend the Criminal Code (motor vehicle theft)",C-379,Negatived,149,170,2
854,2024-09-17T15:15:00,13th report of the Standing Committee on Government Operations and Estimates,,Agreed To,325,0,0
853,2024-06-19T16:30:00,"Bill S-224, An Act to amend the Criminal Code (trafficking in persons) (report stage amendment)",S-224,Negatived,118,207,2
852,2024-06-19T16:20:00,"3rd reading and adoption of Bill C-323, An Act to amend the Excise Tax Act (mental health services)",C-323,Agreed To,174,149,2
851,2024-06-19T16:10:00,"Bill C-323, An Act to amend the Excise Tax Act (mental health services) (recommittal to a committee)",C-323,Agreed To,174,151,2
850,2024-06-19T16:00:00,Private Members' Business M-109 (Instruction to the Standing Committee on Procedure and House Affairs (amendments to the Standing Orders)),,Agreed To,325,0,2
849,2024-06-19T15:50:00,"2nd reading of Bill C-65, An Act to amend the Canada Elections Act",C-65,Agreed To,170,148,2
848,2024-06-19T15:40:00,"2nd reading of Bill C-65, An Act to amend the Canada Elections Act (reasoned amendment)",C-65,Negatived,119,204,2
847,2024-06-19T15:30:00,"3rd reading and adoption of Bill C-69, An Act to implement certain provisions of the budget tabled in Parliament on April 16, 2024",C-69,Agreed To,173,150,2
846,2024-06-18T17:45:00,"Concurrence at report stage of Bill C-69, An Act to implement certain provisions of the budget tabled in Parliament on April 16, 2024",C-69,Agreed To,174,148,2
845,2024-06-18T17:35:00,"Bill C-69, An Act to implement certain provisions of the budget tabled in Parliament on April 16, 2024 (report stage amendment) (Motion No. 154)",C-69,Negatived,116,206,2
844,2024-06-18T17:25:00,"Bill C-69, An Act to implement certain provisions of the budget tabled in Parliament on April 16, 2024 (report stage amendment) (Motion No. 148)",C-69,Negatived,148,174,2
843,2024-06-18T17:15:00,"Bill C-69, An Act to implement certain provisions of the budget tabled in Parliament on April 16, 2024 (report stage amendment) (Motion No. 146)",C-69,Negatived,116,206,2
842,2024-06-18T17:05:00,"Bill C-69, An Act to implement certain provisions of the budget tabled in Parliament on April 16, 2024 (report stage amendment) (Motion No. 142)",C-69,Negatived,116,206,2
841,2024-06-18T16:55:00,"Bill C-69, An Act to implement certain provisions of the budget tabled in Parliament on April 16, 2024 (report stage amendment) (Motion No. 130)",C-69,Negatived,116,206,2
840,2024-06-18T16:45:00,"Bill C-69, An Act to implement certain provisions of the budget tabled in Parliament on April 16, 2024 (report stage amendment) (Motion No. 79)",C-69,Negatived,116,206,2
839,2024-06-18T16:35:00,"Bill C-69, An Act to implement certain provisions of the budget tabled in Parliament on April 16, 2024 (report stage amendment) (Motion No. 49)",C-69,Negatived,148,174,2
838,2024-06-18T16:25:00,"Bill C-69, An Act to implement certain provisions of the budget tabled in Parliament on April 16, 2024 (report stage amendment) (Motion No. 46)",C-69,Negatived,116,206,2
837,2024-06-18T16:15:00,"Bill C-69, An Act to implement certain provisions of the budget tabled in Parliament on April 16, 2024 (report stage amendment) (Motion No. 44)",C-69,Negatived,116,206,2
