vote_number,date,subject,bill_number,result,yeas,nays,paired
161,2008-06-19T11:05:07,Motion to proceed to Orders of the Day,,Agreed To,95,75,10
160,2008-06-18T17:55:55,Third Report of the Standing Committee on Public Safety and National Security,,Agreed To,241,0,8
159,2008-06-18T17:50:45,"2nd reading of Bill C-505, An Act to amend the Canadian Multiculturalism Act (non-application in Quebec)",C-505,Negatived,45,196,8
158,2008-06-18T17:45:41,"2nd reading of Bill C-513, An Act to amend the National Defence Act (foreign military mission)",C-513,Negatived,65,174,8
157,2008-06-17T17:45:01,"3rd reading and adoption of Bill C-29, An Act to amend the Canada Elections Act (accountability with respect to loans)",C-29,Agreed To,185,64,0
156,2008-06-12T12:28:06,Motion to adjourn the debate,,Negatived,108,121,10
155,2008-06-12T10:30:57,Eight Report of the Standing Committee on Environment and Sustainable Development,,Agreed To,240,0,0
154,2008-06-12T10:25:59,"3rd reading and adoption of Bill C-207, An Act to amend the Income Tax Act (tax credit for new graduates working in designated regions)",C-207,Agreed To,135,108,0
153,2008-06-12T10:20:46,"Concurrence at report stage of Bill C-207, An Act to amend the Income Tax Act (tax credit for new graduates working in designated regions)",C-207,Agreed To,135,107,0
152,2008-06-12T10:15:41,"Bill C-207, An Act to amend the Income Tax Act (tax credit for new graduates working in designated regions) (report stage amendment)",C-207,Agreed To,136,107,0
151,2008-06-12T10:10:02,"Bill C-207, An Act to amend the Income Tax Act (tax credit for new graduates working in designated regions) (report stage subamendment)",C-207,Agreed To,136,110,0
150,2008-06-12T10:05:44,"Bill C-207, An Act to amend the Income Tax Act (tax credit for new graduates working in designated regions) (report stage amendment)",C-207,Agreed To,137,111,0
149,2008-06-12T10:00:22,Private Members' Business M-465 (Airline passenger bill of rights),,Agreed To,249,0,0
148,2008-06-10T15:08:01,Sixth Report of the Standing Committee on Agriculture and Agri-Food,,Agreed To,150,114,8
147,2008-06-10T15:15:40,"Concurrence at report stage of Bill C-29, An Act to amend the Canada Elections Act (accountability with respect to loans)",C-29,Agreed To,189,79,8
146,2008-06-10T15:10:14,"Bill C-29, An Act to amend the Canada Elections Act (accountability with respect to loans) (report stage amendment)",C-29,Agreed To,144,124,8
145,2008-06-10T15:05:07,"Bill C-29, An Act to amend the Canada Elections Act (accountability with respect to loans) (report stage amendment)",C-29,Agreed To,190,79,8
144,2008-06-10T15:00:42,"Bill C-29, An Act to amend the Canada Elections Act (accountability with respect to loans) (report stage amendment)",C-29,Agreed To,145,124,8
143,2008-06-10T11:15:49,Motion to adjourn the debate,,Negatived,102,146,8
142,2008-06-09T18:55:04,"3rd reading and adoption of Bill C-50, An Act to implement certain provisions of the budget tabled in Parliament on February 26, 2008 and to enact provisions to preserve the fiscal plan set out in that budget",C-50,Agreed To,120,90,12
141,2008-06-09T17:45:30,Government Business No. 8 (Extension of sitting hours in June),,Negatived,114,139,10
