vote_number,date,subject,bill_number,result,yeas,nays,paired
190,2005-11-28T17:45:24,Opposition Motion (Confidence in the Government),,Agreed To,171,133,0
189,2005-11-23T18:15:23,"2nd reading of Bill C-380, An Act to amend the Canada Labour Code (pregnant or nursing employees)",C-380,Agreed To,155,92,0
188,2005-11-23T18:05:54,"2nd reading of Bill C-251, An Act to amend the Parliament of Canada Act (members who cross the floor)",C-251,Negatived,60,189,2
187,2005-11-23T17:55:22,"2nd reading of Bill C-301, An Act to amend the Old Age Security Act (monthly guaranteed income supplement)",C-301,Agreed To,252,0,2
186,2005-11-23T17:45:35,"2nd reading of Bill C-248, An Act to amend the Controlled Drugs and Substances Act (trafficking in a controlled drug or substance within five hundred metres of an elementary school or a high school)",C-248,Agreed To,218,31,2
185,2005-11-23T16:08:31,Ways and Means motion No. 10,,Agreed To,201,92,2
184,2005-11-23T15:22:14,Appointment of an officer of Parliament,,Agreed To,201,89,2
183,2005-11-22T17:30:08,Opposition Motion (World Trade Organization negotiations),,Agreed To,288,0,0
182,2005-11-21T18:45:46,Opposition Motion (39th general election),,Agreed To,167,129,0
181,2005-11-15T17:55:45,Referral of a question of privilege to committee,,Negatived,134,163,0
180,2005-11-15T17:45:33,Opposition Motion (Access to Information Act),,Agreed To,169,130,0
179,2005-11-02T18:45:57,Private Members' Business M-253 (Strychnine solution),,Negatived,80,157,0
178,2005-10-26T18:20:34,Private Members' Business M-135 (Queensway-Carleton Hospital),,Negatived,110,165,0
177,2005-10-26T18:10:29,Private Members' Business M-135 (Queensway-Carleton Hospital) (amendment),,Negatived,111,167,0
176,2005-10-26T18:00:54,Private Members' Business M-153 (Firefighters),,Agreed To,161,112,0
175,2005-10-26T17:50:39,Private Members' Business M-153 (Firefighters) (amendment),,Agreed To,146,129,0
174,2005-10-25T17:55:31,"2nd reading of Bill C-64, An Act to amend the Criminal Code (vehicle identification number)",C-64,Agreed To,198,87,2
173,2005-10-25T17:45:31,"2nd reading of Bill C-65, An Act to amend the Criminal Code (street racing) and to make a consequential amendment to another Act",C-65,Agreed To,198,86,2
172,2005-10-18T17:55:40,"2nd reading of Bill C-63, An Act to amend An Act to amend the Canada Elections Act and the Income Tax Act",C-63,Agreed To,189,89,10
171,2005-10-18T17:45:54,"3rd reading and adoption of Bill C-28, An Act to amend the Food and Drugs Act",C-28,Agreed To,211,67,10
170,2005-10-05T19:15:27,Private Members' Business M-227 (Personal or private property),,Negatived,87,178,4
169,2005-10-05T19:05:36,"2nd reading of Bill C-363, An Act to amend the Canada Mortgage and Housing Corporation Act (profits distributed to provinces)",C-363,Negatived,71,202,4
168,2005-10-05T18:55:32,"2nd reading of Bill C-360, An Act to prevent psychological harassment in the workplace and to amend the Canada Labour Code",C-360,Negatived,72,199,4
167,2005-10-05T18:45:11,Private Members' Business M-164 (Textile and clothing industries),,Agreed To,189,88,4
166,2005-10-05T18:35:22,Private Members' Business M-164 (Textile and clothing industries) (amendment),,Agreed To,190,89,4
165,2005-10-05T18:25:50,"Sixth Report of the Standing Committee on Justice, Human Rights, Public Safety and Emergency Preparedness",,Agreed To,162,118,4
164,2005-10-05T18:15:20,"Fourth Report of the Standing Committee on Access to Information, Privacy and Ethics",,Agreed To,280,0,4
163,2005-10-05T18:05:44,Second Report of the Standing Committee on Fisheries and Oceans,,Agreed To,280,0,4
162,2005-10-05T17:55:48,14th Report of the Standing Committee on Health,,Agreed To,280,0,4
161,2005-10-05T17:45:11,"3rd reading and adoption of Bill C-25, An Act governing the operation of remote sensing space systems",C-25,Agreed To,213,69,4
160,2005-09-28T18:15:00,"2nd reading of Bill C-313, An Act to amend the Criminal Code (prohibited sexual acts)",C-313,Negatived,99,167,4
159,2005-09-28T18:05:19,Private Members' Business M-221 (Age of consent),,Negatived,100,169,4
