Person ID,Member of Parliament,Political Affiliation,Member Voted,Paired
1463,Jim Abbott (Kootenay—Columbia),Conservative,Nay,
1295,Diane Ablonczy (Calgary—Nose Hill),Conservative,Nay,
914,Peter Adams (Peterborough),Liberal,Yea,
1180,Reg Alcock (Winnipeg South),Liberal,Yea,
25446,Dean Allison (Niagara West—Glanbrook),Conservative,Nay,
25447,Rona Ambrose (Edmonton—Spruce Grove),Conservative,Nay,
1313,Rob Anders (Calgary West),Conservative,Nay,
1795,David Anderson (Cypress Hills—Grasslands),Conservative,Nay,
1635,David Anderson (Victoria),Liberal,Yea,
25469,Guy André (Berthier—Maskinongé),Bloc Québécois,Nay,
25470,Charlie Angus (Timmins—James Bay),NDP,Nay,
218,Gérard Asselin (Manicouagan),Bloc Québécois,Nay,
632,Jean Augustine (Etobicoke—Lakeshore),Liberal,Yea,
449,Claude Bachand (Saint-Jean),Bloc Québécois,Nay,
1796,Larry Bagnell (Yukon),Liberal,Yea,
25471,Navdeep Bains (Mississauga—Brampton South),Liberal,Yea,
151,Eleni Bakopanos (Ahuntsic),Liberal,Yea,
768,Sue Barnes (London West),Liberal,Yea,
25472,Dave Batters (Palliser),Conservative,Nay,
542,Colleen Beaumier (Brampton West),Liberal,Yea,
873,Mauril Bélanger (Ottawa—Vanier),Liberal,Yea,
25473,Don Bell (North Vancouver),Liberal,Yea,
25474,André Bellavance (Richmond—Arthabaska),Bloc Québécois,Nay,
992,Carolyn Bennett (St. Paul's),Liberal,Yea,
1365,Leon Benoit (Vegreville—Wainwright),Conservative,Nay,
1059,Maurizio Bevilacqua (Vaughan),Liberal,Yea,
25475,James Bezan (Selkirk—Interlake),Conservative,Nay,
427,Bernard Bigras (Rosemont—La Petite-Patrie),Bloc Québécois,Nay,
25476,Raynald Blais (Gaspésie—Îles-de-la-Madeleine),Bloc Québécois,Nay,
1667,Ethel Blondin-Andrew (Western Arctic),Liberal,Yea,
25477,Alain Boire (Beauharnois—Salaberry),Bloc Québécois,Nay,
25478,Françoise Boivin (Gatineau),Liberal,Yea,
823,Raymond Bonin (Nickel Belt),Liberal,Yea,
25479,France Bonsant (Compton—Stanstead),Bloc Québécois,Nay,
25480,Ken Boshcoff (Thunder Bay—Rainy River),Liberal,Yea,
25481,Robert Bouchard (Chicoutimi—Le Fjord),Bloc Québécois,Nay,
647,Don Boudria (Glengarry—Prescott—Russell),Liberal,Yea,
25482,Marc Boulianne (Mégantic—L'Érable),Bloc Québécois,Nay,
