Member of Parliament,Political Affiliation,Member Voted,Paired
Ms. Patricia Lattanzio (Saint-Léonard—Saint-Michel),Liberal,Nay,
Mr. Philip Lawrence (Northumberland—Peterborough South),Conservative,Yea,
Mr. Richard Lehoux (Beauce),Conservative,Yea,
Mr. Sébastien Lemire (Abitibi—Témiscamingue),Bloc Québécois,Nay,
Ms. Leslyn Lewis (Haldimand—Norfolk),Conservative,Yea,
Mr. Chris Lewis (Essex),Conservative,Nay,
Mr. Ron Liepert (Calgary Signal Hill),Conservative,Yea,
Mr. Dane Lloyd (Sturgeon River—Parkland),Conservative,Yea,
Mr. Ben Lobb (Huron—Bruce),Conservative,Yea,
Mr. Alistair MacGregor (Cowichan—Malahat—Langford),NDP,Nay,
Mr. Dave MacKenzie (Oxford),Conservative,Yea,
Mr. Larry Maguire (Brandon—Souris),Conservative,Yea,
Ms. Lindsay Mathyssen (London—Fanshawe),NDP,Nay,
Ms. Elizabeth May (Saanich—Gulf Islands),Green Party,Nay,
Mr. Dan Mazier (Dauphin—Swan River—Neepawa),Conservative,Yea,
Mr. Kelly McCauley (Edmonton West),Conservative,Yea,
Mr. Greg McLean (Calgary Centre),Conservative,Yea,
Ms. Heather McPherson (Edmonton Strathcona),NDP,Nay,
Mr. Eric Melillo (Kenora),Conservative,Nay,
Ms. Kristina Michaud (Avignon—La Mitis—Matane—Matapédia),Bloc Québécois,Nay,
Mr. Rob Moore (Fundy Royal),Conservative,Yea,
Mr. Mike Morrice (Kitchener Centre),Green Party,Nay,
Mr. Rob Morrison (Kootenay—Columbia),Conservative,Yea,
Mr. Glen Motz (Medicine Hat—Cardston—Warner),Conservative,Yea,
Mr. Dan Muys (Flamborough—Glanbrook),Conservative,Yea,
Mr. John Nater (Perth—Wellington),Conservative,Nay,
Ms. Christine Normandin (Saint-Jean),Bloc Québécois,Nay,
Mr. Erin O'Toole (Durham),Conservative,Yea,
Mr. Jeremy Patzer (Cypress Hills—Grasslands),Conservative,Yea,
Mr. Pierre Paul-Hus (Charlesbourg—Haute-Saint-Charles),Conservative,Yea,
Ms. Monique Pauzé (Repentigny),Bloc Québécois,Nay,
Mr. Rick Perkins (South Shore—St. Margarets),Conservative,Yea,
Mr. Yves Perron (Berthier—Maskinongé),Bloc Québécois,Nay,
Mr. Louis Plamondon (Bécancour—Nicolet—Saurel),Bloc Québécois,Nay,
Mr. Pierre Poilievre (Carleton),Conservative,Yea,
Mr. Alain Rayes (Richmond—Arthabaska),Conservative,Nay,
Mr. Brad Redekopp (Saskatoon West),Conservative,Yea,
Mr. Scott Reid (Lanark—Frontenac—Kingston),Conservative,Nay,
Mr. Blake Richards (Banff—Airdrie),Conservative,Yea,
Mrs. Anna Roberts (King—Vaughan),Conservative,Nay,
Mr. Yves Robillard (Marc-Aurèle-Fortin),Liberal,Nay,
Ms. Lianne Rood (Lambton—Kent—Middlesex),Conservative,Nay,
Mr. Alex Ruff (Bruce—Grey—Owen Sound),Conservative,Nay,
Mr. Andrew Scheer (Regina—Qu'Appelle),Conservative,Yea,
Mr. Jamie Schmale (Haliburton—Kawartha Lakes—Brock),Conservative,Nay,
Mr. Kyle Seeback (Dufferin—Caledon),Conservative,Yea,
Mr. Doug Shipley (Barrie—Springwater—Oro-Medonte),Conservative,Yea,
Mr. Mario Simard (Jonquière),Bloc Québécois,Nay,
Mr. Jagmeet Singh (Burnaby South),NDP,Nay,
Mr. Clifford Small (Coast of Bays—Central—Notre Dame),Conservative,Yea,
Mr. Francesco Sorbara (Vaughan—Woodbridge),Liberal,Nay,
Mr. Gerald Soroka (Yellowhead),Conservative,Yea,
Mr. Warren Steinley (Regina—Lewvan),Conservative,Yea,
Mr. Gabriel Ste-Marie (Joliette),Bloc Québécois,Nay,
Mr. Jake Stewart (Miramichi—Grand Lake),Conservative,Nay,
Mr. Mark Strahl (Chilliwack—Hope),Conservative,Nay,
Mrs. Shannon Stubbs (Lakeland),Conservative,Yea,
Mr. Luc Thériault (Montcalm),Bloc Québécois,Nay,
Mr. Alain Therrien (La Prairie),Bloc Québécois,Yea,
Mrs. Rachael Thomas (Lethbridge),Conservative,Yea,
Mr. Corey Tochor (Saskatoon—University),Conservative,Yea,
Mr. Fraser Tolmie (Moose Jaw—Lake Centre—Lanigan),Conservative,Yea,
Mr. Justin Trudeau (Papineau),Liberal,Nay,
Mr. Tim Uppal (Edmonton Mill Woods),Conservative,Yea,
Mrs. Rechie Valdez (Mississauga—Streetsville),Liberal,Nay,
Mr. Tako Van Popta (Langley—Aldergrove),Conservative,Yea,
Mrs. Karen Vecchio (Elgin—Middlesex—London),Conservative,Yea,
Mr. Gary Vidal (Desnethé—Missinippi—Churchill River),Conservative,Yea,
Mrs. Dominique Vien (Bellechasse—Les Etchemins—Lévis),Conservative,Yea,
Mr. Arnold Viersen (Peace River—Westlock),Conservative,Nay,
Mrs. Julie Vignola (Beauport—Limoilou),Bloc Québécois,Nay,
Mr. René Villemure (Trois-Rivières),Bloc Québécois,Yea,
Mr. Brad Vis (Mission—Matsqui—Fraser Canyon),Conservative,Yea,
Mr. Kevin Vuong (Spadina—Fort York),Independent,Nay,
Mrs. Cathay Wagantall (Yorkton—Melville),Conservative,Yea,
Mr. Chris Warkentin (Grande Prairie—Mackenzie),Conservative,Yea,
Mr. Kevin Waugh (Saskatoon—Grasswood),Conservative,Nay,
Mr. Len Webber (Calgary Confederation),Conservative,Yea,
Mr. Ryan Williams (Bay of Quinte),Conservative,Nay,
Mr. John Williamson (New Brunswick Southwest),Conservative,Yea,
Ms. Bonita Zarrillo (Port Moody—Coquitlam),NDP,Nay,
Mr. Bob Zimmer (Prince George—Peace River—Northern Rockies),Conservative,Yea,
