Person ID,Member of Parliament,Political Affiliation,Member Voted,Paired
84665,Chrystia Freeland (Toronto Centre),Liberal,Yea,
35668,Royal Galipeau (Ottawa—Orléans),Conservative,Yea,
1809,Cheryl Gallant (Renfrew—Nipissing—Pembroke),Conservative,Yea,
10524,Marc Garneau (Westmount—Ville-Marie),Liberal,Yea,
71995,Randall Garrison (Esquimalt—Juan de Fuca),NDP,Yea,
71549,Réjean Genest (Shefford),NDP,Yea,
71458,Jonathan Genest-Jourdain (Manicouagan),NDP,Yea,
425,Alain Giguère (Marc-Aurèle-Fortin),NDP,Yea,
59115,Shelly Glover (Saint Boniface),Conservative,Yea,
103,Yvon Godin (Acadie—Bathurst),NDP,Yea,
71319,Robert Goguen (Moncton—Riverview—Dieppe),Conservative,Yea,
1325,Peter Goldring (Edmonton East),Conservative,Yea,
1265,Ralph Goodale (Wascana),Liberal,Yea,
25504,Gary Goodyear (Cambridge),Conservative,Yea,
35535,Bal Gosal (Bramalea—Gore—Malton),Conservative,Yea,
35397,Jacques Gourde (Lotbinière—Chutes-de-la-Chaudière),Conservative,Yea,
31234,Claude Gravelle (Nickel Belt),NDP,Yea,
25505,Nina Grewal (Fleetwood—Port Kells),Conservative,Yea,
71538,Sadia Groguhé (Saint-Lambert),NDP,Yea,
1733,Stephen Harper (Calgary Southwest),Conservative,Yea,
1525,Richard Harris (Cariboo—Prince George),Conservative,Yea,
3633,Jack Harris (St. John's East),NDP,Yea,
30428,Dan Harris (Scarborough Southwest),NDP,Yea,
31267,Laurie Hawn (Edmonton Centre),Conservative,Yea,
71772,Bryan Hayes (Sault Ste. Marie),Conservative,Yea,
23897,Russ Hiebert (South Surrey—White Rock—Cloverdale),Conservative,Yea,
59148,Randy Hoback (Prince Albert),Conservative,Yea,
58939,Ed Holder (London West),Conservative,Yea,
71660,Ted Hsu (Kingston and the Islands),Liberal,Yea,
35707,Roxanne James (Scarborough Centre),Conservative,Yea,
13218,Yvonne Jones (Labrador),Liberal,Yea,
25511,Randy Kamp (Pitt Meadows—Maple Ridge—Mission),Conservative,Yea,
91,Gerald Keddy (South Shore—St. Margaret's),Conservative,Yea,
1302,Jason Kenney (Calgary Southeast),Conservative,Yea,
35699,Peter Kent (Thornhill),Conservative,Yea,
35274,Greg Kerr (West Nova),Conservative,Yea,
25513,Ed Komarnicki (Souris—Moose Mountain),Conservative,Yea,
695,Daryl Kramp (Prince Edward—Hastings),Conservative,Yea,
35857,Mike Lake (Edmonton—Mill Woods—Beaumont),Conservative,Yea,
30552,Kevin Lamoureux (Winnipeg North),Liberal,Yea,
63589,François Lapointe (Montmagny—L'Islet—Kamouraska—Rivière-du-Loup),NDP,Yea,
58705,Alexandrine Latendresse (Louis-Saint-Laurent),NDP,Yea,
25516,Guy Lauzon (Stormont—Dundas—South Glengarry),Conservative,Yea,
38633,Denis Lebel (Roberval—Lac-Saint-Jean),Conservative,Yea,
1813,Dominic LeBlanc (Beauséjour),Liberal,Yea,
71424,Hélène LeBlanc (LaSalle—Émard),NDP,Yea,
35580,Pierre Lemieux (Glengarry—Prescott—Russell),Conservative,Yea,
58550,Megan Leslie (Halifax),NDP,Yea,
30503,Chungsen Leung (Willowdale),Conservative,Yea,
71517,Laurin Liu (Rivière-des-Mille-Îles),NDP,Yea,
71693,Wladyslaw Lizon (Mississauga East—Cooksville),Conservative,Yea,
35600,Ben Lobb (Huron—Bruce),Conservative,Yea,
25520,Tom Lukiwski (Regina—Lumsden—Lake Centre),Conservative,Yea,
1814,James Lunney (Nanaimo—Alberni),Conservative,Yea,
33,Lawrence MacAulay (Cardigan),Liberal,Yea,
82,Peter MacKay (Central Nova),Conservative,Yea,
891,Dave MacKenzie (Oxford),Conservative,Yea,
7251,Larry Maguire (Brandon—Souris),Conservative,Yea,
58620,Hoang Mai (Brossard—La Prairie),NDP,Yea,
681,Wayne Marston (Hamilton East—Stoney Creek),NDP,Yea,
1174,Pat Martin (Winnipeg Centre),NDP,Yea,
9137,Brian Masse (Windsor West),NDP,Yea,
764,Irene Mathyssen (London—Fanshawe),NDP,Yea,
2897,Elizabeth May (Saanich—Gulf Islands),Green Party,Yea,
35952,Colin Mayes (Okanagan—Shuswap),Conservative,Yea,
1817,John McCallum (Markham—Unionville),Liberal,Yea,
35539,Phil McColeman (Brant),Conservative,Yea,
9486,David McGuinty (Ottawa South),Liberal,Yea,
957,John McKay (Scarborough—Guildwood),Liberal,Yea,
59265,Cathy McLeod (Kamloops—Thompson—Cariboo),Conservative,Yea,
71762,Costas Menegakis (Richmond Hill),Conservative,Yea,
71496,Élaine Michaud (Portneuf—Jacques-Cartier),NDP,Yea,
25522,Larry Miller (Bruce—Grey—Owen Sound),Conservative,Yea,
1819,James Moore (Port Moody—Westwood—Port Coquitlam),Conservative,Yea,
17210,Rob Moore (Fundy Royal),Conservative,Yea,
