vote_number,date,subject,bill_number,result,yeas,nays,paired
427,2015-06-08T22:32:30,"3rd reading and adoption of Bill C-66, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2016",C-66,Agreed To,149,124,0
426,2015-06-08T22:31:30,"Concurrence at report stage of Bill C-66, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2016",C-66,Agreed To,149,124,0
425,2015-06-08T22:30:30,"2nd reading of Bill C-66, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2016",C-66,Agreed To,149,124,0
424,2015-06-08T22:21:20,Concurrence in estimates,,Agreed To,149,124,0
423,2015-06-08T22:10:13,Concurrence in an opposed item,,Agreed To,178,95,0
422,2015-06-08T22:05:45,Opposition Motion (Employment Insurance Premiums),,Negatived,124,149,0
421,2015-06-08T22:00:39,Opposition Motion (Nutrition North Canada),,Negatived,125,148,0
420,2015-06-03T18:35:40,"3rd reading and adoption of Bill C-643, An Act to establish National Spinal Cord Injury Awareness Day",C-643,Agreed To,265,0,0
419,2015-06-03T18:25:14,"Concurrence at report stage of Bill S-6, An Act to amend the Yukon Environmental and Socio-economic Assessment Act and the Nunavut Waters and Nunavut Surface Rights Tribunal Act",S-6,Agreed To,148,119,0
418,2015-06-03T18:15:50,"Bill S-6, An Act to amend the Yukon Environmental and Socio-economic Assessment Act and the Nunavut Waters and Nunavut Surface Rights Tribunal Act (report stage amendment)",S-6,Negatived,118,147,0
417,2015-06-03T17:00:46,"Time allocation for Bill S-6, An Act to amend the Yukon Environmental and Socio-economic Assessment Act and the Nunavut Waters and Nunavut Surface Rights Tribunal Act",S-6,Agreed To,146,113,0
416,2015-06-03T15:40:40,Motion to proceed to Orders of the Day,,Agreed To,149,106,0
415,2015-06-02T18:25:41,Sixth Report of the Standing Committee on Health,,Agreed To,152,122,0
414,2015-06-02T18:15:30,Opposition Motion (Financial code of conduct),,Agreed To,274,1,0
413,2015-06-02T18:17:55,"Concurrence at report stage and second reading of Bill S-4, An Act to amend the Personal Information Protection and Electronic Documents Act and to make a consequential amendment to another Act",S-4,Agreed To,150,126,0
412,2015-06-02T17:55:52,"Bill S-4, An Act to amend the Personal Information Protection and Electronic Documents Act and to make a consequential amendment to another Act (report stage amendment)",S-4,Negatived,38,237,0
411,2015-06-02T17:45:55,"Bill S-4, An Act to amend the Personal Information Protection and Electronic Documents Act and to make a consequential amendment to another Act (report stage amendment)",S-4,Negatived,124,150,0
410,2015-06-01T18:40:09,Ways and Means motion No. 23,,Agreed To,256,0,0
409,2015-05-28T11:49:10,"Time allocation for Bill S-4, An Act to amend the Personal Information Protection and Electronic Documents Act and to make a consequential amendment to another Act",S-4,Agreed To,137,98,0
408,2015-05-27T14:24:24,Private Members' Business M-444 (National Action Plan to Address Violence Against Women),,Negatived,120,146,0
407,2015-05-26T12:49:45,Opposition Motion (Federal science research),,Negatived,119,145,0
