Person ID,Member of Parliament,Political Affiliation,Member Voted,Paired
88671,Leona Alleslev (Aurora—Oak Ridges—Richmond Hill),Conservative,Nay,
30330,Tony Baldinelli (Niagara Falls),Conservative,Nay,
88449,Marie-Claude Bibeau (Compton—Stanstead),Liberal,Yea,
104669,Yves-François Blanchet (Beloeil—Chambly),Bloc Québécois,Yea,
58775,Alexandre Boulerice (Rosemont—La Petite-Patrie),NDP,Yea,
88674,John Brassard (Barrie—Innisfil),Conservative,Nay,
89219,Michael Cooper (St. Albert—Edmonton),Conservative,Nay,
89408,Jean-Yves Duclos (Québec),Liberal,Yea,
96356,Mona Fortier (Ottawa—Vanier),Liberal,Yea,
84665,Chrystia Freeland (University—Rosedale),Liberal,Yea,
89407,Joël Godin (Portneuf—Jacques-Cartier),Conservative,Nay,
14171,Steven Guilbeault (Laurier—Sainte-Marie),Liberal,Yea,
88984,Patty Hajdu (Thunder Bay—Superior North),Liberal,Yea,
25508,Mark Holland (Ajax),Liberal,Yea,
89020,Ahmed Hussen (York South—Weston),Liberal,Yea,
89136,Tom Kmiec (Calgary Shepard),Conservative,Nay,
92209,Marie-France Lalonde (Orléans),Liberal,Yea,
104973,Andréanne Larouche (Shefford),Bloc Québécois,Yea,
105120,Chris Lewis (Essex),Conservative,Nay,
88468,Steven MacKinnon (Gatineau),Liberal,Yea,
89485,Paul Manly (Nanaimo—Ladysmith),Green Party,Yea,
105221,Lindsay Mathyssen (London—Fanshawe),NDP,Yea,
88892,Catherine McKenna (Ottawa Centre),Liberal,Yea,
88660,Marc Miller (Ville-Marie—Le Sud-Ouest—Île-des-Soeurs),Liberal,Yea,
94305,Glen Motz (Medicine Hat—Cardston—Warner),Conservative,Nay,
96352,Mary Ng (Markham—Thornhill),Liberal,Yea,
105559,Jeremy Patzer (Cypress Hills—Grasslands),Conservative,Nay,
1827,Scott Reid (Lanark—Frontenac—Kingston),Conservative,Nay,
25451,Pablo Rodriguez (Honoré-Mercier),Liberal,Yea,
25454,Andrew Scheer (Regina—Qu'Appelle),Conservative,Nay,
88770,Jamie Schmale (Haliburton—Kawartha Lakes—Brock),Conservative,Nay,
105031,Doug Shipley (Barrie—Springwater—Oro-Medonte),Conservative,Nay,
71588,Jagmeet Singh (Burnaby South),NDP,Yea,
88485,Gabriel Ste-Marie (Joliette),Bloc Québécois,Yea,
58733,Justin Trudeau (Papineau),Liberal,Yea,
71323,John Williamson (New Brunswick Southwest),Conservative,Nay,
72035,Bob Zimmer (Prince George—Peace River—Northern Rockies),Conservative,Nay,
